date,year,quarter,month,Real_GDP_SA,Uncertainty_Index,Household_credit,Residential_prices,Unemployment_Rate,Unemployment_Claims,Automobile_Sales,Manufacturing_Working_hours_index,Industrial_Capacity_Utilization_Index,Industrial_Production_Index,Steel_Production,Petroleum_Product_Sales,Energy_Generation,Nominal_Revenue_Tourism_Index,Retail_Trade_Index,Tendancy_manufact_exports,Tendancy_manufact_production,Tendancy_employment,Foreign_Trade_Index,Average_Real_Income,3_months_bond_yield,Apple_Mobility_Index,Fuel_Price_Ethanol,Agriculture_Price:Soybean,Dollar_Rate,Ibov,Savings_Deposits,Foreign_Trade_Balance
Frequency_Code,0,0,0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Transformation_Code,0,0,0,13.0,14.0,13.0,1.0,1.0,1.0,7.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,1.0,1.0,16.0,16.0,16.0,16.0,16.0,17.0
Sector_Code,0,0,0,5.0,6.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,4.0,2.0,4.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0
1996-01-06,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,365.20171583933234,NaN,NaN
1996-01-13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,373.043692529109,NaN,NaN
1996-01-20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,383.3562265998656,NaN,NaN
1996-01-27,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,96838.0,NaN,NaN,74.9559575381835,2050.0,NaN,NaN,NaN,NaN,-19.6,17.1,-19.1,17.472527472527474,NaN,NaN,NaN,NaN,NaN,NaN,387.8809576712008,NaN,NaN
1996-02-03,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,406.532083883488,NaN,NaN
1996-02-10,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,417.1346255504225,NaN,NaN
1996-02-17,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,415.2778733117614,NaN,NaN
1996-02-24,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,120398.0,NaN,NaN,74.5609442943354,1959.0,NaN,NaN,NaN,NaN,-15.6,20.0,-16.5,17.10967741935484,NaN,NaN,NaN,NaN,NaN,NaN,411.4547451113351,NaN,NaN
1996-03-02,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,401.58321763977074,NaN,NaN
1996-03-09,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,386.8024406826044,NaN,NaN
1996-03-16,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,373.3723178791337,NaN,NaN
1996-03-23,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,382.0449152858183,NaN,NaN
1996-03-30,0,1,1,99.54735151,0.0664319,0.1221548471055718,NaN,NaN,NaN,137281.0,NaN,NaN,74.4380512851383,2041.0,NaN,NaN,NaN,NaN,-15.3,21.8,-15.3,17.157556270096464,NaN,NaN,NaN,NaN,NaN,NaN,386.3916985318251,NaN,NaN
1996-04-06,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384.7690024477839,NaN,NaN
1996-04-13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,376.8593516485543,NaN,NaN
1996-04-20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,384.73028820858485,NaN,NaN
1996-04-27,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,126432.0,NaN,NaN,76.3780052160364,1888.0,NaN,NaN,NaN,NaN,-3.5,23.2,-12.3,21.14029468289558,NaN,NaN,NaN,NaN,NaN,NaN,389.14793827594,NaN,NaN
1996-05-04,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,391.8567463725136,NaN,NaN
1996-05-11,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,403.4356109889598,NaN,NaN
1996-05-18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,415.4177039819699,NaN,NaN
1996-05-25,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,139516.0,NaN,NaN,76.3955613602074,1951.0,NaN,NaN,NaN,NaN,-12.6,25.4,-12.6,22.237851662404093,NaN,NaN,NaN,NaN,NaN,NaN,424.5673792706903,NaN,NaN
1996-06-01,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,428.1107825982019,NaN,NaN
1996-06-08,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,420.0149630475167,NaN,NaN
1996-06-15,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,413.3193834714647,NaN,NaN
1996-06-22,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,439.0656995054425,NaN,NaN
1996-06-29,0,1,1,100.43749554,0.2811358,0.117567642411848,NaN,NaN,NaN,122437.0,NaN,NaN,76.1848876301551,2062.0,NaN,NaN,NaN,NaN,-11.5,26.6,-11.1,18.953414167198467,NaN,NaN,NaN,NaN,NaN,NaN,458.90294858881015,NaN,NaN
1996-07-06,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,469.2630268310712,NaN,NaN
1996-07-13,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,483.03530590830815,NaN,NaN
1996-07-20,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,469.3054625617899,NaN,NaN
1996-07-27,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,150328.0,NaN,NaN,80.4334745195427,2241.0,NaN,NaN,NaN,NaN,-8.0,32.7,-9.9,22.00636942675159,NaN,NaN,NaN,NaN,NaN,NaN,455.4034786227823,NaN,NaN
1996-08-03,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,457.70223479612775,NaN,NaN
1996-08-10,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,460.5655575256164,NaN,NaN
1996-08-17,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,466.9418886743409,NaN,NaN
1996-08-24,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,465.8253962024298,NaN,NaN
1996-08-31,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,153925.0,NaN,NaN,78.75686275121,2247.0,NaN,NaN,NaN,NaN,-7.4,26.9,-11.1,21.72391857506361,NaN,NaN,NaN,NaN,NaN,NaN,459.4780346624447,NaN,NaN
1996-09-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,464.956680921077,NaN,NaN
1996-09-14,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,474.16723755494417,NaN,NaN
