date,year,quarter,month,Ibov,Monthly_CPI,Market_Expactations:GDP,Unemployment_Claims,Air_Traffic_(Domestic),Agriculture_Price:Soybean,Soy_(Volume),Automobile_Sales,Aluminium_Production(Volume),Energy_Generation,Retail_Trade_Index
Code1,0,0,0,3.0,4.0,7.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,2.0
Code2,0,0,0,7.0,3.0,2.0,1.0,1.0,2.0,3.0,5.0,9.0,1.0,1.0
Code3,0,0,0,3.0,4.0,1.0,5.0,1.0,9.0,1.0,1.0,3.0,3.0,0.0
1995-01-07,0,0,0,4049.804,,,,,,,,,,
1995-01-14,0,0,0,3668.2880000000005,,,,,,,,,,
1995-01-21,0,0,0,4003.282,,,,,,,,,,
1995-01-28,0,0,1,3827.48,,,,,,,75169.0,,,
1995-02-04,0,0,0,3853.1975,,,,,,,,,,
1995-02-11,0,0,0,3546.5519999999997,,,,,,,,,,
1995-02-18,0,0,0,3088.734,,,,,,,,,,
1995-02-25,0,0,1,3023.072,,,,,,,109222.0,,,
1995-03-04,0,0,0,2988.54,,,,,,,,,,
1995-03-11,0,0,0,2534.12,,,,,,,,,,
1995-03-18,0,0,0,2950.008,,,,,,,,,,
1995-03-25,0,1,1,3077.386,,,,,,,130951.0,,,
1995-04-01,0,0,0,3237.9300000000003,,,,,,,,,,
1995-04-08,0,0,0,3129.248,,,,,,,,,,
1995-04-15,0,0,0,3050.8700000000003,,,,,,,,,,
1995-04-22,0,0,0,3255.495,,,,,,,,,,
1995-04-29,0,0,1,3740.5379999999996,,,,,,,116006.0,,,
1995-05-06,0,0,0,3972.41,,,,,,,,,,
1995-05-13,0,0,0,3995.886,,,,,,,,,,
1995-05-20,0,0,0,3930.3120000000004,,,,,,,,,,
1995-05-27,0,0,1,4021.174,,,,,,,135231.0,,,
1995-06-03,0,0,0,3835.7775,,,,,,,,,,
1995-06-10,0,0,0,3858.6800000000003,,,,,,,,,,
1995-06-17,0,0,0,3719.2325,,,,,,,,,,
1995-06-24,0,1,1,3617.8239999999996,,,,,,,137623.0,,,
1995-07-01,0,0,0,3647.96,,,,,,,,,,
1995-07-08,0,0,0,3742.192,,,,,,,,,,
1995-07-15,0,0,0,3981.674,,,,,,,,,,
1995-07-22,0,0,0,3913.226,,,,,,,,,,
1995-07-29,0,0,1,3899.528,,,,,,,107161.0,,,
1995-08-05,0,0,0,4003.7850000000003,,,,,,,,,,
1995-08-12,0,0,0,4302.882,,,,,,,,,,
1995-08-19,0,0,0,4185.086,,,,,,,,,,
1995-08-26,0,0,1,4395.994000000001,,,,,,,143484.0,,,
1995-09-02,0,0,0,4392.2,,,,,,,,,,
1995-09-09,0,0,0,4541.24,,,,,,,,,,
1995-09-16,0,0,0,4738.392,,,,,,,,,,
1995-09-23,0,0,0,4771.318,,,,,,,,,,
1995-09-30,0,1,1,4581.574,,,,,,,125596.0,,,
1995-10-07,0,0,0,4496.37,,,,,,,,,,
1995-10-14,0,0,0,4470.13,,,,,,,,,,
1995-10-21,0,0,0,4605.236,,,,,,,,,,
1995-10-28,0,0,1,4327.354,,,,,,,129623.0,,,
1995-11-04,0,0,0,4109.22,,,,,,,,,,
1995-11-11,0,0,0,4078.692,,,,,,,,,,
1995-11-18,0,0,0,3912.89,,,,,,,,,,
1995-11-25,0,0,1,4080.808,,,,,,,130905.0,,,
1995-12-02,0,0,0,4170.8525,,,,,,,,,,
1995-12-09,0,0,0,4307.378,,,,,,,,,,
1995-12-16,0,0,0,4276.724,,,,,,,,,,
1995-12-23,0,0,0,4178.392,,,,,,,,,,
1995-12-30,1,1,1,4336.426666666666,,,,,,,112287.0,,,
1996-01-06,0,0,0,4612.4800000000005,,,,,,,,,,
1996-01-13,0,0,0,4722.466,,,,,,,,,,
1996-01-20,0,0,0,4864.26,,,,,,,,,,
1996-01-27,0,0,1,4933.05,,,,,,,96838.0,,,
1996-02-03,0,0,0,5187.1425,,,,,,,,,,
1996-02-10,0,0,0,5319.61,,,,,,,,,,
1996-02-17,0,0,0,5300.402,,,,,,,,,,
1996-02-24,0,0,1,5256.035,,,,,,,120398.0,,,
1996-03-02,0,0,0,5180.2225,,,,,,,,,,
1996-03-09,0,0,0,4960.7699999999995,,,,,,,,,,
1996-03-16,0,0,0,4802.11,,,,,,,,,,
1996-03-23,0,0,0,4927.55,,,,,,,,,,
1996-03-30,0,1,1,4997.67,,,,,,,137281.0,,,
1996-04-06,0,0,0,4990.806666666667,,,,,,,,,,
1996-04-13,0,0,0,4902.096,,,,,,,,,,
1996-04-20,0,0,0,5018.654,,,,,,,,,,
1996-04-27,0,0,1,5090.618,,,,,,,126432.0,,,
1996-05-04,0,0,0,5132.253333333333,,,,,,,,,,
1996-05-11,0,0,0,5306.304,,,,,,,,,,
1996-05-18,0,0,0,5478.526,,,,,,,,,,
1996-05-25,0,0,1,5614.138000000001,148.041,,,,,,139516.0,,,
1996-06-01,0,0,0,5663.0825,,,,,,,,,,
1996-06-08,0,0,0,5583.1525,,,,,,,,,,
1996-06-15,0,0,0,5508.346,,,,,,,,,,
1996-06-22,0,0,0,5866.55,,,,,,,,,,
1996-06-29,0,1,1,6147.366,150.517,,,,,,122437.0,,,
1996-07-06,0,0,0,6295.218,,,,,,,,,,
1996-07-13,0,0,0,6486.41,,,,,,,,,,
1996-07-20,0,0,0,6308.2919999999995,,,,,,,,,,
1996-07-27,0,0,1,6127.492,151.868,,,,,,150328.0,,,
1996-08-03,0,0,0,6173.3975,,,,,,,,,,
1996-08-10,0,0,0,6204.032,,,,,,,,,,
1996-08-17,0,0,0,6292.054,,,,,,,,,,
1996-08-24,0,0,0,6279.134,,,,,,,,,,
1996-08-31,0,0,1,6195.67,152.204,,,,,,153925.0,,,
1996-09-07,0,0,0,6273.614,,,,,,,,,,
1996-09-14,0,0,0,6402.372,,,,,,,,,,
1996-09-21,0,0,0,6536.956,,,,,,,,,,
1996-09-28,0,1,1,6524.834,151.729,,,,,,148772.0,,,
1996-10-05,0,0,0,6584.836666666667,,,,,,,,,,
1996-10-12,0,0,0,6626.144,,,,,,,,,,
1996-10-19,0,0,0,6734.794,,,,,,,,,,
1996-10-26,0,0,1,6643.064,151.567,,,,,,149587.0,,,
1996-11-02,0,0,0,6533.8075,,,,,,,,,,
1996-11-09,0,0,0,6657.396000000001,,,,,,,,,,
1996-11-16,0,0,0,6550.045,,,,,,,,,,
1996-11-23,0,0,0,6585.147999999999,,,,,,,,,,
1996-11-30,0,0,1,6636.714,152.257,,,,,,148279.0,,,
1996-12-07,0,0,0,6838.01,,,,,,,,,,
1996-12-14,0,0,0,6741.526,,,,,,,,,,
1996-12-21,0,0,0,6836.644,,,,,,,,,,
1996-12-28,1,1,1,6959.06,152.277,,,,,,127558.0,,,
1997-01-04,0,0,0,6997.743333333333,,,,,,,,,,
1997-01-11,0,0,0,7363.306,,,,,,,,,,
1997-01-18,0,0,0,7634.502,,,,,,,,,,
