date,Brazil
2014-01-10,59.5
2014-01-17,58
2014-01-24,58
2014-01-31,57
2014-02-07,56.5
2014-02-14,58
2014-02-21,61
2014-02-28,60.5
2014-03-07,60
2014-03-14,59
2014-03-21,60
2014-03-28,58
2014-04-04,60
2014-04-11,60
2014-04-18,62
2014-04-25,58
2014-05-02,61
2014-05-09,58
2014-05-16,60.7
2014-05-23,62
2014-05-30,60
2014-06-06,60.9
2014-06-13,61
2014-06-20,60.5
2014-06-27,60
2014-07-04,57
2014-07-11,56
2014-07-18,56
2014-07-25,57
2014-08-01,57
2014-08-08,58
2014-08-15,56
2014-08-22,57
2014-08-29,56
2014-09-05,55.2
2014-09-12,54
2014-09-19,53
2014-09-26,53
2014-10-03,54
2014-10-10,53
2014-10-17,55
2014-10-24,53.3
2014-10-31,58.1
2014-11-07,56.3
2014-11-14,57.3
2014-11-21,54.8
2014-11-28,57
2014-12-05,57
2014-12-12,58
2014-12-19,55.3
2014-12-26,55.3
2015-01-02,55.8
2015-01-09,56.3
2015-01-16,53.3
2015-01-23,50.8
2015-01-30,50.3
2015-02-06,52
2015-02-13,54
2015-02-20,53.8
2015-02-27,53.8
2015-03-06,53.8
2015-03-13,56.3
2015-03-20,56.3
2015-03-27,55.8
2015-04-03,56.3
2015-04-10,56
2015-04-17,55
2015-04-24,54.5
2015-05-01,53
2015-06-05,53.5
2015-06-12,54
2015-06-19,53.5
2015-06-26,54
2015-07-03,56
2015-07-10,56
2015-07-17,58
2015-07-24,59
2015-07-31,58.5
2015-08-07,58
2015-08-14,59
2015-08-21,60
2015-08-28,58
2015-09-04,68
2015-09-11,67
2015-09-18,68
2015-09-25,69
2015-10-02,70
2015-10-09,67
2015-10-16,70
2015-10-23,70
2015-10-30,72
2015-11-06,70
2015-11-13,69
2015-11-20,72
2015-11-27,68
2015-12-04,72
2015-12-11,72
2015-12-18,71
2015-12-25,72
2016-01-01,70
2016-01-08,64
2016-01-15,74
2016-01-22,72
2016-01-29,70
2016-02-05,67
2016-02-12,64
2016-02-19,65
2016-02-26,64
2016-03-04,62
2016-03-11,60
2016-03-18,60.5
2016-03-25,60.5
2016-04-01,62
2016-04-08,60
2016-04-15,61
