date,Brazil
2008-01-01,4291097
2008-02-01,3740791
2008-03-01,4128381
2008-04-01,4273228
2008-05-01,4465739
2008-06-01,4092140
2008-07-01,4208397
2008-08-01,3730600
2008-09-01,3683632
2008-10-01,3970005
2008-11-01,3860234
2008-12-01,4258238
2009-01-01,4591002
2009-02-01,3642118
2009-03-01,4126462
2009-04-01,4221098
2009-05-01,4287911
2009-06-01,4456170
2009-07-01,5217598
2009-08-01,4612669
2009-09-01,4905953
2009-10-01,5454012
2009-11-01,5138396
2009-12-01,5370755
2010-01-01,5703050
2010-02-01,5028071
2010-03-01,5274025
2010-04-01,5152270
2010-05-01,5081489
2010-06-01,5177580
2010-07-01,6084737
2010-08-01,6047334
2010-09-01,6022424
2010-10-01,6165528
2010-11-01,6022729
2010-12-01,6499031
2011-01-01,6880697
2011-02-01,5616323
2011-03-01,6432151
2011-04-01,6593530
2011-05-01,6378396
2011-06-01,6119198
2011-07-01,7438569
2011-08-01,6818916
2011-09-01,6679308
2011-10-01,6632388
2011-11-01,6581566
2011-12-01,7073214
2012-01-01,7533041
2012-02-01,6295495
2012-03-01,6736551
2012-04-01,6993871
2012-05-01,6819899
2012-06-01,6910016
2012-07-01,8195309
2012-08-01,7380991
2012-09-01,7215868
2012-10-01,7238115
2012-11-01,6942984
2012-12-01,7209570
2013-01-01,7713843
2013-02-01,6254728
2013-03-01,6979998
2013-04-01,7024817
2013-05-01,7230744
2013-06-01,7061930
2013-07-01,8048092
2013-08-01,7384124
2013-09-01,7404679
2013-10-01,7873392
2013-11-01,7745769
2013-12-01,8221673
2014-01-01,8610214
2014-02-01,7180100
2014-03-01,7522506
2014-04-01,7572426
2014-05-01,7642892
2014-06-01,7147603
2014-07-01,8204151
2014-08-01,7958671
2014-09-01,7723665
2014-10-01,8341213
2014-11-01,8116314
2014-12-01,8721503
2015-01-01,9177831
2015-02-01,7202927
2015-03-01,7683830
2015-04-01,7778137
2015-05-01,7612489
2015-06-01,7333084
2015-07-01,8793698
2015-08-01,7733983
2015-09-01,7551670
2015-10-01,7802187
2015-11-01,7481594
2015-12-01,8302368
2016-01-01,9039242
2016-02-01,7229182
2016-03-01,7317889
2016-04-01,6953549
2016-05-01,7072799
2016-06-01,6919015
2016-07-01,8216466
2016-08-01,7475669
2016-09-01,7188581
2016-10-01,7399942
2016-11-01,7344420
2016-12-01,8117839
2017-01-01,8661998.00000001
2017-02-01,6723659
2017-03-01,7561714
2017-04-01,7029956
2017-05-01,7223608
2017-06-01,7043663
2017-07-01,8445528
2017-08-01,7679281.99999999
2017-09-01,7648674
2017-10-01,7962893
2017-11-01,7701330
2017-12-01,8467341
2018-01-01,8862111
2018-02-01,7003097
2018-03-01,7626873
2018-04-01,7435902
2018-05-01,7457258
2018-06-01,7313279
2018-07-01,9022959
2018-08-01,8029208
2018-09-01,7783073
2018-10-01,8170771
2018-11-01,8043260
2018-12-01,8769272
2019-01-01,9126016
2019-02-01,7562049
2019-03-01,7912192
2019-04-01,7526115
2019-05-01,7291810
2019-06-01,7124041
2019-07-01,8736187
2019-08-01,8050266
2019-09-01,7967020
2019-10-01,8561572
2019-11-01,8274935
2019-12-01,9050984
2020-01-01,9340563
2020-02-01,7725689
2020-03-01,5110780
2020-04-01,413688
2020-05-01,558524
2020-06-01,918537
2020-07-01,1656445
2020-08-01,2239914
2020-09-01,3107604
2020-10-01,4167617
2020-11-01,4853406
2020-12-01,5686688
2021-01-01,6117564
2021-02-01,4373505
2021-03-01,3269774
