date,Brazil
2020-01-13,100.0
2020-01-14,99.71
2020-01-15,100.9
2020-01-16,101.88
2020-01-17,113.69
2020-01-18,114.38
2020-01-19,91.06
2020-01-20,97.54
2020-01-21,98.14
2020-01-22,97.91
2020-01-23,98.51
2020-01-24,109.53
2020-01-25,111.8
2020-01-26,88.93
2020-01-27,92.86
2020-01-28,95.19
2020-01-29,94.85
2020-01-30,96.31
2020-01-31,109.54
2020-02-01,109.56
2020-02-02,83.8
2020-02-03,92.5
2020-02-04,92.97
2020-02-05,93.75
2020-02-06,96.35
2020-02-07,114.55
2020-02-08,117.52
2020-02-09,86.93
2020-02-10,99.25
2020-02-11,95.71
2020-02-12,98.43
2020-02-13,98.92
2020-02-14,115.44
2020-02-15,123.46
2020-02-16,92.31
2020-02-17,95.54
2020-02-18,99.59
2020-02-19,102.06
2020-02-20,109.38
2020-02-21,141.63
2020-02-22,140.3
2020-02-23,103.13
2020-02-24,102.5
2020-02-25,99.46
2020-02-26,92.81
2020-02-27,91.16
2020-02-28,101.9
2020-02-29,107.46
2020-03-01,77.97
2020-03-02,88.51
2020-03-03,90.22
2020-03-04,92.18
2020-03-05,95.49
2020-03-06,110.82
2020-03-07,118.71
2020-03-08,82.64
2020-03-09,90.32
2020-03-10,92.92
2020-03-11,92.58
2020-03-12,89.66
2020-03-13,103.57
2020-03-14,106.68
2020-03-15,71.69
2020-03-16,70.59
2020-03-17,64.88
2020-03-18,58.47
2020-03-19,52.15
2020-03-20,51.7
2020-03-21,39.66
2020-03-22,27.58
2020-03-23,34.89
2020-03-24,34.84
2020-03-25,35.26
2020-03-26,37.57
2020-03-27,42.94
2020-03-28,41.63
2020-03-29,30.76
2020-03-30,40.12
2020-03-31,41.85
2020-04-01,44.28
2020-04-02,45.51
2020-04-03,50.52
2020-04-04,50.88
2020-04-05,35.1
2020-04-06,45.53
2020-04-07,48.59
2020-04-08,51.93
2020-04-09,58.89
2020-04-10,44.88
2020-04-11,58.22
2020-04-12,36.49
2020-04-13,46.79
2020-04-14,47.91
2020-04-15,49.89
2020-04-16,50.47
2020-04-17,56.91
2020-04-18,56.26
2020-04-19,38.14
2020-04-20,51.62
2020-04-21,45.15
2020-04-22,53.67
2020-04-23,55.04
2020-04-24,59.39
2020-04-25,59.43
2020-04-26,40.2
2020-04-27,51.35
2020-04-28,54.57
2020-04-29,56.02
2020-04-30,64.63
2020-05-01,55.37
2020-05-02,58.58
2020-05-03,42.66
2020-05-04,55.5
2020-05-05,59.15
2020-05-06,61.8
2020-05-07,60.7
2020-05-08,70.72
2020-05-09,73.36
2020-05-10,45.9
2020-05-11,
2020-05-12,
2020-05-13,58.19
2020-05-14,60.38
2020-05-15,68.01
2020-05-16,67.84
2020-05-17,45.5
2020-05-18,58.06
2020-05-19,61.72
2020-05-20,63.57
2020-05-21,64.83
2020-05-22,72.87
2020-05-23,68.88
2020-05-24,46.09
2020-05-25,58.72
2020-05-26,63.43
2020-05-27,64.7
2020-05-28,67.12
2020-05-29,77.24
2020-05-30,78.36
2020-05-31,52.6
2020-06-01,64.34
2020-06-02,68.2
2020-06-03,71.21
2020-06-04,71.7
2020-06-05,84.14
2020-06-06,84.4
2020-06-07,56.63
2020-06-08,71.42
2020-06-09,76.01
2020-06-10,85.1
2020-06-11,78.91
2020-06-12,102.09
2020-06-13,81.32
2020-06-14,57.28
2020-06-15,68.78
2020-06-16,72.14
2020-06-17,73.56
2020-06-18,74.73
2020-06-19,85.61
2020-06-20,87.1
2020-06-21,61.25
2020-06-22,74.48
2020-06-23,77.54
2020-06-24,76.84
2020-06-25,76.51
2020-06-26,86.41
2020-06-27,81.13
2020-06-28,57.93
2020-06-29,71.75
2020-06-30,74.24
2020-07-01,75.31
2020-07-02,79.54
2020-07-03,91.88
2020-07-04,92.45
2020-07-05,63.65
2020-07-06,78.69
2020-07-07,83.3
2020-07-08,85.25
2020-07-09,86.92
2020-07-10,112.49
2020-07-11,98.38
2020-07-12,69.78
2020-07-13,82.49
2020-07-14,87.3
2020-07-15,86.93
2020-07-16,86.34
2020-07-17,101.74
2020-07-18,100.68
2020-07-19,71.49
2020-07-20,87.57
2020-07-21,87.93
2020-07-22,90.45
2020-07-23,92.24
2020-07-24,106.42
2020-07-25,105.54
2020-07-26,74.19
2020-07-27,85.89
2020-07-28,89.83
2020-07-29,89.23
2020-07-30,90.57
2020-07-31,101.69
2020-08-01,105.48
2020-08-02,75.33
2020-08-03,87.56
2020-08-04,91.0
2020-08-05,94.17
2020-08-06,97.09
2020-08-07,115.8
2020-08-08,116.9
2020-08-09,73.72
2020-08-10,89.34
2020-08-11,93.55
2020-08-12,94.68
2020-08-13,96.44
2020-08-14,115.06
2020-08-15,114.78
2020-08-16,79.57
2020-08-17,89.22
2020-08-18,91.57
2020-08-19,93.83
2020-08-20,97.9
2020-08-21,108.27
2020-08-22,110.24
2020-08-23,77.59
2020-08-24,89.96
2020-08-25,95.02
2020-08-26,96.8
2020-08-27,99.86
2020-08-28,118.8
2020-08-29,122.6
2020-08-30,87.7
2020-08-31,93.17
2020-09-01,99.44
2020-09-02,103.56
2020-09-03,108.12
2020-09-04,139.51
2020-09-05,145.52
2020-09-06,108.67
2020-09-07,110.62
2020-09-08,103.84
2020-09-09,104.3
2020-09-10,107.02
2020-09-11,127.85
2020-09-12,131.72
2020-09-13,95.42
2020-09-14,99.15
2020-09-15,102.67
2020-09-16,105.77
2020-09-17,112.44
2020-09-18,130.99
2020-09-19,133.79
2020-09-20,90.87
2020-09-21,96.98
2020-09-22,98.32
2020-09-23,100.86
2020-09-24,104.63
2020-09-25,125.52
2020-09-26,131.64
2020-09-27,92.44
2020-09-28,95.13
2020-09-29,100.02
2020-09-30,101.71
2020-10-01,107.53
2020-10-02,127.41
2020-10-03,130.09
2020-10-04,91.37
2020-10-05,99.98
2020-10-06,105.73
2020-10-07,109.24
2020-10-08,114.32
2020-10-09,143.05
2020-10-10,149.2
2020-10-11,111.9
2020-10-12,112.96
2020-10-13,103.74
2020-10-14,106.38
2020-10-15,109.27
2020-10-16,126.28
2020-10-17,132.94
2020-10-18,93.32
2020-10-19,98.06
2020-10-20,102.49
2020-10-21,104.22
2020-10-22,107.26
2020-10-23,127.16
2020-10-24,131.18
2020-10-25,91.99
2020-10-26,98.15
2020-10-27,103.79
2020-10-28,106.69
2020-10-29,115.09
2020-10-30,139.25
2020-10-31,141.87
2020-11-01,102.19
2020-11-02,98.58
2020-11-03,98.42
2020-11-04,98.72
2020-11-05,105.16
2020-11-06,125.38
2020-11-07,136.22
2020-11-08,96.2
2020-11-09,95.27
2020-11-10,99.43
2020-11-11,100.79
2020-11-12,101.44
2020-11-13,120.44
2020-11-14,125.57
2020-11-15,82.1
2020-11-16,89.8
2020-11-17,96.71
2020-11-18,106.41
2020-11-19,107.43
2020-11-20,125.72
2020-11-21,132.51
2020-11-22,97.37
2020-11-23,95.94
2020-11-24,99.43
2020-11-25,101.23
2020-11-26,105.84
2020-11-27,129.16
2020-11-28,135.35
2020-11-29,95.68
2020-11-30,97.85
2020-12-01,101.58
2020-12-02,102.99
2020-12-03,105.44
2020-12-04,129.55
2020-12-05,137.02
2020-12-06,95.41
2020-12-07,101.23
2020-12-08,102.0
2020-12-09,106.14
2020-12-10,109.66
2020-12-11,131.51
2020-12-12,140.35
2020-12-13,97.65
2020-12-14,104.41
2020-12-15,108.71
2020-12-16,111.95
2020-12-17,116.34
2020-12-18,139.21
2020-12-19,147.28
2020-12-20,104.26
2020-12-21,118.0
2020-12-22,126.97
2020-12-23,137.41
2020-12-24,118.9
2020-12-25,76.23
2020-12-26,115.62
2020-12-27,102.8
2020-12-28,119.17
2020-12-29,125.26
2020-12-30,145.4
2020-12-31,140.46
2021-01-01,87.56
2021-01-02,128.77
2021-01-03,122.08
2021-01-04,112.28
2021-01-05,111.54
2021-01-06,109.96
2021-01-07,111.68
2021-01-08,127.15
2021-01-09,130.18
2021-01-10,102.13
2021-01-11,106.89
2021-01-12,106.79
2021-01-13,106.97
