date,Brazil
1981-01-01,87939
1981-02-01,65251
1981-03-01,64065
1981-04-01,69042
1981-05-01,62966
1981-06-01,61271
1981-07-01,60824
1981-08-01,63871
1981-09-01,64828
1981-10-01,63211
1981-11-01,61129
1981-12-01,68939
1982-01-01,62413
1982-02-01,65785
1982-03-01,74433
1982-04-01,67611
1982-05-01,64058
1982-06-01,69819
1982-07-01,72763
1982-08-01,75621
1982-09-01,70051
1982-10-01,78656
1982-11-01,74537
1982-12-01,90689
1983-01-01,72742
1983-02-01,65329
1983-03-01,81590
1983-04-01,78892
1983-05-01,85888
1983-06-01,66684
1983-07-01,66154
1983-08-01,84887
1983-09-01,73208
1983-10-01,74774
1983-11-01,65234
1983-12-01,84318
1984-01-01,57828
1984-02-01,67390
1984-03-01,68634
1984-04-01,70502
1984-05-01,76975
1984-06-01,80528
1984-07-01,65614
1984-08-01,81293
1984-09-01,73075
1984-10-01,80491
1984-11-01,82227
1984-12-01,70576
1985-01-01,73235
1985-02-01,73062
1985-03-01,87529
1985-04-01,35585
1985-05-01,53564
1985-06-01,65961
1985-07-01,96884
1985-08-01,94521
1985-09-01,100791
1985-10-01,109925
1985-11-01,98473
1985-12-01,82176
1986-01-01,67279
1986-02-01,85928
1986-03-01,101308
1986-04-01,99532
1986-05-01,104013
1986-06-01,94852
1986-07-01,89640
1986-08-01,79848
1986-09-01,101590
1986-10-01,96161
1986-11-01,47373
1986-12-01,82852
1987-01-01,55514
1987-02-01,71836
1987-03-01,62146
1987-04-01,90219
1987-05-01,83080
1987-06-01,76308
1987-07-01,89377
1987-08-01,84187
1987-09-01,68393
1987-10-01,83236
1987-11-01,78001
1987-12-01,84866
1988-01-01,68296
1988-02-01,77539
1988-03-01,97148
1988-04-01,82808
1988-05-01,91015
1988-06-01,96372
1988-07-01,90639
1988-08-01,105806
1988-09-01,83511
1988-10-01,89476
1988-11-01,90295
1988-12-01,95310
1989-01-01,76914
1989-02-01,80142
1989-03-01,83187
1989-04-01,56682
1989-05-01,76767
1989-06-01,98129
1989-07-01,98768
1989-08-01,105450
1989-09-01,89659
1989-10-01,84290
1989-11-01,66432
1989-12-01,99140
1990-01-01,80051
1990-02-01,74796
1990-03-01,51649
1990-04-01,52484
1990-05-01,82921
1990-06-01,53921
1990-07-01,51013
1990-08-01,100175
1990-09-01,86686
1990-10-01,96256
1990-11-01,87572
1990-12-01,82454
1991-01-01,64632
1991-02-01,57466
1991-03-01,78479
1991-04-01,51213
1991-05-01,69458
1991-06-01,88074
1991-07-01,100819
1991-08-01,99800
1991-09-01,89892
1991-10-01,98548
1991-11-01,89017
1991-12-01,76515
1992-01-01,62809
1992-02-01,73999
1992-03-01,58145
1992-04-01,99122
1992-05-01,90598
1992-06-01,93727
1992-07-01,100980
1992-08-01,100608
1992-09-01,99166
1992-10-01,103906
1992-11-01,101190
1992-12-01,90611
1993-01-01,62219
1993-02-01,73733
1993-03-01,100214
1993-04-01,87749
1993-05-01,102329
1993-06-01,103162
1993-07-01,105999
1993-08-01,115496
1993-09-01,106622
1993-10-01,109245
1993-11-01,106717
1993-12-01,100828
1994-01-01,89072
1994-02-01,92562
1994-03-01,122703
1994-04-01,98115
1994-05-01,116741
1994-06-01,110424
1994-07-01,112952
1994-08-01,127613
1994-09-01,106604
1994-10-01,108550
1994-11-01,125024
1994-12-01,113067
1995-01-01,75169
1995-02-01,109222
1995-03-01,130951
1995-04-01,116006
1995-05-01,135231
1995-06-01,137623
1995-07-01,107161
1995-08-01,143484
1995-09-01,125596
1995-10-01,129623
1995-11-01,130905
1995-12-01,112287
1996-01-01,96838
1996-02-01,120398
1996-03-01,137281
1996-04-01,126432
1996-05-01,139516
1996-06-01,122437
1996-07-01,150328
1996-08-01,153925
1996-09-01,148772
1996-10-01,149587
1996-11-01,148279
1996-12-01,127558
1997-01-01,126150
1997-02-01,134349
1997-03-01,154748
1997-04-01,171161
1997-05-01,162206
1997-06-01,168403
1997-07-01,157569
1997-08-01,170974
1997-09-01,182044
1997-10-01,183502
1997-11-01,135546
1997-12-01,102689
1998-01-01,106457
1998-02-01,103225
1998-03-01,149939
1998-04-01,136064
1998-05-01,148750
1998-06-01,138217
1998-07-01,111121
1998-08-01,155850
1998-09-01,120346
1998-10-01,92875
1998-11-01,82152
1998-12-01,85997
1999-01-01,83451
1999-02-01,45676
1999-03-01,137055
1999-04-01,117611
1999-05-01,115831
1999-06-01,109000
1999-07-01,116877
1999-08-01,132350
1999-09-01,132069
1999-10-01,100210
1999-11-01,97034
1999-12-01,98968
2000-01-01,92568
2000-02-01,122777
2000-03-01,128760
2000-04-01,126873
2000-05-01,144805
2000-06-01,136402
2000-07-01,138177
2000-08-01,151264
2000-09-01,139515
2000-10-01,141870
2000-11-01,137351
2000-12-01,140844
2001-01-01,115748
2001-02-01,131183
2001-03-01,172148
2001-04-01,163458
2001-05-01,168929
2001-06-01,147406
2001-07-01,130769
2001-08-01,134288
2001-09-01,112727
2001-10-01,125537
2001-11-01,137434
2001-12-01,131611
2002-01-01,111972
2002-02-01,102402
2002-03-01,132300
2002-04-01,146984
2002-05-01,138361
2002-06-01,119228
2002-07-01,141569
2002-08-01,138805
2002-09-01,146443
2002-10-01,158670
2002-11-01,146321
2002-12-01,145868
2003-01-01,120511
2003-02-01,131846
2003-03-01,125162
2003-04-01,130799
2003-05-01,126942
2003-06-01,134293
2003-07-01,139354
2003-08-01,135266
2003-09-01,164582
2003-10-01,180317
2003-11-01,161692
2003-12-01,196781
2004-01-01,134685
2004-02-01,128608
2004-03-01,182874
2004-04-01,148432
2004-05-01,161223
2004-06-01,178507
2004-07-01,183048
2004-08-01,186469
2004-09-01,181598
2004-10-01,191902
2004-11-01,185596
2004-12-01,219710
2005-01-01,142649
2005-02-01,160239
2005-03-01,203767
2005-04-01,194870
2005-05-01,201786
2005-06-01,211513
2005-07-01,198678
2005-08-01,205944
2005-09-01,201774
2005-10-01,184380
2005-11-01,210299
2005-12-01,234740
2006-01-01,172049
2006-02-01,177970
2006-03-01,205340
2006-04-01,175124
2006-05-01,207763
2006-06-01,189024
2006-07-01,211912
2006-08-01,215046
2006-09-01,202481
2006-10-01,212845
2006-11-01,214091
2006-12-01,236072
2007-01-01,169732
2007-02-01,184424
2007-03-01,230168
2007-04-01,209883
2007-05-01,247877
2007-06-01,229032
2007-07-01,264389
2007-08-01,262409
2007-09-01,232474
2007-10-01,276969
2007-11-01,255412
2007-12-01,257383
2008-01-01,230533
2008-02-01,222772
2008-03-01,253862
2008-04-01,279071
2008-05-01,254773
2008-06-01,278951
2008-07-01,302426
2008-08-01,262730
2008-09-01,279700
2008-10-01,256043
2008-11-01,191825
2008-12-01,201098
2009-01-01,176538
2009-02-01,191436
2009-03-01,262312
2009-04-01,228987
2009-05-01,246261
2009-06-01,291189
2009-07-01,267502
2009-08-01,255989
2009-09-01,293360
2009-10-01,281965
2009-11-01,246756
2009-12-01,277910
2010-01-01,206332
2010-02-01,219605
2010-03-01,342444
2010-04-01,260380
2010-05-01,253529
2010-06-01,257510
2010-07-01,286766
2010-08-01,298342
2010-09-01,294786
2010-10-01,295061
2010-11-01,312335
2010-12-01,330353
2011-01-01,218124
2011-02-01,259362
2011-03-01,286677
2011-04-01,276052
2011-05-01,288847
2011-06-01,272265
2011-07-01,285747
2011-08-01,300842
2011-09-01,278138
2011-10-01,262554
2011-11-01,294699
2011-12-01,305230
2012-01-01,233989
2012-02-01,224753
2012-03-01,271395
2012-04-01,249016
2012-05-01,250488
2012-06-01,317678
2012-07-01,323945
2012-08-01,383535
2012-09-01,261195
2012-10-01,323700
2012-11-01,289886
2012-12-01,327474
2013-01-01,282886
2013-02-01,220859
2013-03-01,277268
2013-04-01,325865
2013-05-01,308411
2013-06-01,311929
2013-07-01,332087
2013-08-01,330843
2013-09-01,295873
2013-10-01,319795
2013-11-01,289998
2013-12-01,329800
2014-01-01,270371
2014-02-01,240940
2014-03-01,224390
2014-04-01,278813
2014-05-01,275580
2014-06-01,241078
2014-07-01,276470
2014-08-01,254897
2014-09-01,270602
2014-10-01,277986
2014-11-01,272772
2014-12-01,331309
2015-01-01,224445
2015-02-01,186189
2015-03-01,229048
2015-04-01,213721
2015-05-01,221076
2015-06-01,227615
2015-07-01,218232
2015-08-01,208294
2015-09-01,201206
2015-10-01,201956
2015-11-01,203465
2015-12-01,236702
2016-01-01,154012
2016-02-01,161434
2016-03-01,194841
2016-04-01,181306
2016-05-01,194266
2016-06-01,196257
2016-07-01,202981
2016-08-01,200768
2016-09-01,177755
2016-10-01,177315
2016-11-01,214373
2016-12-01,238120
2017-01-01,168532
2017-02-01,188386
2017-03-01,237531
2017-04-01,200561
2017-05-01,247877
2017-06-01,242295
2017-07-01,229622
2017-08-01,260325
2017-09-01,239083
2017-10-01,243720
2017-11-01,255704
2017-12-01,247998
2018-01-01,206675
2018-02-01,204831
2018-03-01,250423
2018-04-01,263490
2018-05-01,236388
2018-06-01,240714
2018-07-01,239856
2018-08-01,274312
2018-09-01,226447
2018-10-01,264434
2018-11-01,239547
2018-12-01,237798
2019-01-01,206117
2019-02-01,217205
2019-03-01,225302
2019-04-01,240679
2019-05-01,261975
2019-06-01,240912
2019-07-01,260581
2019-08-01,253601
2019-09-01,246657
2019-10-01,258149
2019-11-01,250458
2019-12-01,262068
2020-01-01,191704
2020-02-01,217602
2020-03-01,177232
2020-04-01,54580
2020-05-01,56266
2020-06-01,135140
2020-07-01,184818
2020-08-01,193421
2020-09-01,219033
2020-10-01,230927
2020-11-01,249104
2020-12-01,261321
2021-01-01,180904
2021-02-01,186718
2021-03-01,208801
2021-04-01,191853
2021-05-01,206221
2021-06-01,191571
2021-07-01,174739
2021-08-01,178900
2021-09-01,156803
2021-10-01,170178
2021-11-01,176322
2021-12-01,219446
