date,Brazil
2012-03-01,2635
2012-04-01,2484
2012-05-01,2481
2012-06-01,2487
2012-07-01,2498
2012-08-01,2508
2012-09-01,2508
2012-10-01,2510
2012-11-01,2506
2012-12-01,2527
2013-01-01,2652
2013-02-01,2665
2013-03-01,2650
2013-04-01,2534
2013-05-01,2537
2013-06-01,2559
2013-07-01,2579
2013-08-01,2594
2013-09-01,2594
2013-10-01,2605
2013-11-01,2600
2013-12-01,2605
2014-01-01,2696
2014-02-01,2719
2014-03-01,2732
2014-04-01,2637
2014-05-01,2632
2014-06-01,2615
2014-07-01,2603
2014-08-01,2619
2014-09-01,2623
2014-10-01,2636
2014-11-01,2618
2014-12-01,2639
2015-01-01,2740
2015-02-01,2739
2015-03-01,2719
2015-04-01,2617
2015-05-01,2601
2015-06-01,2611
2015-07-01,2595
2015-08-01,2578
2015-09-01,2569
2015-10-01,2564
2015-11-01,2563
2015-12-01,2648
2016-01-01,2899
2016-02-01,2896
2016-03-01,2821
2016-04-01,2568
2016-05-01,2562
2016-06-01,2536
2016-07-01,2542
2016-08-01,2564
2016-09-01,2556
2016-10-01,2550
2016-11-01,2547
2016-12-01,2647
2017-01-01,2893
2017-02-01,2918
2017-03-01,2855
2017-04-01,2609
2017-05-01,2589
2017-06-01,2571
2017-07-01,2581
2017-08-01,2588
2017-09-01,2600
2017-10-01,2599
2017-11-01,2600
2017-12-01,2689
2018-01-01,2938
2018-02-01,2963
2018-03-01,2877
2018-04-01,2646
2018-05-01,2637
2018-06-01,2633
2018-07-01,2633
2018-08-01,2648
2018-09-01,2635
2018-10-01,2627
2018-11-01,2619
2018-12-01,2723
2019-01-01,2990
2019-02-01,3014
2019-03-01,2918
2019-04-01,2655
2019-05-01,2624
2019-06-01,2627
2019-07-01,2629
2019-08-01,2652
2019-09-01,2642
2019-10-01,2650
2019-11-01,2656
2019-12-01,2753
2020-01-01,3009
2020-02-01,3021
2020-03-01,2939
2020-04-01,2697
2020-05-01,2634
2020-06-01,2591
2020-07-01,2594
2020-08-01,2634
2020-09-01,2688
2020-10-01,2679
2020-11-01,2684
2020-12-01,2724
2021-01-01,2929
2021-02-01,2920
2021-03-01,2865
2021-04-01,2650
2021-05-01,2644
2021-06-01,2617
2021-07-01,2601
2021-08-01,2573
2021-09-01,2526
2021-10-01,2483
2021-11-01,2450
