date,Brazil
1984-12-01,1.0633333333333332e-06
1984-12-08,1.0859999999999999e-06
1984-12-15,1.138e-06
1984-12-22,1.17e-06
1984-12-29,1.2833333333333335e-06
1985-01-05,1.42e-06
1985-01-12,1.386e-06
1985-01-19,1.29e-06
1985-01-26,1.2675e-06
1985-02-02,1.252e-06
1985-02-09,1.1759999999999998e-06
1985-02-16,1.164e-06
1985-02-23,1.2949999999999999e-06
1985-03-02,1.344e-06
1985-03-09,1.268e-06
1985-03-16,1.296e-06
1985-03-23,1.3119999999999999e-06
1985-03-30,1.28e-06
1985-04-06,1.2433333333333332e-06
1985-04-13,1.142e-06
1985-04-20,1.16e-06
1985-04-27,1.2725e-06
1985-05-04,1.2949999999999999e-06
1985-05-11,1.462e-06
1985-05-18,1.674e-06
1985-05-25,1.89e-06
1985-06-01,1.882e-06
1985-06-08,1.985e-06
1985-06-15,2.304e-06
1985-06-22,2.602e-06
1985-06-29,2.748e-06
1985-07-06,2.938e-06
1985-07-13,2.718e-06
1985-07-20,2.796e-06
1985-07-27,2.972e-06
1985-08-03,3.388e-06
1985-08-10,3.7619999999999997e-06
1985-08-17,4.219999999999999e-06
1985-08-24,4.3140000000000005e-06
1985-08-31,4.226e-06
1985-09-07,4.026e-06
1985-09-14,4.086666666666667e-06
1985-09-21,4.574e-06
1985-09-28,5.1459999999999995e-06
1985-10-05,5.756e-06
1985-10-12,6.154e-06
1985-10-19,6.64e-06
1985-10-26,7.384e-06
1985-11-02,6.778e-06
1985-11-09,6.891999999999999e-06
1985-11-16,7.882500000000001e-06
1985-11-23,7.475999999999999e-06
1985-11-30,7.194000000000001e-06
1985-12-07,7.07e-06
1985-12-14,6.638e-06
1985-12-21,6.135999999999999e-06
1985-12-28,6.206666666666667e-06
1986-01-04,6.98e-06
1986-01-11,7.472000000000001e-06
1986-01-18,7.1519999999999995e-06
1986-01-25,6.928e-06
1986-02-01,6.526e-06
1986-02-08,6.982e-06
1986-02-15,7.785000000000001e-06
1986-02-22,8.462e-06
1986-03-01,8.3125e-06
1986-03-08,9.865e-06
1986-03-15,1.0618e-05
1986-03-22,1.3044e-05
1986-03-29,1.4843333333333334e-05
1986-04-05,1.5309999999999997e-05
1986-04-12,1.7644000000000003e-05
1986-04-19,1.9022000000000002e-05
1986-04-26,2.0110000000000002e-05
1986-05-03,1.946e-05
1986-05-10,1.8338e-05
1986-05-17,1.7326e-05
1986-05-24,1.5542e-05
1986-05-31,1.693e-05
1986-06-07,1.7022e-05
1986-06-14,1.708e-05
1986-06-21,1.5684e-05
1986-06-28,1.565e-05
1986-07-05,1.5266e-05
1986-07-12,1.538e-05
1986-07-19,1.6292e-05
1986-07-26,1.6238e-05
1986-08-02,1.5969999999999998e-05
1986-08-09,1.5294e-05
1986-08-16,1.4652e-05
1986-08-23,1.3008e-05
1986-08-30,1.2692000000000001e-05
1986-09-06,1.2936e-05
1986-09-13,1.1716e-05
1986-09-20,1.1986e-05
1986-09-27,1.0104e-05
1986-10-04,1.0228000000000001e-05
1986-10-11,9.620000000000001e-06
1986-10-18,9.112e-06
1986-10-25,1.0452000000000001e-05
1986-11-01,1.2074e-05
1986-11-08,1.1064e-05
1986-11-15,1.2084e-05
1986-11-22,1.1628000000000001e-05
1986-11-29,1.0204e-05
1986-12-06,8.989999999999999e-06
1986-12-13,8.226e-06
1986-12-20,9.386e-06
1986-12-27,9.086666666666667e-06
1987-01-03,9.309999999999999e-06
1987-01-10,8.348e-06
1987-01-17,7.506000000000001e-06
1987-01-24,7.397999999999999e-06
1987-01-31,7.296000000000001e-06
1987-02-07,6.288e-06
1987-02-14,5.878e-06
1987-02-21,6.046e-06
1987-02-28,6.454e-06
1987-03-07,7.025e-06
1987-03-14,6.4e-06
1987-03-21,6.234e-06
1987-03-28,6.625e-06
1987-04-04,6.8e-06
1987-04-11,6.766e-06
1987-04-18,7.176666666666666e-06
1987-04-25,8.085e-06
1987-05-02,8.5325e-06
1987-05-09,7.438000000000001e-06
1987-05-16,7.262000000000001e-06
1987-05-23,7.038e-06
1987-05-30,7.465999999999999e-06
1987-06-06,7.124e-06
1987-06-13,6.554e-06
1987-06-20,9.405e-06
1987-06-27,1.106e-05
1987-07-04,1.066e-05
1987-07-11,9.972e-06
1987-07-18,1.1418000000000001e-05
1987-07-25,1.2724e-05
1987-08-01,1.312e-05
1987-08-08,1.4988e-05
1987-08-15,1.4274000000000001e-05
1987-08-22,1.3296e-05
1987-08-29,1.285e-05
1987-09-05,1.1534e-05
1987-09-12,1.15675e-05
1987-09-19,1.2558e-05
1987-09-26,1.3695999999999999e-05
1987-10-03,1.4434e-05
1987-10-10,1.4552e-05
1987-10-17,1.60075e-05
1987-10-24,1.3126000000000001e-05
1987-10-31,1.1484e-05
1987-11-07,1.17875e-05
1987-11-14,1.251e-05
1987-11-21,1.1718e-05
1987-11-28,1.1498e-05
1987-12-05,1.2592e-05
1987-12-12,1.308e-05
1987-12-19,1.2636e-05
1987-12-26,1.2426666666666666e-05
1988-01-02,1.242e-05
1988-01-09,1.4012e-05
1988-01-16,1.6051999999999998e-05
1988-01-23,1.7789999999999997e-05
1988-01-30,1.8045e-05
1988-02-06,2.0972e-05
1988-02-13,2.309e-05
1988-02-20,2.3445e-05
1988-02-27,2.3638e-05
1988-03-05,2.2552e-05
1988-03-12,2.6722e-05
1988-03-19,2.9994e-05
1988-03-26,3.562e-05
1988-04-02,3.88e-05
1988-04-09,4.0044e-05
1988-04-16,4.3372e-05
1988-04-23,4.502e-05
1988-04-30,5.1055999999999994e-05
1988-05-07,4.7760000000000004e-05
1988-05-14,5.04375e-05
1988-05-21,5.6028e-05
1988-05-28,6.11e-05
1988-06-04,6.10525e-05
1988-06-11,5.9928e-05
1988-06-18,6.4702e-05
1988-06-25,6.7828e-05
1988-07-02,7.0044e-05
1988-07-09,7.624199999999999e-05
1988-07-16,7.4536e-05
1988-07-23,6.824399999999999e-05
1988-07-30,6.8742e-05
1988-08-06,7.0232e-05
1988-08-13,7.4248e-05
1988-08-20,8.280399999999999e-05
1988-08-27,9.052e-05
1988-09-03,9.3916e-05
1988-09-10,0.000105475
1988-09-17,0.000114222
1988-09-24,0.00012931
1988-10-01,0.000135186
1988-10-08,0.00015284400000000002
1988-10-15,0.00016284250000000002
1988-10-22,0.00016347
1988-10-29,0.000169954
1988-11-05,0.0001950425
1988-11-12,0.00023080000000000003
1988-11-19,0.0002290225
1988-11-26,0.000216548
1988-12-03,0.000206232
1988-12-10,0.000195588
1988-12-17,0.00021805000000000001
1988-12-24,0.000271106
1988-12-31,0.00032063
1989-01-07,0.000332864
1989-01-14,0.00036349799999999997
1989-01-21,0.00034253
1989-01-28,0.0003250775
1989-02-04,0.00034406000000000004
1989-02-11,0.00039774000000000005
1989-02-18,0.00041281
1989-02-25,0.00045441200000000007
1989-03-04,0.000509012
1989-03-11,0.000551342
1989-03-18,0.000599378
1989-03-25,0.0006376
