date,Brazil
2003-12-06,140973668000.0
2003-12-13,141783835800.0
2003-12-20,143026835400.0
2003-12-27,144074032250.0
2004-01-03,143298541000.0
2004-01-10,144412797000.0
2004-01-17,144137668200.0
2004-01-24,143220905000.0
2004-01-31,142724904600.0
2004-02-07,143818360800.0
2004-02-14,143770244200.0
2004-02-21,142894707000.0
2004-02-28,143196773333.33334
2004-03-06,143901947400.0
2004-03-13,144019796000.0
2004-03-20,143237734000.0
2004-03-27,142512096400.0
2004-04-03,143101546800.0
2004-04-10,144665277000.0
2004-04-17,143988404200.0
2004-04-24,143351774750.0
2004-05-01,142962558000.0
2004-05-08,144583912800.0
2004-05-15,145001255000.0
2004-05-22,144529016600.0
2004-05-29,145128968600.0
2004-06-05,147074514400.0
2004-06-12,148266113250.0
2004-06-19,147596941000.0
2004-06-26,147075573000.0
2004-07-03,148078376400.0
2004-07-10,150188608800.0
2004-07-17,150157121600.0
2004-07-24,149799274000.0
2004-07-31,149454160800.0
2004-08-07,151111998400.0
2004-08-14,151451943400.0
2004-08-21,150657641800.0
2004-08-28,150237737000.0
2004-09-04,151317837800.0
2004-09-11,152476324500.0
2004-09-18,151715082200.0
2004-09-25,150981204600.0
2004-10-02,151118060200.0
2004-10-09,152914255400.0
2004-10-16,152292181750.0
2004-10-23,151592043000.0
2004-10-30,151518178200.0
2004-11-06,153059468500.0
2004-11-13,153535193400.0
2004-11-20,152656607250.0
2004-11-27,152286711800.0
2004-12-04,154735837200.0
2004-12-11,157471550800.0
2004-12-18,157680418200.0
2004-12-25,159704857400.0
2005-01-01,158384649000.0
2005-01-08,159830689000.0
2005-01-15,160346587000.0
2005-01-22,159056599200.0
2005-01-29,158324527200.0
2005-02-05,159860470400.0
2005-02-12,160243050333.33334
2005-02-19,158742312400.0
2005-02-26,157885288200.0
2005-03-05,159736264400.0
2005-03-12,160087632800.0
2005-03-19,158894728000.0
2005-03-26,157998434250.0
2005-04-02,158054267800.0
2005-04-09,160499113600.0
2005-04-16,159643001000.0
2005-04-23,158622419500.0
2005-04-30,157951916400.0
2005-05-07,159435804800.0
2005-05-14,159456482600.0
2005-05-21,158169332000.0
2005-05-28,157611823500.0
2005-06-04,158707400800.0
2005-06-11,159977996200.0
2005-06-18,159041508800.0
2005-06-25,158338724000.0
2005-07-02,158665211200.0
2005-07-09,161342073000.0
2005-07-16,161069241600.0
2005-07-23,160261091600.0
2005-07-30,160172571800.0
2005-08-06,162115867600.0
2005-08-13,162305531200.0
2005-08-20,161175615400.0
2005-08-27,160258262200.0
2005-09-03,160927969600.0
2005-09-10,162868891000.0
2005-09-17,161923717400.0
2005-09-24,161155753600.0
2005-10-01,160644438000.0
2005-10-08,162680901600.0
2005-10-15,162710091000.0
2005-10-22,161550582000.0
2005-10-29,161209199000.0
2005-11-05,162741691000.0
2005-11-12,163420376600.0
2005-11-19,162351307000.0
2005-11-26,161501118200.0
2005-12-03,163406975400.0
2005-12-10,167200238600.0
2005-12-17,167488751800.0
2005-12-24,169201499800.0
2005-12-31,168492038600.0
2006-01-07,170124930800.0
2006-01-14,170512148200.0
2006-01-21,168643230000.0
2006-01-28,167495434800.0
2006-02-04,168562065000.0
2006-02-11,169395514400.0
2006-02-18,167862079400.0
2006-02-25,167491430200.0
2006-03-04,169382756666.66666
2006-03-11,169219706400.0
2006-03-18,167620066000.0
2006-03-25,166255156600.0
2006-04-01,165605656400.0
2006-04-08,167674775600.0
2006-04-15,167528435000.0
2006-04-22,166024566750.0
2006-04-29,165187275000.0
2006-05-06,166797962250.0
2006-05-13,167091257400.0
2006-05-20,165596140200.0
2006-05-27,164665693400.0
2006-06-03,165388685800.0
2006-06-10,167612619000.0
2006-06-17,166943691250.0
2006-06-24,166009590800.0
2006-07-01,165784735400.0
2006-07-08,169063283200.0
2006-07-15,170087773000.0
2006-07-22,169155072000.0
2006-07-29,168538953600.0
2006-08-05,170775708400.0
2006-08-12,171910124200.0
2006-08-19,170646751400.0
2006-08-26,169712573000.0
2006-09-02,169954338000.0
2006-09-09,173566374750.0
2006-09-16,173292646800.0
2006-09-23,172564603000.0
2006-09-30,172348189800.0
2006-10-07,175247044200.0
2006-10-14,175890205500.0
2006-10-21,174510324400.0
2006-10-28,174242660000.0
2006-11-04,176206357250.0
2006-11-11,178196747800.0
2006-11-18,177955683000.0
2006-11-25,177263930400.0
2006-12-02,178486201200.0
2006-12-09,183538291800.0
2006-12-16,184207298400.0
2006-12-23,186956828000.0
2006-12-30,187783051250.0
2007-01-06,189378013000.0
2007-01-13,191115190400.0
2007-01-20,189433535800.0
2007-01-27,188467721800.0
2007-02-03,189539521000.0
2007-02-10,192363918800.0
2007-02-17,191212620600.0
2007-02-24,190511807333.33334
2007-03-03,191833906200.0
2007-03-10,194859343200.0
2007-03-17,193855514200.0
2007-03-24,192899055800.0
2007-03-31,193048224600.0
2007-04-07,196342494000.0
2007-04-14,197491866000.0
2007-04-21,196468192200.0
2007-04-28,196495079000.0
2007-05-05,198767089000.0
2007-05-12,200776648000.0
2007-05-19,199702921800.0
2007-05-26,198971797000.0
2007-06-02,199572440200.0
2007-06-09,203231271750.0
2007-06-16,202720324000.0
2007-06-23,202117131200.0
2007-06-30,202254932000.0
2007-07-07,206345946600.0
2007-07-14,208383834800.0
2007-07-21,207484166800.0
2007-07-28,207033745000.0
2007-08-04,209138473600.0
2007-08-11,211527247800.0
2007-08-18,211315629000.0
2007-08-25,210961150800.0
2007-09-01,211499911200.0
2007-09-08,215737825500.0
2007-09-15,217280861400.0
2007-09-22,216535408400.0
2007-09-29,216886007000.0
2007-10-06,220183607000.0
2007-10-13,221210085000.0
2007-10-20,220047975400.0
2007-10-27,219331321400.0
2007-11-03,221028466000.0
2007-11-10,223568358000.0
2007-11-17,223261727500.0
2007-11-24,222568062600.0
2007-12-01,222823792400.0
2007-12-08,229096245600.0
2007-12-15,230191630800.0
2007-12-22,232965946000.0
2007-12-29,234524974250.0
2008-01-05,236260923500.0
2008-01-12,237922257000.0
2008-01-19,236146674000.0
2008-01-26,235369208800.0
2008-02-02,237459361800.0
2008-02-09,240188405333.33334
2008-02-16,238887622400.0
2008-02-23,238400360800.0
2008-03-01,238799175800.0
2008-03-08,242522531400.0
2008-03-15,242192075200.0
2008-03-22,241618813000.0
2008-03-29,241453588000.0
2008-04-05,244865339200.0
2008-04-12,245948002800.0
2008-04-19,244650435400.0
2008-04-26,244023217750.0
2008-05-03,243435498500.0
2008-05-10,244049010800.0
2008-05-17,243691957400.0
2008-05-24,243172483500.0
2008-05-31,243269124200.0
2008-06-07,245775209200.0
2008-06-14,246284564000.0
2008-06-21,245782598600.0
2008-06-28,245869301000.0
2008-07-05,249296897400.0
2008-07-12,251245734800.0
2008-07-19,251005863800.0
2008-07-26,250069407600.0
2008-08-02,250759188800.0
2008-08-09,253098460800.0
2008-08-16,252267780200.0
2008-08-23,251714142000.0
2008-08-30,252677686800.0
2008-09-06,256332054200.0
2008-09-13,256634498400.0
2008-09-20,256112719400.0
2008-09-27,255998770800.0
2008-10-04,258653930000.0
2008-10-11,259849375800.0
2008-10-18,258606500600.0
2008-10-25,257794410400.0
2008-11-01,257910535200.0
2008-11-08,261189599200.0
2008-11-15,261071834600.0
2008-11-22,260613841800.0
2008-11-29,260996964800.0
2008-12-06,265975909400.0
2008-12-13,267760628200.0
2008-12-20,268961368200.0
2008-12-27,270274028500.0
2009-01-03,270820698500.0
2009-01-10,273636039400.0
2009-01-17,272083319400.0
2009-01-24,270362239600.0
2009-01-31,269824969000.0
2009-02-07,273129092200.0
2009-02-14,273091049200.0
2009-02-21,272095507800.0
2009-02-28,272490658666.66666
2009-03-07,275639557600.0
2009-03-14,275282893200.0
2009-03-21,273536954600.0
2009-03-28,272661570800.0
2009-04-04,275488970000.0
2009-04-11,277657075750.0
2009-04-18,276210823600.0
2009-04-25,275028017750.0
2009-05-02,274231657500.0
2009-05-09,277462578000.0
2009-05-16,277297102600.0
2009-05-23,276432203800.0
2009-05-30,276743779000.0
2009-06-06,280604764000.0
2009-06-13,281256411500.0
2009-06-20,280151587600.0
2009-06-27,279866031600.0
2009-07-04,283736354400.0
2009-07-11,287294569000.0
2009-07-18,287478779000.0
2009-07-25,287971433000.0
2009-08-01,288426094200.0
2009-08-08,292870273000.0
2009-08-15,293552841400.0
2009-08-22,293124446600.0
2009-08-29,293176871000.0
2009-09-05,297681370200.0
2009-09-12,300114787500.0
2009-09-19,299205854800.0
2009-09-26,298323879800.0
2009-10-03,299875483400.0
2009-10-10,302216698400.0
2009-10-17,300861814000.0
2009-10-24,299998623400.0
2009-10-31,300648559000.0
2009-11-07,303981535750.0
2009-11-14,304895929600.0
2009-11-21,304658405800.0
2009-11-28,305130437800.0
2009-12-05,311782062200.0
2009-12-12,314523459800.0
2009-12-19,316346005400.0
2009-12-26,319306746750.0
2010-01-02,319033451250.0
2010-01-09,323070025200.0
2010-01-16,323064773400.0
2010-01-23,321722514600.0
2010-01-30,321470363600.0
2010-02-06,324811380600.0
2010-02-13,324739855400.0
2010-02-20,323283145000.0
2010-02-27,323337321600.0
2010-03-06,327545313200.0
2010-03-13,327874777000.0
2010-03-20,327082508800.0
2010-03-27,326110618000.0
2010-04-03,327544151750.0
2010-04-10,330570131200.0
2010-04-17,330731524000.0
2010-04-24,330374943250.0
2010-05-01,330010394800.0
2010-05-08,333527981200.0
2010-05-15,334404649800.0
2010-05-22,334141917200.0
2010-05-29,334440774600.0
2010-06-05,336820979750.0
2010-06-12,338953593200.0
2010-06-19,338298595400.0
2010-06-26,338251260600.0
2010-07-03,341074434000.0
2010-07-10,345552872200.0
2010-07-17,345781400200.0
2010-07-24,347739362200.0
2010-07-31,347580604800.0
2010-08-07,352270470000.0
2010-08-14,352776049800.0
2010-08-21,352179346600.0
2010-08-28,351500079000.0
2010-09-04,355496791200.0
2010-09-11,359323482000.0
2010-09-18,358758089200.0
2010-09-25,358230161200.0
2010-10-02,359315672000.0
2010-10-09,363548209800.0
2010-10-16,362380392750.0
2010-10-23,362436800200.0
2010-10-30,362937559600.0
2010-11-06,367155854500.0
2010-11-13,367630464000.0
2010-11-20,366361071000.0
2010-11-27,366234578800.0
2010-12-04,371610881600.0
2010-12-11,375823068000.0
2010-12-18,375981510200.0
2010-12-25,378779384600.0
2011-01-01,377950379400.0
2011-01-08,382431727200.0
2011-01-15,382961306200.0
2011-01-22,381226653600.0
2011-01-29,379807931400.0
2011-02-05,383090554800.0
2011-02-12,383418243600.0
2011-02-19,381760107200.0
2011-02-26,380838341200.0
2011-03-05,385068856400.0
2011-03-12,385572689333.3333
2011-03-19,384178506800.0
2011-03-26,382757946000.0
2011-04-02,383441238200.0
2011-04-09,386999959000.0
2011-04-16,385732054400.0
2011-04-23,384177022000.0
2011-04-30,383425952000.0
2011-05-07,387292123000.0
2011-05-14,387058301600.0
2011-05-21,385718341800.0
2011-05-28,384285265000.0
2011-06-04,386979384200.0
2011-06-11,389083671000.0
2011-06-18,387432460800.0
2011-06-25,386510143750.0
2011-07-02,387340691800.0
2011-07-09,392582940600.0
2011-07-16,392449993000.0
2011-07-23,394297039800.0
2011-07-30,394210750400.0
2011-08-06,399090207600.0
2011-08-13,399860434000.0
2011-08-20,399190058600.0
2011-08-27,398353111200.0
2011-09-03,401243497800.0
2011-09-10,406188085250.0
2011-09-17,406292907400.0
2011-09-24,405995322400.0
2011-10-01,405837699000.0
2011-10-08,410417755600.0
2011-10-15,410214009000.0
2011-10-22,409237516200.0
2011-10-29,409224339000.0
2011-11-05,413250349500.0
2011-11-12,414712475600.0
2011-11-19,413798967250.0
2011-11-26,411719952200.0
2011-12-03,413059963200.0
2011-12-10,416489628400.0
2011-12-17,416144417000.0
2011-12-24,418654009600.0
2011-12-31,419111014200.0
2012-01-07,423934068200.0
2012-01-14,424803321000.0
2012-01-21,422941008200.0
2012-01-28,421373180200.0
2012-02-04,422894769000.0
2012-02-11,424689484000.0
2012-02-18,423312449400.0
2012-02-25,422493976333.3333
2012-03-03,424174460400.0
2012-03-10,427713031600.0
2012-03-17,427230222000.0
2012-03-24,426604613000.0
2012-03-31,426736860600.0
2012-04-07,430553698000.0
2012-04-14,431732477600.0
2012-04-21,431239885600.0
2012-04-28,431424520000.0
2012-05-05,435061097000.0
2012-05-12,438145269800.0
2012-05-19,438796876000.0
2012-05-26,438966725800.0
2012-06-02,440436173800.0
2012-06-09,444671881000.0
2012-06-16,445085233400.0
2012-06-23,445355138400.0
2012-06-30,446578126800.0
2012-07-07,452038027400.0
2012-07-14,454462645000.0
2012-07-21,454886780600.0
2012-07-28,457432205200.0
2012-08-04,460255396000.0
2012-08-11,463877578800.0
2012-08-18,463318097000.0
2012-08-25,462846693200.0
2012-09-01,462991358400.0
2012-09-08,467962271250.0
2012-09-15,470693415800.0
2012-09-22,470909691200.0
2012-09-29,471155980600.0
2012-10-06,475348518200.0
2012-10-13,477352287250.0
2012-10-20,477392988000.0
2012-10-27,476624145800.0
2012-11-03,477831423000.0
2012-11-10,481310129200.0
2012-11-17,481557242750.0
2012-11-24,480724277600.0
2012-12-01,481445922600.0
2012-12-08,488599012400.0
2012-12-15,490860565000.0
2012-12-22,493183467000.0
2012-12-29,494992971500.0
2013-01-05,498822976500.0
2013-01-12,502266552400.0
2013-01-19,500950493000.0
2013-01-26,499340676400.0
2013-02-02,499660446800.0
2013-02-09,503463333800.0
2013-02-16,502759703000.0
2013-02-23,502380271200.0
2013-03-02,503988663600.0
2013-03-09,509645868000.0
2013-03-16,510476300800.0
2013-03-23,510081317000.0
2013-03-30,511041810750.0
2013-04-06,515925582400.0
2013-04-13,517520879600.0
2013-04-20,517236683600.0
2013-04-27,516676755800.0
2013-05-04,518993523750.0
2013-05-11,523095841600.0
2013-05-18,523819195400.0
2013-05-25,524051743800.0
2013-06-01,524953938750.0
2013-06-08,530222407000.0
2013-06-15,532189155200.0
2013-06-22,532920224000.0
2013-06-29,534974610600.0
2013-07-06,541976832800.0
2013-07-13,544687628200.0
2013-07-20,544747247800.0
2013-07-27,547783119000.0
2013-08-03,549624226400.0
2013-08-10,554423710600.0
2013-08-17,554470281200.0
2013-08-24,554124050800.0
2013-08-31,554472346800.0
2013-09-07,561369505400.0
2013-09-14,564950699400.0
2013-09-21,565219517000.0
2013-09-28,564782948400.0
2013-10-05,568944161200.0
2013-10-12,570749500200.0
2013-10-19,570457195400.0
2013-10-26,570626787400.0
2013-11-02,572638008000.0
2013-11-09,577848774200.0
2013-11-16,578622238000.0
2013-11-23,578381599200.0
2013-11-30,579659223400.0
2013-12-07,587552832800.0
2013-12-14,590764874800.0
2013-12-21,593157749000.0
2013-12-28,596631562000.0
2014-01-04,599354233000.0
2014-01-11,604143790000.0
2014-01-18,603333244400.0
2014-01-25,601201176000.0
2014-02-01,600263062200.0
2014-02-08,604754334600.0
2014-02-15,605061323200.0
2014-02-22,603792392200.0
2014-03-01,604329120600.0
2014-03-08,609277590666.6666
2014-03-15,610315553400.0
2014-03-22,610001387600.0
2014-03-29,609706788200.0
2014-04-05,614876140600.0
2014-04-12,616602651400.0
2014-04-19,614939321250.0
2014-04-26,613080069000.0
2014-05-03,613640522750.0
2014-05-10,617751769400.0
2014-05-17,617638305200.0
2014-05-24,616626211000.0
2014-05-31,616859544600.0
2014-06-07,622737680200.0
2014-06-14,624073640600.0
2014-06-21,623295443250.0
2014-06-28,622792349000.0
2014-07-05,630197906600.0
2014-07-12,633220709800.0
2014-07-19,633156490000.0
2014-07-26,631199991200.0
2014-08-02,632230246400.0
2014-08-09,637736124200.0
2014-08-16,637004668200.0
2014-08-23,635418749200.0
2014-08-30,635163582000.0
2014-09-06,642089289000.0
2014-09-13,643817228600.0
2014-09-20,643153388600.0
2014-09-27,641342451800.0
2014-10-04,644198688600.0
2014-10-11,647551079000.0
2014-10-18,646646577600.0
2014-10-25,645383568400.0
2014-11-01,644858539200.0
2014-11-08,649735002200.0
2014-11-15,649716847400.0
2014-11-22,648479156600.0
2014-11-29,648890224800.0
2014-12-06,657214843200.0
2014-12-13,658413098400.0
2014-12-20,659007378600.0
2014-12-27,662244794750.0
2015-01-03,662363735500.0
2015-01-10,667643886000.0
2015-01-17,664549639200.0
2015-01-24,660594469200.0
2015-01-31,658297550200.0
2015-02-07,663100272200.0
2015-02-14,661594581400.0
2015-02-21,656564137666.6666
2015-02-28,654803190400.0
2015-03-07,659794365400.0
2015-03-14,657479768000.0
2015-03-21,651378673000.0
2015-03-28,647643974400.0
2015-04-04,650857500500.0
2015-04-11,653513875200.0
2015-04-18,650067074000.0
2015-04-25,647012198250.0
2015-05-02,645642155500.0
2015-05-09,650427756600.0
2015-05-16,648989420800.0
2015-05-23,645860848000.0
2015-05-30,645006815000.0
2015-06-06,650213852250.0
2015-06-13,649403886200.0
2015-06-20,645986150400.0
2015-06-27,643463635800.0
2015-07-04,647811900200.0
2015-07-11,651609434800.0
2015-07-18,648148422400.0
2015-07-25,644848397800.0
2015-08-01,643984856600.0
2015-08-08,649552467200.0
2015-08-15,647485788400.0
2015-08-22,644312376600.0
2015-08-29,642005122000.0
2015-09-05,647291500600.0
2015-09-12,647057356500.0
2015-09-19,643821247400.0
2015-09-26,640476732000.0
2015-10-03,643090836200.0
2015-10-10,648548325200.0
2015-10-17,645036304500.0
2015-10-24,641962182800.0
2015-10-31,641097098200.0
2015-11-07,645795208500.0
2015-11-14,645655384600.0
2015-11-21,642719333000.0
2015-11-28,641189745600.0
2015-12-05,651460530200.0
2015-12-12,654036687200.0
2015-12-19,654004485800.0
2015-12-26,655996287500.0
2016-01-02,654780676250.0
2016-01-09,658116315200.0
2016-01-16,655024013600.0
2016-01-23,649114220400.0
2016-01-30,646038387200.0
2016-02-06,650142754200.0
2016-02-13,649403612333.3334
2016-02-20,645295438800.0
2016-02-27,642437720800.0
2016-03-05,648512157400.0
2016-03-12,648439361200.0
2016-03-19,645142741800.0
2016-03-26,641460841000.0
2016-04-02,641741610200.0
2016-04-09,646652486600.0
2016-04-16,642851217600.0
2016-04-23,638610805000.0
2016-04-30,636949154400.0
2016-05-07,641976883800.0
2016-05-14,641211505000.0
2016-05-21,638217592800.0
2016-05-28,635607978000.0
2016-06-04,638857782800.0
2016-06-11,642385925200.0
2016-06-18,638546334200.0
2016-06-25,635560363800.0
2016-07-02,636042475800.0
2016-07-09,643475201800.0
2016-07-16,641368923600.0
2016-07-23,638902450400.0
2016-07-30,638047100600.0
2016-08-06,643990285600.0
2016-08-13,643544251800.0
2016-08-20,640906531400.0
2016-08-27,637814214000.0
2016-09-03,640558587400.0
2016-09-10,646898759000.0
2016-09-17,644570557600.0
2016-09-24,641594326800.0
2016-10-01,639875941800.0
2016-10-08,645804185000.0
2016-10-15,645433232250.0
2016-10-22,643534075400.0
2016-10-29,642544914200.0
2016-11-05,646254828000.0
2016-11-12,648229041200.0
2016-11-19,646521077750.0
2016-11-26,644595510800.0
2016-12-03,649225443600.0
2016-12-10,658856559000.0
2016-12-17,657831417000.0
2016-12-24,661331688600.0
2016-12-31,662556371400.0
2017-01-07,668461893600.0
2017-01-14,665915309800.0
2017-01-21,661353844800.0
2017-01-28,657117921800.0
2017-02-04,659634137600.0
2017-02-11,662167224400.0
2017-02-18,657923206000.0
2017-02-25,656248139200.0
2017-03-04,661301410333.3334
2017-03-11,663092780000.0
2017-03-18,661288839200.0
2017-03-25,657651149600.0
2017-04-01,656033174200.0
2017-04-08,662169458800.0
2017-04-15,663492878750.0
2017-04-22,660471224000.0
2017-04-29,658643016400.0
2017-05-06,663904239000.0
2017-05-13,665405029000.0
2017-05-20,664739096200.0
2017-05-27,662337711800.0
2017-06-03,665052122200.0
2017-06-10,671472572800.0
2017-06-17,673083072000.0
2017-06-24,671571142000.0
2017-07-01,671661389200.0
2017-07-08,680885832200.0
2017-07-15,682467237600.0
2017-07-22,680513133800.0
2017-07-29,678982296600.0
2017-08-05,685194826000.0
2017-08-12,687576205400.0
2017-08-19,685923570800.0
2017-08-26,683468017200.0
2017-09-02,684915785200.0
2017-09-09,693649753000.0
2017-09-16,693620952600.0
2017-09-23,691740986600.0
2017-09-30,690637995600.0
2017-10-07,697498689600.0
2017-10-14,697232541250.0
2017-10-21,694907210400.0
2017-10-28,692486411800.0
2017-11-04,695898674000.0
2017-11-11,699617688200.0
2017-11-18,698027089000.0
2017-11-25,696213840200.0
2017-12-02,698856676000.0
2017-12-09,711895957000.0
2017-12-16,713238341600.0
2017-12-23,718364458800.0
2017-12-30,722289296000.0
2018-01-06,727248150250.0
2018-01-13,727509826600.0
2018-01-20,724319955000.0
2018-01-27,721135755800.0
2018-02-03,722270764200.0
2018-02-10,727646000400.0
2018-02-17,723438857000.0
2018-02-24,722038819000.0
2018-03-03,724760602200.0
2018-03-10,732092691400.0
2018-03-17,730059051000.0
2018-03-24,727151563600.0
2018-03-31,727439889750.0
2018-04-07,735271877200.0
2018-04-14,736331078600.0
2018-04-21,734289145800.0
2018-04-28,733375069200.0
2018-05-05,738223917250.0
2018-05-12,741924698600.0
2018-05-19,739330726000.0
2018-05-26,737196448600.0
2018-06-02,738991858750.0
2018-06-09,745821576400.0
2018-06-16,744600088200.0
2018-06-23,743788932200.0
2018-06-30,744759535000.0
2018-07-07,754620482400.0
