date,Brazil
2014-01-11,59.5
2014-01-18,58.0
2014-01-25,58.0
2014-02-01,57.0
2014-02-08,56.5
2014-02-15,58.0
2014-02-22,61.0
2014-03-01,60.5
2014-03-08,60.0
2014-03-15,59.0
2014-03-22,60.0
2014-03-29,58.0
2014-04-05,60.0
2014-04-12,60.0
2014-04-19,62.0
2014-04-26,58.0
2014-05-03,61.0
2014-05-10,58.0
2014-05-17,60.7
2014-05-24,62.0
2014-05-31,60.0
2014-06-07,60.9
2014-06-14,61.0
2014-06-21,60.5
2014-06-28,60.0
2014-07-05,57.0
2014-07-12,56.0
2014-07-19,56.0
2014-07-26,57.0
2014-08-02,57.0
2014-08-09,58.0
2014-08-16,56.0
2014-08-23,57.0
2014-08-30,56.0
2014-09-06,55.2
2014-09-13,54.0
2014-09-20,53.0
2014-09-27,53.0
2014-10-04,54.0
2014-10-11,53.0
2014-10-18,55.0
2014-10-25,53.3
2014-11-01,58.1
2014-11-08,56.3
2014-11-15,57.3
2014-11-22,54.8
2014-11-29,57.0
2014-12-06,57.0
2014-12-13,58.0
2014-12-20,55.3
2014-12-27,55.3
2015-01-03,55.8
2015-01-10,56.3
2015-01-17,53.3
2015-01-24,50.8
2015-01-31,50.3
2015-02-07,52.0
2015-02-14,54.0
2015-02-21,53.8
2015-02-28,53.8
2015-03-07,53.8
2015-03-14,56.3
2015-03-21,56.3
2015-03-28,55.8
2015-04-04,56.3
2015-04-11,56.0
2015-04-18,55.0
2015-04-25,54.5
2015-05-02,53.0
2015-06-06,53.5
2015-06-13,54.0
2015-06-20,53.5
2015-06-27,54.0
2015-07-04,56.0
2015-07-11,56.0
2015-07-18,58.0
2015-07-25,59.0
2015-08-01,58.5
2015-08-08,58.0
2015-08-15,59.0
2015-08-22,60.0
2015-08-29,58.0
2015-09-05,68.0
2015-09-12,67.0
2015-09-19,68.0
2015-09-26,69.0
2015-10-03,70.0
2015-10-10,67.0
2015-10-17,70.0
2015-10-24,70.0
2015-10-31,72.0
2015-11-07,70.0
2015-11-14,69.0
2015-11-21,72.0
2015-11-28,68.0
2015-12-05,72.0
2015-12-12,72.0
2015-12-19,71.0
2015-12-26,72.0
2016-01-02,70.0
2016-01-09,64.0
2016-01-16,74.0
2016-01-23,72.0
2016-01-30,70.0
2016-02-06,67.0
2016-02-13,64.0
2016-02-20,65.0
2016-02-27,64.0
2016-03-05,62.0
2016-03-12,60.0
2016-03-19,60.5
2016-03-26,60.5
2016-04-02,62.0
2016-04-09,60.0
2016-04-16,61.0
2016-04-23,64.0
2016-04-30,68.0
2016-05-07,68.0
2016-05-14,71.0
2016-05-21,75.0
2016-05-28,76.0
2016-06-04,80.0
2016-06-11,84.0
2016-06-18,85.5
2016-06-25,82.0
2016-07-02,81.5
2016-07-09,78.0
2016-07-16,77.5
2016-07-23,75.0
2016-07-30,73.0
2016-08-06,70.0
2016-08-13,72.0
2016-08-20,73.0
2016-08-27,74.0
2016-09-03,73.0
2016-09-10,72.0
2016-09-17,72.0
2016-09-24,72.0
2016-10-01,70.0
2016-10-08,70.0
2016-10-15,70.0
2016-10-22,69.0
2016-10-29,68.0
2016-11-05,67.0
2016-11-12,66.0
2016-11-19,70.0
2016-11-26,69.0
2016-12-03,68.0
2016-12-10,70.0
2016-12-17,69.0
2016-12-24,67.0
2016-12-31,67.0
2017-01-07,65.0
2017-01-14,66.0
2017-01-21,64.0
2017-01-28,66.0
2017-02-04,61.0
2017-02-11,61.0
2017-02-18,61.0
2017-02-25,60.0
2017-03-04,59.0
2017-03-11,58.0
2017-03-18,57.0
2017-03-25,55.0
2017-04-01,54.0
2017-04-08,51.0
2017-04-15,51.0
2017-04-22,52.0
2017-04-29,56.0
2017-05-06,57.0
2017-05-13,58.0
2017-05-20,56.0
2017-05-27,59.0
2017-06-03,57.0
2017-06-10,54.0
2017-06-17,56.0
2017-06-24,57.0
2017-07-01,55.0
2017-07-08,57.0
2017-07-15,61.0
2017-07-22,58.0
2017-07-29,54.0
2017-08-05,54.0
2017-08-12,56.0
2017-08-19,57.0
2017-08-26,57.0
2017-09-02,57.5
2017-09-09,58.0
2017-09-16,59.0
2017-09-23,58.5
2017-09-30,60.0
2017-10-07,60.0
2017-10-14,59.0
2017-10-21,61.0
2017-10-28,60.0
2017-11-04,62.0
2017-11-11,62.0
2017-11-18,59.5
2017-11-25,62.0
2017-12-02,60.0
2017-12-09,63.0
2017-12-16,62.5
2017-12-23,62.0
2017-12-30,62.5
2018-01-06,62.5
2018-01-13,62.5
2018-01-20,63.0
2018-01-27,62.0
2018-02-03,60.0
2018-02-10,60.0
2018-02-17,60.0
2018-02-24,61.0
2018-03-03,62.0
2018-03-10,65.5
2018-03-17,65.0
2018-03-24,64.5
2018-03-31,66.0
2018-04-07,69.0
2018-04-14,72.0
2018-04-21,71.0
2018-04-28,72.0
2018-05-05,73.0
2018-05-12,73.0
2018-05-19,74.5
2018-05-26,73.0
2018-06-02,72.0
2018-06-09,71.0
2018-06-16,69.5
2018-06-23,67.5
2018-06-30,68.0
2018-07-07,68.35
2018-07-14,70.0
2018-07-21,75.0
2018-07-28,74.0
2018-08-04,75.0
2018-08-11,75.0
2018-08-18,75.0
2018-08-25,77.0
2018-09-01,77.0
2018-09-08,79.0
2018-09-15,80.0
2018-09-22,82.0
2018-09-29,76.7
2018-10-06,82.0
2018-10-13,78.0
2018-10-20,78.0
