date,Brazil
2012-03-31,2635
2012-04-28,2484
2012-05-26,2481
2012-06-30,2487
2012-07-28,2498
2012-08-25,2508
2012-09-29,2508
2012-10-27,2510
2012-11-24,2506
2012-12-29,2527
2013-01-26,2652
2013-02-23,2665
2013-03-30,2650
2013-04-27,2534
2013-05-25,2537
2013-06-29,2559
2013-07-27,2579
2013-08-31,2594
2013-09-28,2594
2013-10-26,2605
2013-11-30,2600
2013-12-28,2605
2014-01-25,2696
2014-02-22,2719
2014-03-29,2732
2014-04-26,2637
2014-05-31,2632
2014-06-28,2615
2014-07-26,2603
2014-08-30,2619
2014-09-27,2623
2014-10-25,2636
2014-11-29,2618
2014-12-27,2639
2015-01-31,2740
2015-02-28,2739
2015-03-28,2719
2015-04-25,2617
2015-05-30,2601
2015-06-27,2611
2015-07-25,2595
2015-08-29,2578
2015-09-26,2569
2015-10-31,2564
2015-11-28,2563
2015-12-26,2648
2016-01-30,2899
2016-02-27,2896
2016-03-26,2821
2016-04-30,2568
2016-05-28,2562
2016-06-25,2536
2016-07-30,2542
2016-08-27,2564
2016-09-24,2556
2016-10-29,2550
2016-11-26,2547
2016-12-31,2647
2017-01-28,2893
2017-02-25,2918
2017-03-25,2855
2017-04-29,2609
2017-05-27,2589
2017-06-24,2571
2017-07-29,2581
2017-08-26,2588
2017-09-30,2600
2017-10-28,2599
2017-11-25,2600
2017-12-30,2689
2018-01-27,2938
2018-02-24,2963
2018-03-31,2877
2018-04-28,2646
2018-05-26,2637
2018-06-30,2633
2018-07-28,2633
2018-08-25,2648
2018-09-29,2635
2018-10-27,2627
2018-11-24,2619
2018-12-29,2723
2019-01-26,2990
2019-02-23,3014
2019-03-30,2918
2019-04-27,2655
2019-05-25,2624
2019-06-29,2627
2019-07-27,2629
2019-08-31,2652
2019-09-28,2642
2019-10-26,2650
2019-11-30,2656
2019-12-28,2753
2020-01-25,3009
2020-02-29,3021
2020-03-28,2939
2020-04-25,2697
2020-05-30,2634
2020-06-27,2591
2020-07-25,2594
2020-08-29,2634
2020-09-26,2688
2020-10-31,2679
2020-11-28,2684
2020-12-26,2724
2021-01-30,2929
2021-02-27,2920
2021-03-27,2865
2021-04-24,2650
2021-05-29,2644
2021-06-26,2617
2021-07-31,2601
2021-08-28,2573
2021-09-25,2526
2021-10-30,2483
2021-11-27,2450
