date,Brazil
2003-01-04,47.0
2003-01-11,266.0
2003-01-18,195.0
2003-01-25,380.0
2003-02-01,272.0
2003-02-08,338.0
2003-02-15,451.0
2003-02-22,130.0
2003-03-01,204.0
2003-03-08,258.0
2003-03-15,233.0
2003-03-22,326.0
2003-03-29,562.0
2003-04-05,247.0
2003-04-12,461.0
2003-04-19,374.0
2003-04-26,403.0
2003-05-03,19.0
2003-05-10,447.0
2003-05-17,646.0
2003-05-24,604.0
2003-05-31,791.0
2003-06-07,483.0
2003-06-14,554.0
2003-06-21,565.0
2003-06-28,629.0
2003-07-05,346.0
2003-07-12,381.0
2003-07-19,250.0
2003-07-26,755.0
2003-08-02,276.0
2003-08-09,291.0
2003-08-16,472.0
2003-08-23,876.0
2003-08-30,759.0
2003-09-06,713.0
2003-09-13,701.0
2003-09-20,510.0
2003-09-27,493.0
2003-10-04,455.0
2003-10-11,611.0
2003-10-18,559.0
2003-10-25,541.0
2003-11-01,377.0
2003-11-08,433.0
2003-11-15,553.0
2003-11-22,362.0
2003-11-29,384.0
2003-12-06,697.0
2003-12-13,600.0
2003-12-20,704.0
2003-12-27,449.0
2004-01-03,35.0
2004-01-10,298.0
2004-01-17,324.0
2004-01-24,609.0
2004-01-31,322.0
2004-02-07,313.0
2004-02-14,560.0
2004-02-21,724.0
2004-02-28,385.0
2004-03-06,400.0
2004-03-13,511.0
2004-03-20,629.0
2004-03-27,602.0
2004-04-03,108.0
2004-04-10,468.0
2004-04-17,242.0
2004-04-24,690.0
2004-05-01,450.0
2004-05-08,534.0
2004-05-15,642.0
2004-05-22,621.0
2004-05-29,1096.0
2004-06-05,619.0
2004-06-12,693.0
2004-06-19,880.0
2004-06-26,1114.0
2004-07-03,271.0
2004-07-10,773.0
2004-07-17,633.0
2004-07-24,954.0
2004-07-31,849.0
2004-08-07,937.0
2004-08-14,782.0
2004-08-21,742.0
2004-08-28,744.0
2004-09-04,551.0
2004-09-11,643.0
2004-09-18,823.0
2004-09-25,922.0
2004-10-02,309.0
2004-10-09,1092.0
2004-10-16,304.0
2004-10-23,650.0
2004-10-30,652.0
2004-11-06,683.0
2004-11-13,546.0
2004-11-20,209.0
2004-11-27,567.0
2004-12-04,211.0
2004-12-11,843.0
2004-12-18,643.0
2004-12-25,1188.0
2005-01-01,625.0
2005-01-08,376.0
2005-01-15,540.0
2005-01-22,292.0
2005-01-29,872.0
2005-02-05,600.0
2005-02-12,449.0
2005-02-19,989.0
2005-02-26,612.0
2005-03-05,610.0
