date,Brazil
2003-01-25,80.6
2003-02-22,80.4
2003-03-29,79.7
2003-04-26,79.7
2003-05-31,79.8
2003-06-28,79.4
2003-07-26,79.0
2003-08-30,79.1
2003-09-27,79.6
2003-10-25,79.4
2003-11-29,79.5
2003-12-27,79.7
2004-01-31,80.2
2004-02-28,80.3
2004-03-27,81.1
2004-04-24,81.5
2004-05-29,81.2
2004-06-26,81.9
2004-07-31,82.6
2004-08-28,82.5
2004-09-25,82.7
2004-10-30,82.6
2004-11-27,82.2
2004-12-25,82.6
2005-01-29,82.6
2005-02-26,82.4
2005-03-26,82.6
2005-04-30,82.5
2005-05-28,81.7
2005-06-25,82.0
2005-07-30,81.6
2005-08-27,81.7
2005-09-24,80.9
2005-10-29,81.3
2005-11-26,81.8
2005-12-31,81.8
2006-01-28,81.2
2006-02-25,81.7
2006-03-25,81.3
2006-04-29,80.9
2006-05-27,82.2
2006-06-24,81.8
2006-07-29,81.5
2006-08-26,81.8
2006-09-30,81.9
2006-10-28,81.7
2006-11-25,82.1
2006-12-30,82.2
2007-01-27,82.3
2007-02-24,82.3
2007-03-31,82.9
2007-04-28,82.3
2007-05-26,82.8
2007-06-30,82.5
2007-07-28,82.6
2007-08-25,83.2
2007-09-29,82.7
2007-10-27,83.3
2007-11-24,83.7
2007-12-29,83.9
2008-01-26,84.6
2008-02-23,84.5
2008-03-29,83.7
2008-04-26,84.0
2008-05-31,83.5
2008-06-28,83.7
2008-07-26,83.9
2008-08-30,83.1
2008-09-27,83.6
2008-10-25,83.0
2008-11-29,81.7
2008-12-27,80.1
2009-01-31,79.6
2009-02-28,79.4
2009-03-28,79.6
2009-04-25,80.0
2009-05-30,80.1
2009-06-27,80.2
2009-07-25,80.6
2009-08-29,80.7
2009-09-26,81.2
2009-10-31,81.7
2009-11-28,82.0
2009-12-26,82.9
2010-01-30,82.3
2010-02-27,81.9
2010-03-27,83.2
2010-04-24,83.9
2010-05-29,83.7
2010-06-26,83.7
2010-07-31,83.7
2010-08-28,83.6
2010-09-25,83.4
2010-10-30,83.3
2010-11-27,83.8
2010-12-25,83.6
2011-01-29,83.9
2011-02-26,84.0
2011-03-26,83.6
2011-04-30,83.2
2011-05-28,83.4
2011-06-25,83.5
2011-07-30,83.0
2011-08-27,83.4
2011-09-24,82.9
2011-10-29,82.6
2011-11-26,82.5
2011-12-31,82.4
2012-01-28,80.9
2012-02-25,82.5
2012-03-31,82.4
2012-04-28,81.9
2012-05-26,82.3
2012-06-30,82.1
2012-07-28,82.1
2012-08-25,82.3
2012-09-29,82.2
2012-10-27,82.4
2012-11-24,82.5
2012-12-29,82.6
2013-01-26,83.5
2013-02-23,82.6
2013-03-30,82.4
2013-04-27,83.4
2013-05-25,82.6
2013-06-29,82.5
2013-07-27,82.5
2013-08-31,82.3
2013-09-28,82.1
2013-10-26,82.4
2013-11-30,82.1
2013-12-28,81.7
2014-01-25,82.1
2014-02-22,82.6
2014-03-29,81.0
2014-04-26,81.4
2014-05-31,81.1
2014-06-28,80.4
2014-07-26,81.4
2014-08-30,80.9
2014-09-27,81.4
2014-10-25,81.0
2014-11-29,81.0
2014-12-27,80.6
2015-01-31,81.0
2015-02-28,79.9
2015-03-28,80.6
2015-04-25,80.9
2015-05-30,79.5
2015-06-27,79.3
2015-07-25,78.6
2015-08-29,77.4
2015-09-26,77.4
2015-10-31,77.7
2015-11-28,77.3
2015-12-26,77.5
2016-01-30,77.3
2016-02-27,77.7
2016-03-26,77.5
2016-04-30,77.96
2016-05-28,77.26
2016-06-25,77.67
2016-07-30,76.45
2016-08-27,76.7
2016-09-24,76.66
2016-10-29,76.07
2016-11-26,76.18
2016-12-31,76.78
2017-01-28,77.01
2017-02-25,76.28
2017-03-25,76.89
2017-04-29,77.2
2017-05-27,77.78
2017-06-24,77.55
2017-07-29,77.41
2017-08-26,77.44
2017-09-30,77.36
2017-10-28,77.57
2017-11-25,77.89
2017-12-30,77.54
2018-01-27,77.63
2018-02-24,77.59
2018-03-31,78.19
2018-04-28,79.42
2018-05-26,76.57
2018-06-30,78.0
2018-07-28,77.75
2018-08-25,77.98
2018-09-29,77.1
2018-10-27,77.1
2018-11-24,77.1
2018-12-29,77.0
2019-01-26,77.1
2019-02-23,77.2
2019-03-30,77.2
2019-04-27,79.8
2019-05-25,79.1
2019-06-29,78.2
2019-07-27,77.6
2019-08-31,77.2
2019-09-28,77.3
2019-10-26,77.3
2019-11-30,77.8
2019-12-28,77.2
2020-01-25,77.5
2020-02-29,78.1
2020-03-28,76.0
2020-04-25,69.2
2020-05-30,72.0
2020-06-27,73.5
2020-07-25,76.0
2020-08-29,77.6
2020-09-26,78.8
2020-10-31,79.5
2020-11-28,79.3
2020-12-26,80.1
2021-01-30,79.9
2021-02-27,79.7
2021-03-27,80.9
2021-04-24,81.7
2021-05-29,81.6
2021-06-26,82.3
2021-07-31,82.0
2021-08-28,81.6
2021-09-25,81.2
2021-10-30,80.6
2021-11-27,80.5
