date,Brazil
2003-01-25,95.0
2003-02-22,94.7
2003-03-29,91.9
2003-04-26,92.4
2003-05-31,92.8
2003-06-28,91.7
2003-07-26,92.4
2003-08-30,90.9
2003-09-27,94.0
2003-10-25,93.9
2003-11-29,93.0
2003-12-27,94.3
2004-01-31,95.4
2004-02-28,94.1
2004-03-27,96.0
2004-04-24,96.3
2004-05-29,94.6
2004-06-26,97.2
2004-07-31,98.4
2004-08-28,99.3
2004-09-25,99.5
2004-10-30,99.6
2004-11-27,100.7
2004-12-25,102.3
2005-01-29,98.9
2005-02-26,97.8
2005-03-26,98.6
2005-04-30,103.3
2005-05-28,100.3
2005-06-25,102.2
2005-07-30,100.7
2005-08-27,100.5
2005-09-24,99.0
2005-10-29,98.9
2005-11-26,99.4
2005-12-31,99.1
2006-01-28,98.2
2006-02-25,97.8
2006-03-25,99.1
2006-04-29,98.4
2006-05-27,101.1
2006-06-24,99.6
2006-07-29,100.4
2006-08-26,101.0
2006-09-30,100.5
2006-10-28,101.1
2006-11-25,101.5
2006-12-30,101.3
2007-01-27,101.6
2007-02-24,100.9
2007-03-31,102.1
2007-04-28,100.7
2007-05-26,105.2
2007-06-30,105.2
2007-07-28,104.0
2007-08-25,104.8
2007-09-29,105.0
2007-10-27,106.2
2007-11-24,106.3
2007-12-29,108.6
2008-01-26,108.9
2008-02-23,110.3
2008-03-29,108.8
2008-04-26,110.7
2008-05-31,108.7
2008-06-28,111.4
2008-07-26,111.0
2008-08-30,111.2
2008-09-27,113.0
2008-10-25,111.0
2008-11-29,108.0
2008-12-27,101.5
2009-01-31,100.8
2009-02-28,99.9
2009-03-28,100.3
2009-04-25,98.1
2009-05-30,100.1
2009-06-27,100.9
2009-07-25,100.6
2009-08-29,100.3
2009-09-26,101.5
2009-10-31,103.2
2009-11-28,103.8
2009-12-26,107.4
2010-01-30,106.0
2010-02-27,106.6
2010-03-27,109.8
2010-04-24,107.3
2010-05-29,109.2
2010-06-26,108.7
2010-07-31,110.3
2010-08-28,110.3
2010-09-25,109.7
2010-10-30,109.9
2010-11-27,111.1
2010-12-25,110.3
2011-01-29,109.8
2011-02-26,112.9
2011-03-26,110.1
2011-04-30,110.4
2011-05-28,111.2
2011-06-25,109.7
2011-07-30,111.2
2011-08-27,111.1
2011-09-24,109.4
2011-10-29,108.5
2011-11-26,108.6
2011-12-31,108.6
2012-01-28,106.8
2012-02-25,108.6
2012-03-31,109.7
2012-04-28,109.1
2012-05-26,108.5
2012-06-30,108.4
2012-07-28,108.1
2012-08-25,109.3
2012-09-29,106.8
2012-10-27,108.5
2012-11-24,108.2
2012-12-29,107.9
2013-01-26,108.4
2013-02-23,106.7
2013-03-30,110.0
2013-04-27,109.2
2013-05-25,108.1
2013-06-29,108.5
2013-07-27,107.7
2013-08-31,108.8
2013-09-28,106.8
2013-10-26,108.6
2013-11-30,108.0
2013-12-28,106.4
2014-01-25,107.4
2014-02-22,109.1
2014-03-29,105.2
2014-04-26,108.3
2014-05-31,106.6
2014-06-28,101.8
2014-07-26,104.2
2014-08-30,102.6
2014-09-27,102.6
2014-10-25,102.4
2014-11-29,100.6
2014-12-27,97.9
2015-01-31,99.2
2015-02-28,98.8
2015-03-28,97.9
2015-04-25,97.5
2015-05-30,96.6
2015-06-27,94.7
2015-07-25,92.4
2015-08-29,91.5
2015-09-26,90.5
2015-10-31,90.1
2015-11-28,88.5
2015-12-26,87.1
2016-01-30,88.9
2016-02-27,88.3
2016-03-26,90.1
2016-04-30,89.0
2016-05-28,87.6
2016-06-25,87.6
2016-07-30,87.1
2016-08-27,84.6
2016-09-24,85.1
2016-10-29,83.4
2016-11-26,83.9
2016-12-31,84.6
2017-01-28,85.0
2017-02-25,85.1
2017-03-25,84.5
2017-04-29,85.8
2017-05-27,86.1
2017-06-24,84.3
2017-07-29,84.2
2017-08-26,83.7
2017-09-30,84.4
2017-10-28,83.1
2017-11-25,84.2
2017-12-30,86.0
2018-01-27,86.3
2018-02-24,85.8
2018-03-31,85.7
2018-04-28,86.3
2018-05-26,85.3
2018-06-30,85.5
2018-07-28,84.2
2018-08-25,84.1
2018-09-29,83.8
2018-10-27,83.2
2018-11-24,83.8
2018-12-29,86.3
2019-01-26,86.3
2019-02-23,87.9
2019-03-30,85.1
2019-04-27,85.7
2019-05-25,85.4
2019-06-29,84.4
2019-07-27,82.6
2019-08-31,83.5
2019-09-28,82.3
2019-10-26,82.3
2019-11-30,83.3
2019-12-28,84.4
2020-01-25,85.9
2020-02-29,87.6
2020-03-28,80.0
2020-04-25,67.0
2020-05-30,69.2
2020-06-27,76.2
2020-07-25,78.7
2020-08-29,81.5
2020-09-26,84.7
2020-10-31,85.1
2020-11-28,86.3
2020-12-26,90.9
2021-01-30,91.3
2021-02-27,90.2
2021-03-27,90.2
2021-04-24,89.4
2021-05-29,87.5
2021-06-26,87.0
2021-07-31,87.2
2021-08-28,86.8
2021-09-25,87.9
2021-10-30,87.1
2021-11-27,87.7
