date,Brazil
1996-03-30,99.54735151
1996-06-29,100.43749554
1996-09-28,104.37098349
1996-12-28,103.29977567
1997-03-29,104.3149649
1997-06-28,105.02120719
1997-09-27,106.3256658
1997-12-27,107.14997248
1998-03-28,105.07960895
1998-06-27,106.78484758
1998-09-26,106.85049651
1998-12-26,105.58369123
1999-03-27,105.92753096
1999-06-26,106.17934441
1999-09-25,106.35862728
1999-12-25,107.84966221
2000-03-25,108.98216449
2000-06-24,110.51998709
2000-09-30,111.8239715
2000-12-30,113.19605521
2001-03-31,113.61806042
2001-06-30,113.05531805
2001-09-29,112.46954949
2001-12-29,112.15525954
2002-03-30,114.74442213
2002-06-29,115.3823151
2002-09-28,116.81110505
2002-12-28,117.98995093
2003-03-29,117.49344586
2003-06-28,116.47187738
2003-09-27,117.57770454
2003-12-27,118.79409769
2004-03-27,120.46979535
2004-06-26,123.76946799
2004-09-25,125.32177818
2004-12-25,126.28341633
2005-03-26,127.2280404
2005-06-25,128.97725986
2005-09-24,127.9940644
2005-12-31,129.60458377
2006-03-25,131.81481969
2006-06-24,132.14537033
2006-09-30,134.29913652
2006-12-30,135.89305512
2007-03-31,138.59541933
2007-06-30,140.75975446
2007-09-29,142.20971439
2007-12-29,144.4126231
2008-03-29,146.05017862
2008-06-28,149.4416481
2008-09-27,151.62637705
2008-12-27,145.89220914
2009-03-28,143.87328745
2009-06-27,146.46957854
2009-09-26,149.90551675
2009-12-26,153.69965707
2010-03-27,157.20397836
2010-06-26,158.73477769
2010-09-25,160.36079007
2010-12-25,162.53399915
2011-03-26,164.88968647
2011-06-25,166.48380607
2011-09-24,166.13378494
2011-12-31,167.49645599
2012-03-31,165.33965458
2012-06-30,168.18000735
2012-09-29,171.11197025
2012-12-29,171.06700255
2013-03-30,171.84480601
2013-06-29,174.74757409
2013-09-28,175.31086401
2013-12-28,175.50190455
2014-03-29,177.08896929
2014-06-28,174.39987778
2014-09-27,174.35179864
2014-12-27,175.21952261
2015-03-28,174.06473515
2015-06-27,169.52852142
2015-09-26,166.99569438
2015-12-26,165.68311039
2016-03-26,163.0434138
2016-06-25,163.96060169
2016-09-24,162.92915545
2016-12-31,162.63323587
2017-03-25,164.44529194
2017-06-24,165.66398346
2017-09-30,166.17004354
2017-12-30,166.87902654
2018-03-31,167.77427714
2018-06-30,168.05788873
2018-09-29,169.53558334
2018-12-29,168.91838293
2019-03-30,169.75299159
2019-06-29,170.74160862
2019-09-28,170.71826244
2019-12-28,171.28459855
2020-03-28,167.39481198
2020-06-27,152.57323696
2020-09-26,164.42555423
2020-12-26,169.54696059
2021-03-27,171.82476429
2021-06-26,171.22137693
2021-09-25,171.06069657
