date,Brazil
2002-03-30,-6.1575
2002-06-29,-5.9434
2002-09-28,-4.8726
2002-12-28,-6.0274
2003-03-29,-8.1246
2003-06-28,-6.5934
2003-09-27,-2.7368
2003-12-27,2.4729
2004-03-27,7.7299
2004-06-26,8.4719
2004-09-25,5.5646
2004-12-25,3.7192
2005-03-26,2.1984
2005-06-25,1.0298
2005-09-24,2.1248
2005-12-31,2.4242
2006-03-25,3.6607
2006-06-24,6.0103
2006-09-30,7.9179
2006-12-30,10.1908
2007-03-31,11.8406
2007-06-30,12.908
2007-09-29,13.535
2007-12-29,14.577
2008-03-29,15.4462
2008-06-28,15.6248
2008-09-27,15.7436
2008-12-27,16.4771
2009-03-28,17.5022
2009-06-27,18.6842
2009-09-26,20.1575
2009-12-26,20.8742
2010-03-27,20.3278
2010-06-26,19.6722
2010-09-25,19.3154
2010-12-25,16.8891
2011-03-26,14.7941
2011-06-25,12.7162
2011-09-24,10.4583
2011-12-31,8.9598
2012-03-31,7.9416
2012-06-30,6.9342
2012-09-29,5.3673
2012-12-29,4.2409
2013-03-30,3.1433
2013-06-29,2.6596
2013-09-28,2.8527
2013-12-28,2.7072
2014-03-29,2.501
2014-06-28,1.2456
2014-09-27,-0.0339
2014-12-27,-1.4092
2015-03-28,-4.3533
2015-06-27,-6.7937
2015-09-26,-9.0638
2015-12-26,-10.8035
2016-03-26,-11.3359
2016-06-25,-10.9
2016-09-24,-10.6731
2016-12-31,-9.2176
2017-03-25,-7.1277
2017-06-24,-5.5689
2017-09-30,-4.1772
2017-12-30,-3.8113
2018-03-31,-3.1629
2018-06-30,-3.0615
2018-09-29,-3.4802
2018-12-29,-2.6804
2019-03-30,-2.0611
2019-06-29,-1.5911
2019-09-28,0.35
2019-12-28,1.1545
2020-03-28,1.7974
2020-06-27,4.6546
2020-09-26,5.3265
2020-12-26,4.681
2021-03-27,4.3073
2021-06-26,2.1975
2021-09-25,0.2845
