date,Brazil
1993-07-31,2193.0
1993-08-28,2216.0
1993-09-25,2142.0
1993-10-30,2186.0
1993-11-27,2130.0
1993-12-25,2028.0
1994-01-29,2134.0
1994-02-26,1963.0
1994-03-26,2171.0
1994-04-30,2125.0
1994-05-28,2252.0
1994-06-25,2220.0
1994-07-30,2241.0
1994-08-27,2095.0
1994-09-24,2000.0
1994-10-29,2159.0
1994-11-26,2119.0
1994-12-31,2219.0
1995-01-28,2142.0
1995-02-25,1928.0
1995-03-25,2201.0
1995-04-29,1929.0
1995-05-27,2080.0
1995-06-24,1993.0
1995-07-29,2229.0
1995-08-26,2297.0
1995-09-30,2080.0
1995-10-28,2157.0
1995-11-25,2016.0
1995-12-30,2024.0
1996-01-27,2050.0
1996-02-24,1959.0
1996-03-30,2041.0
1996-04-27,1888.0
1996-05-25,1951.0
1996-06-29,2062.0
1996-07-27,2241.0
1996-08-31,2247.0
1996-09-28,2182.0
1996-10-26,2241.0
1996-11-30,2195.0
1996-12-28,2182.0
1997-01-25,2050.0
1997-02-22,2014.0
1997-03-29,2218.0
1997-04-26,2192.0
1997-05-31,2241.0
1997-06-28,2262.0
1997-07-26,2252.0
1997-08-30,2268.0
1997-09-27,2227.0
1997-10-25,2141.0
1997-11-29,2088.0
1997-12-27,2200.0
1998-01-31,2157.0
1998-02-28,1991.0
1998-03-28,2159.0
1998-04-25,2139.0
1998-05-30,2259.0
1998-06-27,2181.0
1998-07-25,2378.0
1998-08-29,2349.0
1998-09-26,2125.0
1998-10-31,2131.0
1998-11-28,1995.0
1998-12-26,1897.0
1999-01-30,2057.0
1999-02-27,1889.0
1999-03-27,2131.0
1999-04-24,2122.0
1999-05-29,2183.0
1999-06-26,2048.0
1999-07-31,2038.0
1999-08-28,2139.0
1999-09-25,2089.0
1999-10-30,2037.0
1999-11-27,2144.0
1999-12-25,2122.0
2000-01-29,2084.0
2000-02-26,2156.0
2000-03-25,2374.0
2000-04-29,2222.0
2000-05-27,2464.0
2000-06-24,2300.0
2000-07-29,2315.0
2000-08-26,2450.0
2000-09-30,2380.0
2000-10-28,2398.0
2000-11-25,2325.0
2000-12-30,2398.0
2001-01-27,2394.0
2001-02-24,2241.0
2001-03-31,2474.0
2001-04-28,2315.0
2001-05-26,2282.0
2001-06-30,1773.0
2001-07-28,1882.0
2001-08-25,2194.0
2001-09-29,2299.0
2001-10-27,2279.0
2001-11-24,2223.0
2001-12-29,2362.0
2002-01-26,2382.0
2002-02-23,2260.0
2002-03-30,2409.0
2002-04-27,2215.0
2002-05-25,2450.0
2002-06-29,2420.0
2002-07-27,2498.0
2002-08-31,2580.0
2002-09-28,2579.0
2002-10-26,2645.0
2002-11-30,2576.0
2002-12-28,2589.0
2003-01-25,2541.0
2003-02-22,2356.0
2003-03-29,2641.0
2003-04-26,2522.0
2003-05-31,2672.0
2003-06-28,2591.0
2003-07-26,2686.0
2003-08-30,2769.0
2003-09-27,2595.0
2003-10-25,2508.0
2003-11-29,2592.0
2003-12-27,2657.0
2004-01-31,2674.0
2004-02-28,2568.0
2004-03-27,2737.0
2004-04-24,2664.0
2004-05-29,2738.0
2004-06-26,2750.0
2004-07-31,2836.0
2004-08-28,2890.0
2004-09-25,2801.0
2004-10-30,2706.0
2004-11-27,2758.0
2004-12-25,2788.0
2005-01-29,2588.0
2005-02-26,2590.0
2005-03-26,2760.0
2005-04-30,2757.0
2005-05-28,2742.0
2005-06-25,2489.0
2005-07-30,2490.0
2005-08-27,2638.0
2005-09-24,2589.0
2005-10-29,2676.0
2005-11-26,2635.0
2005-12-31,2656.0
2006-01-28,2577.0
2006-02-25,2131.0
2006-03-25,2479.0
2006-04-29,2416.0
2006-05-27,2496.0
2006-06-24,2380.0
2006-07-29,2724.0
2006-08-26,2812.0
2006-09-30,2757.0
2006-10-28,2778.0
2006-11-25,2705.0
2006-12-30,2646.0
2007-01-27,2703.0
2007-02-24,2507.0
2007-03-31,2785.0
2007-04-28,2708.0
2007-05-26,2891.0
2007-06-30,2733.0
2007-07-28,2869.0
2007-08-25,2940.0
2007-09-29,2868.0
2007-10-27,2899.0
2007-11-24,2871.0
2007-12-29,3010.0
2008-01-26,2971.0
2008-02-23,2710.0
2008-03-29,2960.0
2008-04-26,2900.0
2008-05-31,2973.0
2008-06-28,2936.0
2008-07-26,3234.0
2008-08-30,3147.0
2008-09-27,3014.0
2008-10-25,2897.0
2008-11-29,2324.0
2008-12-27,1649.0
2009-01-31,1616.0
2009-02-28,1654.0
2009-03-28,1731.0
2009-04-25,1729.0
2009-05-30,1894.0
2009-06-27,1942.0
2009-07-25,2496.0
2009-08-29,2676.0
2009-09-26,2717.0
2009-10-31,2797.0
2009-11-28,2676.0
2009-12-26,2580.0
2010-01-30,2693.0
2010-02-27,2446.0
2010-03-27,2828.0
2010-04-24,2707.0
2010-05-29,2856.0
2010-06-26,2850.0
2010-07-31,2885.0
2010-08-28,2917.0
2010-09-25,2703.0
2010-10-30,2972.0
2010-11-27,2643.0
2010-12-25,2427.0
2011-01-29,2764.0
2011-02-26,2687.0
2011-03-26,3038.0
2011-04-30,3066.0
2011-05-28,3269.0
2011-06-25,3004.0
2011-07-30,3129.0
2011-08-27,3026.0
2011-09-24,2859.0
2011-10-29,2891.0
2011-11-26,2741.0
2011-12-31,2688.0
2012-01-28,2791.0
2012-02-25,2803.0
2012-03-31,3133.0
2012-04-28,3013.0
2012-05-26,2855.0
2012-06-30,2757.0
2012-07-28,2993.0
2012-08-25,2871.0
2012-09-29,2864.0
2012-10-27,3154.0
2012-11-24,2844.0
2012-12-29,2604.0
2013-01-26,2776.0
2013-02-23,2579.0
2013-03-30,2848.1
2013-04-27,2917.5
2013-05-25,3006.5
2013-06-29,2826.0
2013-07-27,2913.5
2013-08-31,2988.0
2013-09-28,2974.8
2013-10-26,2970.9
2013-11-30,2707.5
2013-12-28,2655.0
2014-01-25,2752.1
2014-02-22,2621.8
2014-03-29,2990.7
2014-04-26,2789.1
2014-05-31,2873.4
2014-06-28,2721.6
2014-07-26,2957.9
2014-08-30,2958.0
2014-09-27,2891.6
2014-10-25,3051.6
2014-11-29,2676.5
2014-12-27,2627.9
2015-01-31,2984.7
2015-02-28,2666.9
2015-03-28,2768.4
2015-04-25,2897.3
2015-05-30,2983.1
2015-06-27,2776.5
2015-07-25,2876.6
2015-08-29,2798.7
2015-09-26,2500.8
2015-10-31,2982.5
2015-11-28,2548.0
2015-12-26,2462.0
2016-01-30,2496.498
2016-02-27,2432.971
2016-03-26,2506.303
2016-04-30,2300.356
2016-05-28,2589.813
2016-06-25,2546.381
2016-07-30,2804.37
2016-08-27,2921.261
2016-09-24,2749.725
2016-10-29,2931.548
2016-11-26,2627.802
2016-12-31,2368.155
2017-01-28,2828.0
2017-02-25,2572.1
2017-03-25,2845.0
2017-04-29,2893.0
2017-05-27,2928.0
2017-06-24,2649.0
2017-07-29,2831.3
2017-08-26,2955.3
2017-09-30,2958.7
2017-10-28,3044.5
2017-11-25,3029.9
2017-12-30,2822.4
2018-01-27,2913.796
2018-02-24,2765.939
2018-03-31,3113.184
2018-04-28,2994.53
2018-05-26,2724.472
2018-06-30,2969.824
2018-07-28,3086.315
2018-08-25,2914.206
2018-09-29,3080.824
2018-10-27,3223.519
2018-11-24,2911.253
2018-12-29,2708.686
2019-01-26,3020.806
2019-02-23,2746.747
2019-03-30,2877.683
2019-04-27,2970.006
2019-05-25,2826.295
2019-06-29,2882.544
2019-07-27,2504.754
2019-08-31,2536.573
2019-09-28,2394.487
2019-10-26,2690.47
2019-11-30,2656.803
2019-12-28,2461.766
2020-01-25,2710.816
2020-02-29,2739.87
2020-03-28,2691.702
2020-04-25,1948.201
2020-05-30,2250.647
2020-06-27,2138.728
2020-07-25,2569.951
2020-08-29,2705.136
2020-09-26,2591.663
2020-10-31,2784.028
2020-11-28,2954.092
2020-12-26,2886.223
2021-01-30,3000.0
2021-02-27,2800.0
2021-03-27,2800.0
2021-04-24,3100.0
2021-05-29,3200.0
2021-06-26,3100.0
2021-07-31,3000.0
2021-08-28,3100.0
2021-09-25,3100.0
2021-10-30,3200.0
2021-11-27,3100.0
2021-12-25,2600.0
