date,Brazil
1980-01-26,20.1
1980-02-23,18.2
1980-03-29,17.5
1980-04-26,17.0
1980-05-31,13.9
1980-06-28,11.3
1980-07-26,7.8
1980-08-30,8.0
1980-09-27,7.4
1980-10-25,6.3
1980-11-29,5.9
1980-12-27,4.6
1981-01-31,7.2
1981-02-28,-0.8
1981-03-28,-5.5
1981-04-25,-14.9
1981-05-30,-10.1
1981-06-27,-9.8
1981-07-25,-11.2
1981-08-29,-7.1
1981-09-26,-4.6
1981-10-31,-1.7
1981-11-28,0.9
1981-12-26,2.6
1982-01-30,5.7
1982-02-27,5.2
1982-03-27,5.6
1982-04-24,7.7
1982-05-29,5.9
1982-06-26,4.2
1982-07-31,6.5
1982-08-28,-0.2
1982-09-25,-5.5
1982-10-30,-12.7
1982-11-27,-11.1
1982-12-25,-11.5
1983-01-29,-13.6
1983-02-26,-10.9
1983-03-26,-8.4
1983-04-30,-4.7
1983-05-28,-8.0
1983-06-25,-7.9
1983-07-30,-11.5
1983-08-27,-8.2
1983-09-24,-7.4
1983-10-29,-5.1
1983-11-26,-5.0
1983-12-31,-3.5
1984-01-28,-5.2
1984-02-25,0.1
1984-03-31,2.7
1984-04-28,7.3
1984-05-26,8.0
1984-06-30,8.1
1984-07-28,9.4
1984-08-25,11.8
1984-09-29,14.6
1984-10-27,17.7
1984-11-24,18.0
1984-12-29,18.5
1985-01-26,19.9
1985-02-23,19.1
1985-03-30,17.6
1985-04-27,17.5
1985-05-25,17.0
1985-06-29,18.1
1985-07-27,16.1
1985-08-31,19.8
1985-09-28,20.6
1985-10-26,23.6
1985-11-30,23.0
1985-12-28,23.5
1986-01-25,25.2
1986-02-22,21.0
1986-03-29,19.6
1986-04-26,13.6
1986-05-31,20.9
1986-06-28,24.2
1986-07-26,29.7
1986-08-30,25.8
1986-09-27,25.6
1986-10-25,25.6
1986-11-29,22.0
1986-12-27,19.4
1987-01-31,18.6
1987-02-28,12.1
1987-03-28,8.7
1987-04-25,1.4
1987-05-30,1.0
1987-06-27,-0.9
1987-07-25,-20.4
1987-08-29,-1.3
1987-09-26,1.7
1987-10-31,4.7
1987-11-28,2.0
1987-12-26,1.4
1988-01-30,0.3
1988-02-27,3.0
1988-03-26,3.7
1988-04-30,5.8
1988-05-28,5.0
1988-06-25,5.1
1988-07-30,5.1
1988-08-27,3.7
1988-09-24,2.7
1988-10-29,1.1
1988-11-26,3.0
1988-12-31,2.3
1989-01-28,1.8
1989-02-25,6.0
1989-03-25,8.7
1989-04-29,13.4
1989-05-27,12.1
1989-06-24,13.1
1989-07-29,14.8
1989-08-26,12.8
1989-09-30,11.6
1989-10-28,12.3
1989-11-25,8.1
1989-12-30,5.4
1990-01-27,2.1
1990-02-24,1.0
1990-03-31,0.7
1990-04-28,-38.9
1990-05-26,-1.9
1990-06-30,-2.9
1990-07-28,-5.5
1990-08-25,-6.2
1990-09-29,-7.4
1990-10-27,-7.3
1990-11-24,-8.9
1990-12-29,-9.6
1991-01-26,-37.7
1991-02-23,-10.0
1991-03-30,-9.4
1991-04-27,-8.1
1991-05-25,-6.9
1991-06-29,-5.9
1991-07-27,10.2
1991-08-31,-8.2
1991-09-28,-10.4
1991-10-26,-15.9
1991-11-30,-13.0
1991-12-28,-11.6
1992-01-25,-27.6
1992-02-29,-10.0
1992-03-28,-10.3
1992-04-25,-9.4
1992-05-30,-11.0
1992-06-27,-11.9
1992-07-25,-11.7
1992-08-29,-13.2
1992-09-26,-16.4
1992-10-31,-19.8
1992-11-28,-16.0
1992-12-26,-14.7
1993-01-30,-12.4
1993-02-27,-13.0
1993-03-27,-12.3
1993-04-24,-11.6
1993-05-29,-13.0
1993-06-26,-12.9
1993-07-31,-13.6
1993-08-28,-13.3
1993-09-25,-12.3
1993-10-30,-14.0
1993-11-27,-11.9
1993-12-25,-9.7
1994-01-29,-6.2
1994-02-26,-9.1
1994-03-26,-10.3
1994-04-30,-12.7
1994-05-28,-9.8
1994-06-25,-8.0
1994-07-30,-7.5
1994-08-27,-4.4
1994-09-24,-1.2
1994-10-29,1.5
1994-11-26,2.2
1994-12-31,4.2
1995-01-28,8.4
1995-02-25,3.8
1995-03-25,1.8
1995-04-29,1.8
1995-05-27,-6.7
1995-06-24,-13.1
1995-07-29,-23.6
1995-08-26,-17.2
1995-09-30,-17.0
1995-10-28,-15.7
1995-11-25,-17.5
1995-12-30,-16.9
1996-01-27,-19.1
1996-02-24,-16.5
1996-03-30,-15.3
1996-04-27,-12.3
1996-05-25,-12.6
1996-06-29,-11.1
1996-07-27,-9.9
1996-08-31,-11.1
1996-09-28,-11.0
1996-10-26,-11.9
1996-11-30,-11.5
1996-12-28,-10.9
1997-01-25,-11.7
1997-02-22,-10.6
1997-03-29,-10.3
1997-04-26,-11.2
1997-05-31,-9.7
1997-06-28,-8.1
1997-07-26,-6.2
1997-08-30,-8.1
1997-09-27,-9.9
1997-10-25,-10.0
1997-11-29,-12.5
1997-12-27,-16.0
1998-01-31,-22.2
1998-02-28,-17.7
1998-03-28,-15.3
1998-04-25,-12.2
1998-05-30,-12.7
1998-06-27,-13.0
1998-07-25,-10.4
1998-08-29,-15.0
1998-09-26,-17.9
1998-10-31,-23.0
1998-11-28,-20.5
1998-12-26,-20.9
1999-01-30,-21.1
1999-02-27,-20.7
1999-03-27,-19.4
1999-04-24,-20.0
1999-05-29,-14.8
1999-06-26,-11.1
1999-07-31,-6.5
1999-08-28,-6.0
1999-09-25,-4.7
1999-10-30,-2.4
1999-11-27,-3.3
1999-12-25,-4.9
2000-01-29,-7.8
2000-02-26,-2.9
2000-03-25,-0.3
2000-04-29,2.8
2000-05-27,4.3
2000-06-24,6.8
2000-07-29,9.7
2000-08-26,8.9
2000-09-30,9.5
2000-10-28,10.4
2000-11-25,9.7
2000-12-30,8.1
2001-01-27,8.6
2001-02-24,12.6
2001-03-31,9.2
2001-04-28,7.4
2001-05-26,5.3
2001-06-30,1.4
2001-07-28,-5.2
2001-08-25,-6.8
2001-09-29,-8.0
2001-10-27,-6.0
2001-11-24,4.3
2001-12-29,14.5
2002-01-26,11.3
2002-02-23,13.1
2002-03-30,8.2
2002-04-27,4.8
2002-05-25,5.9
2002-06-29,5.5
2002-07-27,2.8
2002-08-31,-1.4
2002-09-28,-4.5
2002-10-26,-5.1
2002-11-30,5.2
2002-12-28,14.8
2003-01-25,12.7
2003-02-22,11.5
2003-03-29,4.3
2003-04-26,-1.9
2003-05-31,-0.8
2003-06-28,-0.7
2003-07-26,-2.8
2003-08-30,-0.8
2003-09-27,2.7
2003-10-25,8.4
2003-11-29,15.9
2003-12-27,22.6
2004-01-31,18.7
2004-02-28,22.3
2004-03-27,19.7
2004-04-24,18.6
2004-05-29,20.3
2004-06-26,21.9
