date,Brazil
1980-01-26,3.6
1980-02-23,2.3
1980-03-29,
1980-04-26,1.5
1980-05-31,-3.9
1980-06-28,-5.6
1980-07-26,-9.8
1980-08-30,-9.7
1980-09-27,-11.1
1980-10-25,-10.2
1980-11-29,-10.7
1980-12-27,-10.4
1981-01-31,-9.4
1981-02-28,-11.7
1981-03-28,-14.0
1981-04-25,-32.5
1981-05-30,-18.9
1981-06-27,-20.6
1981-07-25,-21.8
1981-08-29,-21.7
1981-09-26,-21.1
1981-10-31,-19.2
1981-11-28,-21.7
1981-12-26,-22.4
1982-01-30,-21.3
1982-02-27,-22.7
1982-03-27,-25.0
1982-04-24,-26.5
1982-05-29,-27.9
1982-06-26,-29.6
1982-07-31,-31.9
1982-08-28,-34.7
1982-09-25,-39.1
1982-10-30,-44.2
1982-11-27,-40.7
1982-12-25,-38.4
1983-01-29,-40.3
1983-02-26,-31.7
1983-03-26,-26.0
1983-04-30,-17.5
1983-05-28,-18.9
1983-06-25,-16.6
1983-07-30,-13.8
1983-08-27,-14.7
1983-09-24,-12.1
1983-10-29,-11.3
1983-11-26,-10.7
1983-12-31,-11.4
1984-01-28,-11.2
1984-02-25,-8.7
1984-03-31,-7.0
1984-04-28,-4.5
1984-05-26,-6.9
1984-06-30,-6.6
1984-07-28,-1.8
1984-08-25,-5.7
1984-09-29,-5.1
1984-10-27,-8.3
1984-11-24,-7.7
1984-12-29,-10.4
1985-01-26,-15.2
1985-02-23,-15.7
1985-03-30,-17.0
1985-04-27,-21.5
1985-05-25,-15.9
1985-06-29,-12.6
1985-07-27,-6.9
1985-08-31,-7.7
1985-09-28,-8.1
1985-10-26,-6.3
1985-11-30,-5.7
1985-12-28,-4.4
1986-01-25,-4.2
1986-02-22,-3.7
1986-03-29,-4.9
1986-04-26,-8.5
1986-05-31,-3.9
1986-06-28,-2.6
1986-07-26,0.2
1986-08-30,0.3
1986-09-27,-0.1
1986-10-25,4.6
1986-11-29,0.3
1986-12-27,-1.4
1987-01-31,-3.2
1987-02-28,-2.7
1987-03-28,-2.9
1987-04-25,-7.5
1987-05-30,-3.9
1987-06-27,-1.6
1987-07-25,1.2
1987-08-29,-1.7
1987-09-26,-1.1
1987-10-31,-2.4
1987-11-28,-0.7
1987-12-26,-0.4
1988-01-30,-0.1
1988-02-27,1.2
1988-03-26,2.1
1988-04-30,5.5
1988-05-28,2.1
1988-06-25,1.4
1988-07-30,0.2
1988-08-27,0.2
1988-09-24,-0.1
1988-10-29,-0.4
1988-11-26,-1.7
1988-12-31,-2.4
1989-01-28,-4.1
1989-02-25,-3.8
1989-03-25,-3.9
1989-04-29,-1.6
1989-05-27,-6.9
1989-06-24,-9.6
1989-07-29,-11.7
1989-08-26,-14.8
1989-09-30,-17.0
1989-10-28,-21.5
1989-11-25,-21.7
1989-12-30,-25.4
1990-01-27,-28.1
1990-02-24,-26.8
1990-03-31,-24.9
1990-04-28,-26.6
1990-05-26,-19.9
1990-06-30,-15.7
1990-07-28,-8.7
1990-08-25,-15.8
1990-09-29,-20.0
1990-10-27,-25.5
1990-11-24,-20.7
1990-12-29,-17.4
1991-01-26,-9.1
1991-02-23,-14.8
1991-03-30,-14.9
1991-04-27,-18.6
1991-05-25,-18.8
1991-06-29,-22.7
1991-07-27,-27.6
1991-08-31,-23.8
1991-09-28,-23.0
1991-10-26,-22.6
1991-11-30,-22.7
1991-12-28,-21.4
1992-01-25,-21.1
1992-02-29,-18.8
1992-03-28,-15.9
1992-04-25,-14.6
1992-05-30,-14.8
1992-06-27,-14.7
1992-07-25,-14.6
1992-08-29,-14.8
1992-09-26,-14.0
1992-10-31,-15.6
1992-11-28,-14.7
1992-12-26,-13.5
1993-01-30,-12.1
1993-02-27,-11.8
1993-03-27,-9.9
1993-04-24,-5.6
1993-05-29,-9.8
1993-06-26,-9.7
1993-07-31,-13.5
1993-08-28,-10.8
1993-09-25,-10.0
1993-10-30,-12.7
1993-11-27,-6.7
1993-12-25,-5.5
1994-01-29,-3.2
1994-02-26,-3.8
1994-03-26,-2.9
1994-04-30,-1.5
1994-05-28,-2.8
1994-06-25,-1.7
1994-07-30,-1.5
1994-08-27,0.2
1994-09-24,2.0
1994-10-29,6.3
1994-11-26,2.3
1994-12-31,0.5
1995-01-28,-0.2
1995-02-25,-3.8
1995-03-25,-4.9
1995-04-29,-6.6
1995-05-27,-9.6
1995-06-24,-13.5
1995-07-29,-18.0
1995-08-26,-16.4
1995-09-30,-17.8
1995-10-28,-19.3
1995-11-25,-18.1
1995-12-30,-19.2
1996-01-27,-19.6
1996-02-24,-15.6
1996-03-30,-15.3
1996-04-27,-3.5
1996-05-25,-12.6
1996-06-29,-11.5
1996-07-27,-8.0
1996-08-31,-7.4
1996-09-28,-5.8
1996-10-26,-1.4
1996-11-30,-5.1
1996-12-28,-7.2
1997-01-25,-8.7
1997-02-22,-7.6
1997-03-29,-7.4
1997-04-26,-8.4
1997-05-31,-5.6
1997-06-28,-4.5
1997-07-26,-1.0
1997-08-30,-5.3
1997-09-27,-5.8
1997-10-25,-8.4
1997-11-29,-10.2
1997-12-27,-11.2
1998-01-31,-11.7
1998-02-28,-12.5
1998-03-28,-14.4
1998-04-25,-15.3
1998-05-30,-18.6
1998-06-27,-22.5
1998-07-25,-28.9
1998-08-29,-26.3
1998-09-26,-26.8
1998-10-31,-26.4
1998-11-28,-28.2
1998-12-26,-27.2
1999-01-30,-29.8
1999-02-27,-20.5
1999-03-27,-15.4
1999-04-24,-7.2
1999-05-29,-7.8
1999-06-26,-7.5
1999-07-31,4.0
1999-08-28,-4.3
1999-09-25,-1.8
1999-10-30,1.7
1999-11-27,0.8
1999-12-25,1.7
2000-01-29,5.2
2000-02-26,1.6
2000-03-25,-2.4
2000-04-29,-5.1
2000-05-27,-2.8
2000-06-24,-1.5
2000-07-29,4.0
2000-08-26,-2.3
2000-09-30,-5.9
2000-10-28,-11.3
2000-11-25,-5.2
2000-12-30,-1.3
2001-01-27,-2.3
2001-02-24,-2.7
2001-03-31,-3.6
2001-04-28,-2.7
2001-05-26,-6.2
2001-06-30,-7.8
2001-07-28,-10.7
2001-08-25,-14.4
2001-09-29,-19.2
2001-10-27,-25.0
2001-11-24,-21.8
2001-12-29,-19.5
2002-01-26,-19.4
2002-02-23,-16.7
2002-03-30,-16.2
2002-04-27,-16.5
2002-05-25,-11.8
2002-06-29,-7.9
2002-07-27,-3.6
2002-08-31,-3.3
2002-09-28,-2.5
2002-10-26,-1.1
2002-11-30,-2.2
2002-12-28,-2.6
2003-01-25,-3.7
2003-02-22,-2.0
2003-03-29,-0.9
2003-04-26,0.8
2003-05-31,1.0
2003-06-28,1.9
2003-07-26,2.7
2003-08-30,3.9
2003-09-27,4.9
2003-10-25,6.3
2003-11-29,3.7
2003-12-27,1.4
2004-01-31,-4.8
2004-02-28,3.5
2004-03-27,8.0
2004-04-24,14.2
2004-05-29,12.1
2004-06-26,11.9
2004-07-31,14.4
2004-08-28,7.9
2004-09-25,4.2
2004-10-30,-1.5
2004-11-27,1.1
2004-12-25,1.7
2005-01-29,-0.8
2005-02-26,1.8
2005-03-26,1.3
2005-04-30,4.3
2005-05-28,-4.9
2005-06-25,-10.8
2005-07-30,-20.8
2005-08-27,-14.3
2005-09-24,-12.1
2005-10-29,-8.5
2005-11-26,-8.7
2005-12-31,-7.0
2006-01-28,-14.4
2006-02-25,-0.8
2006-03-25,-6.7
2006-04-29,-6.0
2006-05-27,-12.0
2006-06-24,-9.5
2006-07-29,-0.2
2006-08-26,-12.3
2006-09-30,-5.9
2006-10-28,1.2
2006-11-25,1.6
2006-12-30,-5.6
2007-01-27,-6.0
2007-02-24,4.5
2007-03-31,5.0
2007-04-28,5.8
2007-05-26,5.6
2007-06-30,-1.8
2007-07-28,5.9
2007-08-25,4.2
2007-09-29,7.0
2007-10-27,11.1
2007-11-24,2.0
2007-12-29,1.1
2008-01-26,-1.5
2008-02-23,4.0
2008-03-29,7.3
2008-04-26,7.3
2008-05-31,1.8
2008-06-28,6.3
2008-07-26,4.6
2008-08-30,6.0
2008-09-27,0.9
2008-10-25,-11.0
2008-11-29,-38.7
2008-12-27,-42.4
2009-01-31,-50.1
2009-02-28,-46.9
2009-03-28,-45.6
2009-04-25,-39.1
2009-05-30,-34.1
2009-06-27,-36.3
2009-07-25,-35.4
2009-08-29,-25.3
2009-09-26,-14.9
2009-10-31,-15.9
2009-11-28,-15.4
2009-12-26,-23.0
2010-01-30,-14.1
2010-02-27,-16.9
2010-03-27,-10.6
2010-04-24,-6.0
2010-05-29,-8.2
2010-06-26,-10.6
2010-07-31,-3.6
2010-08-28,-3.3
2010-09-25,-6.1
2010-10-30,3.1
2010-11-27,4.9
2010-12-25,-1.1
2011-01-29,-5.7
2011-02-26,1.3
2011-03-26,1.9
2011-04-30,-4.2
