date,Brazil
1980-01-26,24.8
1980-02-23,25.5
1980-03-29,24.9
1980-04-26,26.4
1980-05-31,25.3
1980-06-28,23.5
1980-07-26,24.8
1980-08-30,22.2
1980-09-27,21.6
1980-10-25,19.8
1980-11-29,18.7
1980-12-27,17.2
1981-01-31,16.7
1981-02-28,12.5
1981-03-28,9.8
1981-04-25,3.7
1981-05-30,7.3
1981-06-27,7.5
1981-07-25,1.7
1981-08-29,10.3
1981-09-26,13.6
1981-10-31,17.1
1981-11-28,18.6
1981-12-26,21.3
1982-01-30,28.0
1982-02-27,21.5
1982-03-27,20.9
1982-04-24,20.2
1982-05-29,19.3
1982-06-26,18.6
1982-07-31,19.9
1982-08-28,17.3
1982-09-25,13.6
1982-10-30,12.7
1982-11-27,10.6
1982-12-25,9.2
1983-01-29,5.0
1983-02-26,9.4
1983-03-26,10.0
1983-04-30,14.4
1983-05-28,10.3
1983-06-25,8.5
1983-07-30,2.7
1983-08-27,6.1
1983-09-24,6.6
1983-10-29,7.8
1983-11-26,7.7
1983-12-31,9.2
1984-01-28,8.3
1984-02-25,10.4
1984-03-31,11.0
1984-04-28,11.7
1984-05-26,14.3
1984-06-30,15.6
1984-07-28,15.1
1984-08-25,19.3
1984-09-29,21.6
1984-10-27,24.9
1984-11-24,24.6
1984-12-29,26.3
1985-01-26,30.5
1985-02-23,27.6
1985-03-30,27.8
1985-04-27,24.8
1985-05-25,28.3
1985-06-29,29.7
1985-07-27,34.3
1985-08-31,30.3
1985-09-28,29.6
1985-10-26,32.1
1985-11-30,28.7
1985-12-28,27.3
1986-01-25,24.1
1986-02-22,25.6
1986-03-29,25.9
1986-04-26,19.6
1986-05-31,27.3
1986-06-28,28.7
1986-07-26,32.8
1986-08-30,33.3
1986-09-27,33.6
1986-10-25,41.4
1986-11-29,34.7
1986-12-27,33.3
1987-01-31,35.5
1987-02-28,28.6
1987-03-28,23.9
1987-04-25,13.7
1987-05-30,20.3
1987-06-27,21.6
1987-07-25,-16.5
1987-08-29,21.2
1987-09-26,22.6
1987-10-31,25.4
1987-11-28,19.7
1987-12-26,18.2
1988-01-30,13.7
1988-02-27,16.4
1988-03-26,17.0
1988-04-30,15.8
1988-05-28,18.4
1988-06-25,18.4
1988-07-30,20.2
1988-08-27,19.1
1988-09-24,20.7
1988-10-29,18.8
1988-11-26,20.8
1988-12-31,22.1
1989-01-28,25.4
1989-02-25,25.4
1989-03-25,26.0
1989-04-29,33.0
1989-05-27,25.4
1989-06-24,23.4
1989-07-29,16.9
1989-08-26,20.1
1989-09-30,18.7
1989-10-28,15.2
1989-11-25,17.8
1989-12-30,17.1
1990-01-27,13.9
1990-02-24,17.4
1990-03-31,18.9
1990-04-28,-55.2
1990-05-26,22.4
1990-06-30,23.5
1990-07-28,31.2
1990-08-25,25.2
1990-09-29,22.7
1990-10-27,17.9
1990-11-24,24.7
1990-12-29,25.2
1991-01-26,-20.4
1991-02-23,28.4
1991-03-30,29.0
1991-04-27,35.9
1991-05-25,29.3
1991-06-29,27.5
1991-07-27,32.2
1991-08-31,21.1
1991-09-28,15.6
1991-10-26,4.8
1991-11-30,10.6
1991-12-28,9.1
1992-01-25,5.3
1992-02-29,11.4
1992-03-28,13.0
1992-04-25,19.3
1992-05-30,12.4
1992-06-27,11.5
1992-07-25,6.3
1992-08-29,10.1
1992-09-26,10.6
1992-10-31,9.5
1992-11-28,12.7
1992-12-26,15.1
1993-01-30,35.4
1993-02-27,15.5
1993-03-27,15.0
1993-04-24,13.7
1993-05-29,15.4
1993-06-26,16.4
1993-07-31,17.0
1993-08-28,18.1
1993-09-25,17.7
1993-10-30,14.9
1993-11-27,21.8
1993-12-25,24.1
1994-01-29,28.3
1994-02-26,27.3
1994-03-26,29.0
1994-04-30,32.7
1994-05-28,29.5
1994-06-25,29.3
1994-07-30,31.8
1994-08-27,29.0
1994-09-24,27.9
1994-10-29,28.5
1994-11-26,28.0
1994-12-31,26.9
1995-01-28,29.0
1995-02-25,24.1
1995-03-25,20.3
1995-04-29,17.2
1995-05-27,15.2
1995-06-24,11.8
1995-07-29,-3.2
1995-08-26,11.9
1995-09-30,14.0
1995-10-28,20.9
1995-11-25,16.7
1995-12-30,17.5
1996-01-27,17.1
1996-02-24,20.0
1996-03-30,21.8
1996-04-27,23.2
1996-05-25,25.4
1996-06-29,26.6
1996-07-27,32.7
1996-08-31,26.9
1996-09-28,27.1
1996-10-26,20.5
1996-11-30,27.7
1996-12-28,29.4
1997-01-25,34.9
1997-02-22,30.7
1997-03-29,29.8
1997-04-26,32.2
1997-05-31,27.4
1997-06-28,26.6
1997-07-26,23.8
1997-08-30,24.8
1997-09-27,23.4
1997-10-25,24.6
1997-11-29,18.9
1997-12-27,16.1
1998-01-31,7.0
1998-02-28,14.4
1998-03-28,14.9
1998-04-25,17.4
1998-05-30,17.4
1998-06-27,16.5
1998-07-25,15.7
1998-08-29,17.8
1998-09-26,17.5
1998-10-31,-4.8
1998-11-28,18.0
1998-12-26,18.0
1999-01-30,21.4
1999-02-27,18.4
1999-03-27,17.7
1999-04-24,13.6
1999-05-29,20.4
1999-06-26,22.6
1999-07-31,28.5
1999-08-28,25.0
1999-09-25,24.6
1999-10-30,26.7
1999-11-27,22.0
1999-12-25,19.8
2000-01-29,14.9
2000-02-26,19.2
2000-03-25,20.7
2000-04-29,20.3
2000-05-27,23.6
2000-06-24,25.4
2000-07-29,29.8
2000-08-26,26.0
2000-09-30,25.7
2000-10-28,26.4
2000-11-25,23.0
2000-12-30,21.7
2001-01-27,21.7
2001-02-24,37.8
2001-03-31,28.8
2001-04-28,30.4
2001-05-26,21.4
2001-06-30,13.8
2001-07-28,0.8
2001-08-25,-3.6
2001-09-29,-1.7
2001-10-27,3.4
2001-11-24,26.3
2001-12-29,45.7
2002-01-26,23.0
2002-02-23,37.8
2002-03-30,30.5
2002-04-27,34.4
2002-05-25,30.3
2002-06-29,28.8
2002-07-27,24.5
2002-08-31,17.5
2002-09-28,18.3
2002-10-26,21.0
2002-11-30,33.5
2002-12-28,43.5
2003-01-25,16.2
2003-02-22,29.7
2003-03-29,23.5
2003-04-26,28.1
2003-05-31,20.8
2003-06-28,16.1
2003-07-26,10.9
2003-08-30,10.9
2003-09-27,19.3
2003-10-25,29.2
2003-11-29,41.0
2003-12-27,51.7
2004-01-31,31.2
2004-02-28,35.5
2004-03-27,24.5
2004-04-24,21.6
2004-05-29,25.0
2004-06-26,28.7
2004-07-31,35.9
2004-08-28,26.4
2004-09-25,27.5
2004-10-30,28.9
2004-11-27,34.2
2004-12-25,39.7
2005-01-29,19.4
2005-02-26,28.2
2005-03-26,25.4
2005-04-30,29.5
2005-05-28,24.6
2005-06-25,20.2
2005-07-30,20.2
2005-08-27,10.6
2005-09-24,10.6
2005-10-29,11.4
2005-11-26,4.5
2005-12-31,16.7
2006-01-28,19.9
2006-02-25,22.1
2006-03-25,24.4
2006-04-29,26.2
2006-05-27,29.4
2006-06-24,24.9
2006-07-29,25.5
2006-08-26,19.2
2006-09-30,19.6
2006-10-28,18.2
2006-11-25,22.4
2006-12-30,27.5
2007-01-27,23.9
2007-02-24,29.6
2007-03-31,29.1
2007-04-28,33.6
2007-05-26,31.3
2007-06-30,29.6
2007-07-28,32.3
2007-08-25,31.3
2007-09-29,31.4
2007-10-27,26.9
2007-11-24,31.1
2007-12-29,26.4
2008-01-26,28.3
2008-02-23,31.8
2008-03-29,29.2
2008-04-26,28.3
2008-05-31,31.3
2008-06-28,33.7
2008-07-26,30.1
2008-08-30,34.3
2008-09-27,30.3
2008-10-25,13.5
2008-11-29,-5.2
2008-12-27,-10.3
2009-01-31,-5.4
2009-02-28,1.1
2009-03-28,7.6
2009-04-25,15.9
2009-05-30,21.6
2009-06-27,24.7
2009-07-25,31.2
2009-08-29,30.0
2009-09-26,34.1
2009-10-31,38.7
2009-11-28,40.0
2009-12-26,37.2
2010-01-30,37.1
2010-02-27,38.0
2010-03-27,38.6
2010-04-24,33.2
2010-05-29,34.1
2010-06-26,37.2
2010-07-31,34.1
2010-08-28,30.1
2010-09-25,36.9
2010-10-30,32.5
2010-11-27,32.2
2010-12-25,29.5
2011-01-29,31.0
2011-02-26,28.7
2011-03-26,32.7
2011-04-30,30.8
2011-05-28,31.1
2011-06-25,27.8
2011-07-30,21.4
2011-08-27,23.1
2011-09-24,18.3
2011-10-29,22.4
2011-11-26,21.9
2011-12-31,27.2
2012-01-28,26.1
2012-02-25,18.9
2012-03-31,19.9
2012-04-28,22.9
2012-05-26,22.9
2012-06-30,23.0
2012-07-28,23.9
2012-08-25,23.5
2012-09-29,27.0
2012-10-27,27.4
2012-11-24,26.6
2012-12-29,29.6
2013-01-26,25.2
2013-02-23,23.9
2013-03-30,26.2
2013-04-27,29.0
2013-05-25,28.6
2013-06-29,26.4
2013-07-27,19.6
2013-08-31,20.3
2013-09-28,20.3
2013-10-26,17.6
2013-11-30,18.8
2013-12-28,21.0
2014-01-25,22.0
2014-02-22,19.8
2014-03-29,19.3
2014-04-26,14.8
2014-05-31,7.3
2014-06-28,2.2
2014-07-26,6.6
2014-08-30,7.2
2014-09-27,10.3
2014-10-25,11.3
2014-11-29,11.3
2014-12-27,6.2
2015-01-31,7.7
2015-02-28,6.0
2015-03-28,
2015-04-25,-8.8
2015-05-30,-14.1
2015-06-27,-17.5
2015-07-25,-7.0
2015-08-29,-5.7
2015-09-26,-4.1
2015-10-31,5.6
2015-11-28,0.9
2015-12-26,1.1
2016-01-30,-2.9
2016-02-27,-2.2
2016-03-26,-6.7
2016-04-30,-4.6
2016-05-28,-4.4
2016-06-25,5.1
2016-07-30,7.1
2016-08-27,9.9
2016-09-24,13.7
2016-10-29,10.7
2016-11-26,11.2
2016-12-31,10.3
2017-01-28,10.6
2017-02-25,7.8
2017-03-25,11.8
2017-04-29,10.7
2017-05-27,15.8
2017-06-24,14.0
2017-07-29,11.7
2017-08-26,15.4
2017-09-30,15.0
2017-10-28,18.8
2017-11-25,23.2
2017-12-30,20.4
2018-01-27,20.3
2018-02-24,19.9
2018-03-31,19.9
2018-04-28,20.4
2018-05-26,20.3
2018-06-30,26.5
2018-07-28,26.1
2018-08-25,25.8
2018-09-29,16.9
2018-10-27,13.1
2018-11-24,12.1
2018-12-29,11.1
2019-01-26,13.9
2019-02-23,16.0
2019-03-30,13.6
2019-04-27,17.1
2019-05-25,18.2
2019-06-29,19.6
2019-07-27,18.4
2019-08-31,20.8
2019-09-28,19.1
2019-10-26,18.9
2019-11-30,21.0
2019-12-28,22.5
2020-01-25,22.8
2020-02-29,19.4
2020-03-28,10.8
2020-04-25,-55.2
2020-05-30,-41.1
2020-06-27,0.3
2020-07-25,18.7
2020-08-29,28.8
2020-09-26,32.6
2020-10-31,35.5
2020-11-28,30.0
2020-12-26,31.8
2021-01-30,21.9
2021-02-27,10.0
2021-03-27,4.0
2021-04-24,4.5
2021-05-29,12.0
2021-06-26,20.9
2021-07-31,20.5
2021-08-28,21.2
2021-09-25,19.5
2021-10-30,18.0
2021-11-27,19.8
2021-12-25,18.5
