date,Brazil
2000-01-29,325212.059977532
2000-02-26,406655.7838662
2000-03-25,344791.243324877
2000-04-29,330771.463859715
2000-05-27,350673.252392703
2000-06-24,363850.848890019
2000-07-29,348140.464147661
2000-08-26,368948.614634935
2000-09-30,350427.810392399
2000-10-28,353503.434402674
2000-11-25,365376.109920668
2000-12-30,361602.144602703
2001-01-27,373577.243630029
2001-02-24,359658.538591598
2001-03-31,410978.093027104
2001-04-28,400223.562419864
2001-05-26,421793.79060479
2001-06-30,400505.467626215
2001-07-28,405582.847152122
2001-08-25,409457.141757226
2001-09-29,375966.762723702
2001-10-27,420437.619177374
2001-11-24,395943.602840009
2001-12-29,390441.561070586
2002-01-26,422527.094128534
2002-02-23,405805.896983796
2002-03-30,370980.902615916
2002-04-27,445011.670815401
2002-05-25,391209.343905544
2002-06-29,381810.057307635
2002-07-27,407390.232113378
2002-08-31,406661.479178243
2002-09-28,414667.172696259
2002-10-26,436460.554905926
2002-11-30,397457.870803739
2002-12-28,408331.552122742
2003-01-25,414298.002995332
2003-02-22,474924.361498965
2003-03-29,380309.566675789
2003-04-26,430862.895175636
2003-05-31,415090.69873661
2003-06-28,420980.556202446
2003-07-26,433021.924715559
2003-08-30,405953.703554358
2003-09-27,444094.55654557
2003-10-25,405327.954955818
2003-11-29,431143.061155399
2003-12-27,419102.710607918
2004-01-31,392513.891722219
2004-02-28,409942.437443889
2004-03-27,440811.50234085
2004-04-24,414373.005466318
2004-05-29,375178.471312231
2004-06-26,427553.65355125
2004-07-31,412298.389545421
2004-08-28,405952.521537425
2004-09-25,316291.501384766
2004-10-30,381343.490087298
2004-11-27,449703.258260915
2004-12-25,463026.316754891
2005-01-29,440122.786307621
2005-02-26,458292.077695822
2005-03-26,459860.414565058
2005-04-30,457176.207006395
2005-05-28,443735.89216145
2005-06-25,468422.511266039
2005-07-30,445718.565657691
2005-08-27,475917.147100502
2005-09-24,460721.533492296
2005-10-29,436430.74762047
2005-11-26,478055.253886079
2005-12-31,478917.073489354
2006-01-28,479624.484692047
2006-02-25,473051.55847567
2006-03-25,491294.108255105
2006-04-29,455930.547038308
2006-05-27,498740.830968692
2006-06-24,480622.007880528
2006-07-29,486363.909825112
2006-08-26,512245.156823587
2006-09-30,479098.597743816
2006-10-28,526433.017094758
2006-11-25,493812.034985139
2006-12-30,493221.678002078
2007-01-27,504961.273354551
2007-02-24,494793.09953929
2007-03-31,505071.684193769
2007-04-28,509736.412238216
2007-05-26,548432.232989535
2007-06-30,509719.257443794
2007-07-28,523036.687431237
2007-08-25,545633.163010176
2007-09-29,528090.769182479
2007-10-27,616545.27460307
2007-11-24,519236.969312244
2007-12-29,505037.043770658
2008-01-26,563015.435900468
2008-02-23,572101.651907609
2008-03-29,495352.146767945
2008-04-26,583406.448037568
2008-05-31,543999.287747351
2008-06-28,569003.392839806
2008-07-26,591026.219063445
2008-08-30,547010.098383627
2008-09-27,618567.471662266
2008-10-25,581044.42249917
2008-11-29,652001.650437976
2008-12-27,659677.291658061
2009-01-31,677429.535880014
2009-02-28,651870.243482672
2009-03-28,679347.653965169
2009-04-25,673878.013902249
2009-05-30,625595.168495294
2009-06-27,659254.405835555
2009-07-25,653156.612744321
2009-08-29,587543.642618352
2009-09-26,595390.991610795
2009-10-31,570731.169592647
2009-11-28,579817.725810982
2009-12-26,601277.895478789
2010-01-30,609611.422202025
2010-02-27,587115.038675748
2010-03-27,648714.046847094
