date,Brazil
2003-01-05,47
2003-01-12,266
2003-01-19,195
2003-01-26,380
2003-01-31,272
2003-02-09,338
2003-02-16,451
2003-02-23,130
2003-02-28,204
2003-03-09,258
2003-03-16,233
2003-03-23,326
2003-03-30,562
2003-03-31,101
2003-04-06,247
2003-04-13,461
2003-04-20,374
2003-04-27,403
2003-04-30,229
2003-05-04,19
2003-05-11,447
2003-05-18,646
2003-05-25,604
2003-05-31,791
2003-06-08,483
2003-06-15,554
2003-06-22,565
2003-06-29,629
2003-06-30,126
2003-07-06,346
2003-07-13,381
2003-07-20,250
2003-07-27,755
2003-07-31,325
2003-08-03,276
2003-08-10,291
2003-08-17,472
2003-08-24,876
2003-08-31,759
2003-09-07,713
2003-09-14,701
2003-09-21,510
2003-09-28,493
2003-09-30,253
2003-10-05,455
2003-10-12,611
2003-10-19,559
2003-10-26,541
2003-10-31,377
2003-11-09,433
2003-11-16,553
2003-11-23,362
2003-11-30,384
2003-12-07,697
2003-12-14,600
2003-12-21,704
2003-12-28,449
2003-12-31,309
2004-01-04,35
2004-01-11,298
2004-01-18,324
2004-01-25,609
2004-01-31,322
2004-02-08,313
2004-02-15,560
2004-02-22,724
2004-02-29,385
2004-03-07,400
2004-03-14,511
2004-03-21,629
2004-03-28,602
2004-03-31,460
2004-04-04,108
2004-04-11,468
2004-04-18,242
2004-04-25,690
2004-04-30,450
2004-05-09,534
2004-05-16,642
2004-05-23,621
2004-05-30,1096
2004-05-31,225
2004-06-06,619
2004-06-13,693
2004-06-20,880
2004-06-27,1114
2004-06-30,504
2004-07-04,271
2004-07-11,773
2004-07-18,633
2004-07-25,954
2004-07-31,849
2004-08-08,937
2004-08-15,782
2004-08-22,742
2004-08-29,744
2004-08-31,228
2004-09-05,551
2004-09-12,643
2004-09-19,823
2004-09-26,922
2004-09-30,233
2004-10-03,309
2004-10-10,1092
2004-10-17,304
2004-10-24,650
2004-10-31,652
2004-11-07,683
2004-11-14,546
2004-11-21,209
2004-11-28,567
2004-11-30,72
2004-12-05,211
2004-12-12,843
2004-12-19,643
2004-12-26,1188
2004-12-31,625
2005-01-09,376
2005-01-16,540
2005-01-23,292
2005-01-30,872
2005-01-31,103
2005-02-06,600
2005-02-13,449
2005-02-20,989
2005-02-27,612
2005-02-28,136
2005-03-06,610
2005-03-13,828
2005-03-20,682
2005-03-27,902
2005-03-31,327
2005-04-03,293
2005-04-10,1100
2005-04-17,895
2005-04-24,750
2005-04-30,838
2005-05-08,728
2005-05-15,664
2005-05-22,943
2005-05-29,918
2005-05-31,198
2005-06-05,668
2005-06-12,972
2005-06-19,634
2005-06-26,1075
2005-06-30,682
2005-07-03,380
2005-07-10,1333
2005-07-17,985
2005-07-24,343
2005-07-31,1970
2005-08-07,904.3
2005-08-14,840
2005-08-21,738
2005-08-28,973
2005-08-31,217
2005-09-04,527
2005-09-11,854
2005-09-18,1302
2005-09-25,858
2005-09-30,788
2005-10-09,1075
2005-10-16,647
2005-10-23,1004
2005-10-30,770
2005-10-31,190
2005-11-06,889
2005-11-13,939
2005-11-20,924
2005-11-27,925
2005-11-30,413
2005-12-04,671
2005-12-11,643
2005-12-18,1160
2005-12-25,1100
2005-12-31,772
2006-01-08,745
2006-01-15,535
2006-01-22,469
2006-01-29,817
2006-01-31,278
2006-02-05,145
2006-02-12,881
2006-02-19,579
2006-02-28,1217
2006-03-05,629
2006-03-12,616
2006-03-19,907
2006-03-26,864
