date,Brazil
1977-01-01,8.9
1977-02-01,8.56
1977-03-01,8.78
1977-04-01,9.65
1977-05-01,10.6
1977-06-01,10.01
1977-07-01,9
1977-08-01,9.77
1977-09-01,9.24
1977-10-01,9.03
1977-11-01,9.4
1977-12-01,10.14
1978-01-01,7.6
1978-02-01,8.07
1978-03-01,10.39
1978-04-01,10.15
1978-05-01,10.74
1978-06-01,11.26
1978-07-01,10.21
1978-08-01,10.92
1978-09-01,11.64
1978-10-01,12.04
1978-11-01,11.11
1978-12-01,12.16
1979-01-01,9.93
1979-02-01,9.25
1979-03-01,11.23
1979-04-01,11.45
1979-05-01,12.31
1979-06-01,10.86
1979-07-01,12.63
1979-08-01,12.29
1979-09-01,11.94
1979-10-01,12.47
1979-11-01,10.92
1979-12-01,12.34
1980-01-01,11.07
1980-02-01,11.32
1980-03-01,12.25
1980-04-01,12.47
1980-05-01,16.16
1980-06-01,13.74
1980-07-01,14.18
1980-08-01,14.49
1980-09-01,14.74
1980-10-01,15.42
1980-11-01,15.76
1980-12-01,16.1
1981-01-01,13.83
1981-02-01,14.3
1981-03-01,14.34
1981-04-01,15.61
1981-05-01,15.67
1981-06-01,16.69
1981-07-01,18
1981-08-01,17.62
1981-09-01,18.59
1981-10-01,19.48
1981-11-01,19.27
1981-12-01,17.97
1982-01-01,14.37
1982-02-01,12.72
1982-03-01,15.61
1982-04-01,14.21
1982-05-01,15.29
1982-06-01,14.89
1982-07-01,15.94
1982-08-01,17
1982-09-01,16.04
1982-10-01,15.42
1982-11-01,15.98
1982-12-01,16.07
1983-01-01,14.24
1983-02-01,12.34
1983-03-01,16.16
1983-04-01,17.47
1983-05-01,19.17
1983-06-01,19.39
1983-07-01,18.37
1983-08-01,19.57
1983-09-01,18.99
1983-10-01,17.25
1983-11-01,17.34
1983-12-01,19.36
1984-01-01,15.33
1984-02-01,16.94
1984-03-01,18.99
1984-04-01,19.74
1984-05-01,22.12
1984-06-01,22.06
1984-07-01,22.77
1984-08-01,23.12
1984-09-01,21.2
1984-10-01,23.09
1984-11-01,22.06
1984-12-01,22.59
1985-01-01,14.98
1985-02-01,13.74
1985-03-01,18.7
1985-04-01,20.78
1985-05-01,22.37
1985-06-01,21.8
1985-07-01,22.58
1985-08-01,22.3
1985-09-01,24.32
1985-10-01,23.67
1985-11-01,23.17
1985-12-01,26.8
1986-01-01,19.05
1986-02-01,16.1
1986-03-01,19.57
1986-04-01,20.59
1986-05-01,21.72
1986-06-01,19.61
1986-07-01,21.99
1986-08-01,20.72
1986-09-01,18.24
1986-10-01,12.75
1986-11-01,11.94
1986-12-01,12.56
1987-01-01,12.34
1987-02-01,14.36
1987-03-01,14.36
1987-04-01,17.03
1987-05-01,22.02
1987-06-01,25.84
1987-07-01,28.08
1987-08-01,24.75
1987-09-01,24.16
1987-10-01,23.67
1987-11-01,21.28
1987-12-01,23.61
1988-01-01,20.07
1988-02-01,18.96
1988-03-01,22.37
1988-04-01,24.79
1988-05-01,25.44
1988-06-01,26.9
1988-07-01,25.13
1988-08-01,28.76
1988-09-01,27.68
1988-10-01,22.37
1988-11-01,24.35
1988-12-01,24.35
1989-01-01,22.83
1989-02-01,18.89
1989-03-01,23.39
1989-04-01,19.57
1989-05-01,23.61
1989-06-01,30.59
1989-07-01,26.93
1989-08-01,28.33
1989-09-01,25.35
1989-10-01,23.83
1989-11-01,22.59
1989-12-01,23.67
1990-01-01,20.53
1990-02-01,17.68
1990-03-01,19.66
1990-04-01,22.34
1990-05-01,28.29
1990-06-01,21.53
1990-07-01,26.4
1990-08-01,26.34
1990-09-01,21.62
1990-10-01,19.07
1990-11-01,22.7
1990-12-01,24.26
1991-01-01,25.17
1991-02-01,19.98
1991-03-01,22.52
1991-04-01,26.31
1991-05-01,25.25
1991-06-01,24.63
1991-07-01,22.34
1991-08-01,24.73
1991-09-01,18.12
1991-10-01,23.39
1991-11-01,21.9
1991-12-01,22.87
1992-01-01,22.89
1992-02-01,21.1
1992-03-01,25.94
1992-04-01,23.7
1992-05-01,26.43
1992-06-01,26.93
1992-07-01,31.42
1992-08-01,27.27
1992-09-01,27.3
1992-10-01,29.53
1992-11-01,30.47
1992-12-01,31.52
1993-01-01,28.44
1993-02-01,28.73
1993-03-01,35.3
1993-04-01,29.72
1993-05-01,29.53
1993-06-01,32.41
1993-07-01,33.75
1993-08-01,34.09
1993-09-01,32.6
1993-10-01,30.59
1993-11-01,30.46
1993-12-01,32.48
1994-01-01,26.06
1994-02-01,25.5
1994-03-01,31.58
1994-04-01,33.85
1994-05-01,35.61
1994-06-01,34.22
1994-07-01,33.66
1994-08-01,37.63
1994-09-01,35.49
1994-10-01,31.58
1994-11-01,30.81
1994-12-01,29.97
1995-01-01,24.01
1995-02-01,23.68
1995-03-01,30.22
1995-04-01,26.93
1995-05-01,33.04
1995-06-01,32.12
1995-07-01,30.84
1995-08-01,34.94
1995-09-01,32.36
1995-10-01,33.88
1995-11-01,30.9
1995-12-01,29.85
1996-01-01,27.03
1996-02-01,26.52
1996-03-01,26.68
1996-04-01,33
1996-05-01,34.78
1996-06-01,29.7
1996-07-01,34.55
1996-08-01,34.15
1996-09-01,32.15
1996-10-01,32.98
1996-11-01,30.68
1996-12-01,29.99
1997-01-01,29.8
1997-02-01,24.89
1997-03-01,30.08
1997-04-01,36.03
1997-05-01,36.04
1997-06-01,37.46
1997-07-01,40.97
1997-08-01,39.6
1997-09-01,35.91
1997-10-01,38.12
1997-11-01,31.29
1997-12-01,35.77
1998-01-01,30.68
1998-02-01,29.73
1998-03-01,34.48
1998-04-01,37.84
1998-05-01,38.5
1998-06-01,41.01
1998-07-01,42.05
1998-08-01,34.15
1998-09-01,39.6
1998-10-01,35.33
1998-11-01,32.48
1998-12-01,34.52
1999-01-01,26.43
1999-02-01,30.04
1999-03-01,36.21
1999-04-01,35.94
1999-05-01,42.91
1999-06-01,42.21
1999-07-01,40.42
1999-08-01,42.07
1999-09-01,41.41
1999-10-01,41.84
1999-11-01,38.7
1999-12-01,44.95
2000-01-01,32.73
2000-02-01,39.16
2000-03-01,42.03
2000-04-01,39.6
2000-05-01,47.25
2000-06-01,45.63
2000-07-01,46.22
2000-08-01,50.26
2000-09-01,43.39
2000-10-01,43.67
2000-11-01,41.29
2000-12-01,43.07
2001-01-01,41.77
2001-02-01,38.13
2001-03-01,47.75
2001-04-01,45.34
2001-05-01,51.71
2001-06-01,48.81
2001-07-01,47.86
2001-08-01,55.81
2001-09-01,46.45
2001-10-01,49.47
2001-11-01,45.32
2001-12-01,44.19
2002-01-01,40.73
2002-02-01,37.51
2002-03-01,44.22
2002-04-01,47.04
2002-05-01,44.96
2002-06-01,40.16
2002-07-01,62.3
2002-08-01,58.51
2002-09-01,65.34
2002-10-01,65.05
2002-11-01,51.61
2002-12-01,53.74
2003-01-01,47.77
2003-02-01,49.05
2003-03-01,50.48
2003-04-01,55.93
2003-05-01,62.46
2003-06-01,57.13
2003-07-01,58.85
2003-08-01,62.25
2003-09-01,70.31
2003-10-01,72.37
2003-11-01,56.7
2003-12-01,63.32
2004-01-01,53.32
2004-02-01,52.31
2004-03-01,71.49
2004-04-01,58.2
2004-05-01,68.24
2004-06-01,79.46
2004-07-01,76.41
2004-08-01,76.96
2004-09-01,75.57
2004-10-01,69.11
2004-11-01,67.83
2004-12-01,71.93
2005-01-01,61.79
2005-02-01,64
2005-03-01,75.19
2005-04-01,72.54
2005-05-01,75.77
2005-06-01,78.91
2005-07-01,84.5
2005-08-01,85.86
2005-09-01,80.11
2005-10-01,73.81
2005-11-01,79.84
2005-12-01,80.26
2006-01-01,68.42
2006-02-01,63.42
2006-03-01,81.7
2006-04-01,69.65
2006-05-01,71.77
2006-06-01,78.08
2006-07-01,91.39
2006-08-01,90.6
2006-09-01,82.65
2006-10-01,83.53
2006-11-01,79.23
2006-12-01,80.68
2007-01-01,72.88
2007-02-01,67.52
2007-03-01,84
2007-04-01,80.4
2007-05-01,86.67
2007-06-01,82.55
2007-07-01,87.15
2007-08-01,91.7
2007-09-01,82.17
2007-10-01,92.51
2007-11-01,81.17
2007-12-01,80.41
2008-01-01,73.3
2008-02-01,70.43
2008-03-01,67.65
2008-04-01,73.61
2008-05-01,96.4
2008-06-01,87.28
2008-07-01,91.58
2008-08-01,86.2
2008-09-01,85.4
2008-10-01,84.05
2008-11-01,69.72
2008-12-01,74.27
2009-01-01,55.3
2009-02-01,56.3
2009-03-01,68.89
2009-04-01,73.14
2009-05-01,71.55
2009-06-01,82.67
2009-07-01,80.6
2009-08-01,78.42
2009-09-01,75.84
2009-10-01,76.56
2009-11-01,66.94
2009-12-01,74.39
2010-01-01,57.79
2010-02-01,62.08
2010-03-01,80.16
2010-04-01,75.7
2010-05-01,84.41
2010-06-01,82.12
2010-07-01,82.67
2010-08-01,87.24
2010-09-01,83.9
2010-10-01,80.52
2010-11-01,76.62
2010-12-01,88.17
2011-01-01,62.01
2011-02-01,67.95
2011-03-01,76.5
2011-04-01,76.51
2011-05-01,86.1
2011-06-01,84.3
2011-07-01,82.45
2011-08-01,95.48
2011-09-01,85.39
2011-10-01,81.58
2011-11-01,82.32
2011-12-01,85.72
2012-01-01,63.66
2012-02-01,72.09
2012-03-01,82.12
2012-04-01,75.6
2012-05-01,89.63
2012-06-01,75.92
2012-07-01,83.87
2012-08-01,89.5
2012-09-01,80.63
2012-10-01,86.98
2012-11-01,81.03
2012-12-01,80.63
2013-01-01,64.12
2013-02-01,62.43
2013-03-01,73.23
2013-04-01,82.9
2013-05-01,87.82
2013-06-01,80.16
2013-07-01,85.89
2013-08-01,91.03
2013-09-01,87.01
2013-10-01,86.49
2013-11-01,79.66
2013-12-01,81.7
2014-01-01,66.07
2014-02-01,68.3
2014-03-01,74.55
2014-04-01,84.07
2014-05-01,87.34
2014-06-01,85.7
2014-07-01,94.54
2014-08-01,83.28
2014-09-01,85.33
2014-10-01,82.16
2014-11-01,71.39
2014-12-01,82.49
2015-01-01,68.27
2015-02-01,62.78
2015-03-01,88.91
2015-04-01,82.52
2015-05-01,92.03
2015-06-01,103.75
2015-07-01,101.24
2015-08-01,87.37
2015-09-01,90.08
2015-10-01,93.14
2015-11-01,80.33
2015-12-01,96.53
2016-01-01,70.6
2016-02-01,85.53
2016-03-01,104.12
2016-04-01,96.65
2016-05-01,101.56
2016-06-01,99.85
2016-07-01,89.13
2016-08-01,97.04
2016-09-01,89.93
2016-10-01,77.52
2016-11-01,79.84
2016-12-01,87.13
2017-01-01,79.34
2017-02-01,81.32
2017-03-01,103.83
2017-04-01,92.86
2017-05-01,108.56
2017-06-01,109.08
2017-07-01,100.63
2017-08-01,109.79
2017-09-01,101.82
2017-10-01,100.27
2017-11-01,90.4
2017-12-01,93.19
2018-01-01,88.28
2018-02-01,82.44
2018-03-01,104.76
2018-04-01,100.21
2018-05-01,99.02
2018-06-01,101.99
2018-07-01,107.22
2018-08-01,104.73
2018-09-01,99.02
2018-10-01,111.19
2018-11-01,99.66
2018-12-01,101.47
2019-01-01,89.33
2019-02-01,85.48
2019-03-01,93.02
2019-04-01,101.74
2019-05-01,108.73
2019-06-01,96.76
2019-07-01,104.03
2019-08-01,102.64
2019-09-01,101.36
2019-10-01,107.27
