date,Brazil
2011-03-05,1.957
2011-03-12,1.988
2011-03-19,2.066
2011-03-26,2.194
2011-04-02,2.296
2011-04-09,2.358
2011-04-16,2.36
2011-04-23,2.338
2011-04-30,2.325
2011-05-07,2.304
2011-05-14,2.224
2011-05-21,2.076
2011-05-28,1.981
2011-06-04,1.939
2011-06-11,1.913
2011-06-18,1.912
2011-06-25,1.95
2011-07-02,1.975
2011-07-09,1.99
2011-07-16,1.999
2011-07-23,1.996
2011-07-30,2.002
2011-08-06,1.996
2011-08-13,1.996
2011-08-20,1.992
2011-08-27,2.006
2011-09-03,2.04
2011-09-10,2.053
2011-09-17,2.063
2011-09-24,2.013
2011-10-01,2
2011-10-08,2.009
2011-10-15,1.999
2011-10-22,2
2011-10-29,2.007
2011-11-05,2.012
2011-11-12,2.021
2011-11-19,2.025
2011-11-26,2.039
2011-12-03,2.048
2011-12-10,2.052
2011-12-17,2.056
2011-12-24,2.052
2011-12-31,2.058
2012-01-07,2.054
2012-01-14,2.047
2012-01-21,2.034
2012-01-28,2.024
2012-02-04,2.009
2012-02-11,1.998
2012-02-18,1.977
2012-02-25,1.976
2012-03-03,1.971
2012-03-10,1.989
2012-03-17,1.996
2012-03-24,1.997
2012-03-31,2.009
2012-04-07,2.109
2012-04-14,1.986
2012-04-21,1.987
2012-04-28,1.988
2012-05-05,1.977
2012-05-12,1.965
2012-05-19,1.968
2012-05-26,1.964
2012-06-02,1.965
2012-06-09,1.95
2012-06-16,1.942
2012-06-23,1.933
2012-06-30,1.925
2012-07-07,1.917
2012-07-14,1.916
2012-07-21,1.909
2012-07-28,1.902
2012-08-04,1.894
2012-08-11,1.896
2012-08-18,1.894
2012-08-19,1.894
2012-08-25,1.887
2012-09-01,1.881
2012-09-08,1.883
2012-09-15,1.885
2012-09-22,1.894
2012-09-29,1.891
2012-10-06,1.887
2012-10-13,1.889
2012-10-20,1.893
2012-10-27,1.883
2012-11-03,1.888
2012-11-10,1.888
2012-11-17,1.884
2012-11-24,1.897
2012-12-01,1.917
2012-12-08,1.927
2012-12-15,1.933
2012-12-22,1.941
2012-12-29,1.944
2013-01-05,1.948
2013-01-12,1.958
2013-01-19,1.951
2013-01-26,1.958
2013-02-02,1.962
2013-02-09,1.979
2013-02-16,1.99
2013-02-23,2.001
2013-03-02,2.032
2013-03-09,2.049
2013-03-16,2.062
2013-03-23,2.064
2013-03-30,2.058
2013-04-06,2.061
2013-04-13,2.051
2013-04-20,2.059
2013-04-27,2.079
2013-05-04,2.075
2013-05-11,2.059
2013-05-18,2.044
2013-05-25,2.01
2013-06-01,1.986
2013-06-08,1.962
2013-06-15,1.949
2013-06-22,1.933
2013-06-29,1.926
2013-07-06,1.924
2013-07-13,1.918
2013-07-20,1.92
2013-07-27,1.918
2013-08-03,1.908
2013-08-10,1.903
2013-08-17,1.905
2013-08-24,1.907
2013-08-31,1.894
2013-09-07,1.891
2013-09-14,1.89
2013-09-21,1.898
2013-09-28,1.898
2013-10-05,1.904
2013-10-12,1.914
2013-10-19,1.911
2013-10-26,1.917
2013-11-02,1.921
2013-11-09,1.924
2013-11-16,1.928
2013-11-23,1.933
2013-11-30,1.945
2013-12-07,1.996
2013-12-14,2.016
2013-12-21,2.029
2013-12-28,2.035
2014-01-04,2.04
2014-01-11,2.047
2014-01-18,2.044
2014-01-25,2.05
2014-02-01,2.05
2014-02-08,2.049
2014-02-15,2.054
2014-02-22,2.08
2014-03-01,2.113
2014-03-08,2.144
2014-03-15,2.162
2014-03-22,2.179
2014-03-29,2.184
2014-04-05,2.19
2014-04-12,2.187
2014-04-19,2.171
2014-04-26,2.171
2014-05-03,2.169
2014-05-10,2.165
2014-05-17,2.152
2014-05-24,2.119
2014-05-31,2.1
2014-06-07,2.088
2014-06-14,2.075
2014-06-21,2.063
2014-06-28,2.058
2014-07-05,2.05
2014-07-12,2.044
2014-07-19,2.041
2014-07-26,2.04
2014-08-02,2.035
2014-08-09,2.037
2014-08-16,2.038
2014-08-23,2.034
2014-08-30,2.009
2014-09-06,2.004
2014-09-13,2.006
2014-09-20,2.009
2014-09-27,2.006
2014-10-04,1.998
2014-10-11,2
2014-10-18,2.001
2014-10-25,1.999
2014-11-01,1.997
2014-11-08,2.003
2014-11-15,2.009
2014-11-22,2.024
2014-11-29,2.028
2014-12-06,2.031
2014-12-13,2.038
2014-12-20,2.041
2014-12-27,2.048
2015-01-03,2.047
2015-01-10,2.045
2015-01-17,2.052
2015-01-24,2.062
2015-01-31,2.086
2015-02-07,2.196
2015-02-14,2.224
2015-02-21,2.234
2015-02-28,2.24
2015-03-07,2.24
2015-03-14,2.24
2015-03-21,2.227
2015-03-28,2.214
2015-04-04,2.203
2015-04-11,2.184
2015-04-18,2.181
2015-04-25,2.176
2015-05-02,2.162
2015-05-09,2.147
2015-05-16,2.141
2015-05-23,2.142
2015-05-30,2.134
2015-06-06,2.122
2015-06-13,2.119
2015-06-20,2.118
2015-06-27,2.104
2015-07-04,2.093
2015-07-11,2.089
2015-07-18,2.081
2015-07-25,2.068
2015-08-01,2.085
2015-08-08,2.059
2015-08-15,2.059
2015-08-29,2.046
2015-09-05,2.053
2015-09-12,2.051
2015-09-19,2.041
2015-09-26,2.085
2015-10-03,2.116
2015-10-10,2.306
2015-10-17,2.36
2015-10-24,2.384
2015-10-31,2.4
2015-11-07,2.479
2015-11-14,2.57
2015-11-21,2.602
2015-11-28,2.631
2015-12-05,2.659
2015-12-12,2.649
2015-12-19,2.652
2015-12-26,2.666
2016-01-02,2.661
2016-01-09,2.663
2016-01-16,2.697
2016-01-23,2.737
2016-01-30,2.774
2016-02-06,2.794
2016-02-13,2.795
2016-02-20,2.806
2016-02-27,2.831
2016-03-05,2.839
2016-03-12,2.857
2016-03-19,2.874
2016-03-26,2.878
2016-04-02,2.889
2016-04-09,2.852
2016-04-16,2.784
2016-04-23,2.705
2016-04-30,2.622
2016-05-07,2.547
2016-05-14,2.508
2016-05-21,2.461
2016-05-28,2.426
2016-06-04,2.432
2016-06-11,2.46
2016-06-18,2.473
2016-06-25,2.474
2016-07-02,2.464
2016-07-09,2.449
2016-07-16,2.431
2016-07-23,2.435
2016-07-30,2.445
2016-08-06,2.475
2016-08-13,2.489
2016-08-20,2.49
2016-08-27,2.481
2016-09-03,2.486
2016-09-10,2.493
2016-09-17,2.497
2016-09-24,2.498
2016-10-01,2.554
2016-10-08,2.59
2016-10-15,2.633
2016-10-22,2.684
2016-10-29,2.76
2016-11-05,2.8
2016-11-12,2.814
2016-11-19,2.815
2016-11-26,2.816
2016-12-03,2.811
2016-12-10,2.822
2016-12-17,2.824
2016-12-24,2.836
2016-12-31,2.844
2017-01-07,2.863
2017-01-14,2.913
2017-01-21,2.931
2017-01-28,2.929
2017-02-04,2.92
2017-02-11,2.893
2017-02-18,2.884
2017-02-25,2.864
2017-03-04,2.831
2017-03-11,2.786
2017-03-18,2.744
2017-03-25,2.704
2017-04-01,2.691
2017-04-08,2.66
2017-04-15,2.654
2017-04-22,2.629
2017-04-29,2.615
2017-05-06,2.611
2017-05-13,2.608
2017-05-20,2.593
2017-05-27,2.568
2017-06-03,2.536
2017-06-10,2.514
2017-06-17,2.494
2017-06-24,2.472
2017-07-01,2.451
2017-07-08,2.423
2017-07-15,2.423
2017-07-22,2.381
2017-07-29,2.592
2017-08-05,2.608
2017-08-12,2.594
2017-08-19,2.613
2017-08-26,2.597
2017-09-02,2.615
2017-09-09,2.612
2017-09-16,2.632
2017-09-23,2.624
2017-09-30,2.637
2017-10-07,2.628
2017-10-14,2.661
2017-10-21,2.664
2017-10-28,2.681
2017-11-04,2.691
2017-11-11,2.745
2017-11-18,2.758
2017-11-25,2.812
2017-12-02,2.827
2017-12-09,2.827
2017-12-16,2.852
2017-12-23,2.9
2017-12-30,2.912
2018-01-06,2.946
2018-01-13,2.963
2018-01-20,2.991
2018-01-27,3.002
2018-02-03,3.023
2018-02-10,3.021
2018-02-17,3.026
2018-02-24,3.027
2018-03-03,3.019
2018-03-10,3.015
2018-03-17,3.032
2018-03-24,3.033
2018-03-31,3.048
2018-04-07,3.055
2018-04-14,3.019
2018-04-21,2.971
2018-04-28,2.893
2018-05-05,2.853
2018-05-12,2.802
2018-05-19,2.784
2018-05-26,2.818
2018-06-02,2.953
2018-06-09,2.982
2018-06-16,2.948
2018-06-23,2.92
2018-06-30,2.881
2018-07-07,2.833
2018-07-14,2.808
2018-07-21,2.775
2018-07-28,2.744
2018-08-04,2.715
2018-08-11,2.688
2018-08-18,2.646
2018-08-25,2.621
2018-09-01,2.626
2018-09-08,2.69
2018-09-15,2.808
2018-09-22,2.831
2018-09-29,2.865
2018-10-06,2.867
2018-10-13,2.914
2018-10-20,2.943
2018-10-27,2.983
2018-11-03,2.975
2018-11-10,2.951
2018-11-17,2.926
2018-11-24,2.908
2018-12-01,2.869
2018-12-08,2.834
2018-12-15,2.821
2018-12-22,2.829
2018-12-29,2.831
2019-01-05,2.83
2019-01-12,2.83
2019-01-19,2.82
2019-01-26,2.796
2019-02-02,2.78
2019-02-09,2.758
2019-02-16,2.744
2019-02-23,2.76
2019-03-02,2.868
2019-03-09,2.902
2019-03-16,2.962
2019-03-23,2.969
2019-03-30,2.969
2019-04-06,2.918
2019-04-13,2.908
2019-04-20,2.97
2019-04-27,3.127
2019-05-04,3.119
2019-05-11,3.06
2019-05-18,3.005
2019-05-25,2.946
2019-06-01,2.917
2019-06-08,2.859
2019-06-15,2.836
2019-06-22,2.803
2019-06-29,2.778
2019-07-06,2.797
2019-07-13,2.779
2019-07-20,2.766
2019-07-27,2.758
2019-08-03,2.788
2019-08-10,2.798
2019-08-17,2.818
2019-08-24,2.85
2019-08-31,2.86
2019-09-07,2.846
2019-09-14,2.843
2019-09-21,2.843
2019-09-28,2.87
2019-10-05,2.873
2019-10-12,2.892
2019-10-19,2.903
2019-10-26,2.927
2019-11-02,2.928
2019-11-09,2.946
2019-11-16,2.963
2019-11-23,2.98
2019-11-30,3.005
2019-12-07,3.06
2019-12-14,3.108
2019-12-21,3.151
2019-12-28,3.157
2020-01-04,3.174
2020-01-11,3.185
2020-01-18,3.241
2020-01-25,3.247
2020-02-01,3.25
2020-02-08,3.253
2020-02-15,3.256
2020-02-22,3.241
2020-02-29,3.241
2020-03-07,3.249
2020-03-14,3.253
2020-03-21,3.226
2020-03-28,3.139
2020-04-04,3.039
2020-04-11,2.864
2020-04-18,2.796
2020-04-25,2.705
2020-05-02,2.667
2020-05-09,2.579
2020-05-16,2.548
2020-05-23,2.53
2020-05-30,2.542
2020-06-06,2.579
2020-06-13,2.611
2020-06-20,2.681
2020-06-27,2.709
2020-07-04,2.737
2020-07-11,2.737
2020-07-18,2.737
2020-07-25,2.746
2020-08-01,2.741
2020-08-08,2.759
2020-08-15,2.769
2020-08-22,2.782
2020-10-24,2.975
2020-10-31,3.041
2020-11-07,3.051
2020-11-14,3.071
2020-11-21,3.11
2020-11-28,3.124
2020-12-05,3.157
2020-12-12,3.185
2020-12-19,3.182
2020-12-26,3.183
2021-01-02,3.18
2021-01-09,3.204
2021-01-16,3.202
2021-01-23,3.211
2021-01-30,3.238
2021-02-06,3.289
2021-02-13,3.311
2021-02-20,3.378
2021-02-27,3.646
2021-03-06,3.899
2021-03-13,4.121
2021-03-20,4.184
2021-03-27,4.067
2021-04-03,3.88
2021-04-10,3.804
2021-04-17,3.758
2021-04-24,3.814
2021-05-01,3.908
2021-05-08,3.99
2021-05-15,4.247
2021-05-22,4.362
2021-05-29,4.362
2021-06-05,4.334
2021-06-12,4.388
2021-06-19,4.401
2021-06-26,4.354
2021-07-03,4.29
2021-07-10,4.273
2021-07-17,4.322
2021-07-24,4.344
2021-07-31,4.326
2021-08-07,4.339
2021-08-14,4.399
2021-08-21,4.497
2021-08-28,4.562
2021-09-04,4.611
2021-09-11,4.653
2021-09-18,4.703
2021-09-25,4.715
2021-10-02,4.736
2021-10-09,4.775
2021-10-16,4.819
2021-10-23,4.876
2021-10-30,5.066
2021-11-06,5.294
2021-11-13,5.394
2021-11-20,5.414
2021-11-27,5.395
2021-12-04,5.308
2021-12-11,5.21
2021-12-18,5.128
2021-12-25,5.079
2022-01-01,5.063
2022-01-08,5.051
2022-01-15,5.046
2022-01-22,5.053
2022-01-29,5.007
