date,Brazil
1994-07-01,81.692
1994-10-01,94.81
1995-01-01,95.124
1995-04-01,103.118
1995-07-01,94.295
1995-10-01,94.801
1996-01-01,95.456
1996-04-01,94.017
1996-07-01,96.817
1996-10-01,99.368
1997-01-01,102.842
1997-04-01,106.585
1997-07-01,111.963
1997-10-01,110.333
1998-01-01,110.495
1998-04-01,109.699
1998-07-01,110.138
1998-10-01,107.972
1999-01-01,76.539
1999-04-01,75.206
1999-07-01,70.504
1999-10-01,75.747
2000-01-01,79.855
2000-04-01,89.838
2000-07-01,91.97
2000-10-01,88.136
2001-01-01,83.032
2001-04-01,61.083
2001-07-01,54.718
2001-10-01,64.94
2002-01-01,66.525
2002-04-01,56.673
2002-07-01,40.682
2002-10-01,45.995
2003-01-01,47.834
2003-04-01,58.189
2003-07-01,58.92
2003-10-01,61.725
2004-01-01,64.068
2004-04-01,63.915
2004-07-01,74.85
2004-10-01,88.254
2005-01-01,94.323
2005-04-01,111.943
2005-07-01,125.547
2005-10-01,129.882
2006-01-01,142.391
2006-04-01,148.737
2006-07-01,158.462
2006-10-01,172.658
2007-01-01,187.492
2007-04-01,209.914
2007-07-01,238.634
2007-10-01,271.704
2008-01-01,287.495
2008-04-01,334.886
2008-07-01,298.207
2008-10-01,262.609
2009-01-01,265.482
2009-04-01,327.777
2009-07-01,377.368
2009-10-01,414.343
2010-01-01,410.999
2010-04-01,423.402
2010-07-01,487.217
2010-10-01,534.421
2011-01-01,562.991
2011-04-01,608.666
2011-07-01,532.192
2011-10-01,561.88
2012-01-01,590.282
2012-04-01,549.966
2012-07-01,571.302
2012-10-01,594.572
2013-01-01,621.55
2013-04-01,587.326
2013-07-01,596.188
2013-10-01,595.181
2014-01-01,631.928
2014-04-01,676.744
2014-07-01,627.609
2014-10-01,605.155
2015-01-01,499.615
2015-04-01,531.767
2015-07-01,420.773
2015-10-01,430.966
2016-01-01,483.086
2016-04-01,559.493
2016-07-01,570.122
2016-10-01,593.08
2017-01-01,616.502
2017-04-01,591.837
2017-07-01,639.892
2017-10-01,620.627
2018-01-01,624.766
2018-04-01,531.887
2018-07-01,524.545
2018-10-01,570.439
2019-01-01,567.891
2019-04-01,595.517
2019-07-01,564.194
2019-10-01,605.886
2020-01-01,471.069
2020-04-01,455.893
2020-07-01,458.851
2020-10-01,528.312
2021-01-01,486.834
2021-04-01,588.584
