,Brazil
1947-01-04,21.493548387096773
1947-01-11,21.525161290322583
1947-01-18,21.55677419354839
1947-01-25,21.588387096774195
1947-02-01,21.62
1947-02-08,21.715
1947-02-15,21.810000000000002
1947-02-22,21.905
1947-03-01,22.0
1947-03-08,22.0
1947-03-15,22.0
1947-03-22,22.0
1947-03-29,22.0
1947-04-05,21.993333333333332
1947-04-12,21.981666666666666
1947-04-19,21.97
1947-04-26,21.958333333333332
1947-05-03,21.958387096774192
1947-05-10,21.98774193548387
1947-05-17,22.017096774193547
1947-05-24,22.046451612903223
1947-05-31,22.075806451612902
1947-06-07,22.11
1947-06-14,22.145
1947-06-21,22.18
1947-06-28,22.215
1947-07-05,22.25193548387097
1947-07-12,22.29032258064516
1947-07-19,22.328709677419354
1947-07-26,22.36709677419355
1947-08-02,22.414193548387097
1947-08-09,22.513548387096773
1947-08-16,22.612903225806452
1947-08-23,22.712258064516128
1947-08-30,22.811612903225807
1947-09-06,22.851666666666667
1947-09-13,22.868
1947-09-20,22.884333333333334
1947-09-27,22.900666666666666
1947-10-04,22.92451612903226
1947-10-11,22.958387096774192
1947-10-18,22.99225806451613
1947-10-25,23.026129032258062
1947-11-01,23.06
1947-11-08,23.141666666666666
1947-11-15,23.223333333333333
1947-11-22,23.305
1947-11-29,23.386666666666667
1947-12-06,23.453548387096774
1947-12-13,23.51451612903226
1947-12-20,23.57548387096774
1947-12-27,23.636451612903226
1948-01-03,23.679354838709678
1948-01-10,23.677096774193547
1948-01-17,23.67483870967742
1948-01-24,23.672580645161293
1948-01-31,23.670322580645163
1948-02-07,23.6348275862069
1948-02-14,23.593793103448277
1948-02-21,23.552758620689655
1948-02-28,23.511724137931033
1948-03-06,23.551612903225806
1948-03-13,23.623870967741937
1948-03-20,23.696129032258064
1948-03-27,23.768387096774195
1948-04-03,23.832666666666668
1948-04-10,23.877000000000002
1948-04-17,23.921333333333333
1948-04-24,23.965666666666667
1948-05-01,24.01
1948-05-08,24.041612903225808
1948-05-15,24.073225806451614
1948-05-22,24.10483870967742
1948-05-29,24.136451612903226
1948-06-05,24.183333333333334
1948-06-12,24.241666666666664
1948-06-19,24.299999999999997
1948-06-26,24.35833333333333
1948-07-03,24.401935483870968
1948-07-10,24.408709677419353
1948-07-17,24.41548387096774
1948-07-24,24.42225806451613
1948-07-31,24.429032258064517
1948-08-07,24.416451612903227
1948-08-14,24.40064516129032
1948-08-21,24.384838709677418
1948-08-28,24.369032258064514
1948-09-04,24.355
1948-09-11,24.343333333333334
1948-09-18,24.331666666666667
1948-09-25,24.32
1948-10-02,24.30516129032258
1948-10-09,24.271290322580644
1948-10-16,24.23741935483871
1948-10-23,24.203548387096774
1948-10-30,24.169677419354837
1948-11-06,24.141666666666666
1948-11-13,24.116
1948-11-20,24.090333333333334
1948-11-27,24.064666666666668
1948-12-04,24.046129032258065
1948-12-11,24.03709677419355
1948-12-18,24.028064516129035
1948-12-25,24.019032258064517
1949-01-01,24.01
1949-01-08,23.98741935483871
1949-01-15,23.96483870967742
1949-01-22,23.94225806451613
1949-01-29,23.91967741935484
1949-02-05,23.91
1949-02-12,23.91
1949-02-19,23.91
1949-02-26,23.91
1949-03-05,23.911290322580644
1949-03-12,23.913548387096775
1949-03-19,23.915806451612905
1949-03-26,23.918064516129032
1949-04-02,23.919666666666668
1949-04-09,23.917333333333335
1949-04-16,23.915
1949-04-23,23.912666666666667
1949-04-30,23.910333333333334
1949-05-07,23.91193548387097
1949-05-14,23.914193548387097
1949-05-21,23.916451612903227
1949-05-28,23.918709677419358
1949-06-04,23.898000000000003
1949-06-11,23.846666666666668
1949-06-18,23.795333333333332
1949-06-25,23.744
1949-07-02,23.7
1949-07-09,23.7
1949-07-16,23.7
1949-07-23,23.7
1949-07-30,23.7
1949-08-06,23.70806451612903
1949-08-13,23.719354838709677
1949-08-20,23.730645161290322
1949-08-27,23.741935483870968
1949-09-03,23.744666666666667
1949-09-10,23.726
1949-09-17,23.707333333333334
1949-09-24,23.688666666666666
1949-10-01,23.67
1949-10-08,23.67677419354839
1949-10-15,23.683548387096774
1949-10-22,23.690322580645162
1949-10-29,23.697096774193547
1949-11-05,23.688
1949-11-12,23.666999999999998
1949-11-19,23.646
1949-11-26,23.625
1949-12-03,23.603548387096772
1949-12-10,23.580967741935485
1949-12-17,23.558387096774194
1949-12-24,23.535806451612903
1949-12-31,23.513225806451615
1950-01-07,23.52935483870968
1950-01-14,23.551935483870967
1950-01-21,23.574516129032258
1950-01-28,23.59709677419355
1950-02-04,23.613214285714285
1950-02-11,23.620714285714286
1950-02-18,23.628214285714286
1950-02-25,23.635714285714286
1950-03-04,23.640967741935484
1950-03-11,23.643225806451614
1950-03-18,23.64548387096774
1950-03-25,23.64774193548387
1950-04-01,23.65
1950-04-08,23.677999999999997
1950-04-15,23.706
1950-04-22,23.733999999999998
1950-04-29,23.762
1950-05-06,23.787741935483872
1950-05-13,23.81258064516129
1950-05-20,23.83741935483871
1950-05-27,23.862258064516126
1950-06-03,23.892666666666667
1950-06-10,23.936999999999998
1950-06-17,23.981333333333332
1950-06-24,24.025666666666666
1950-07-01,24.07
1950-07-08,24.099354838709676
1950-07-15,24.128709677419355
1950-07-22,24.15806451612903
1950-07-29,24.18741935483871
1950-08-05,24.218064516129033
1950-08-12,24.24967741935484
1950-08-19,24.281290322580645
1950-08-26,24.31290322580645
1950-09-02,24.345333333333333
1950-09-09,24.382666666666665
1950-09-16,24.42
1950-09-23,24.457333333333334
1950-09-30,24.494666666666667
1950-10-07,24.519354838709678
1950-10-14,24.54193548387097
1950-10-21,24.56451612903226
1950-10-28,24.58709677419355
1950-11-04,24.638
1950-11-11,24.726666666666667
1950-11-18,24.815333333333335
1950-11-25,24.904
1950-12-02,24.99290322580645
1950-12-09,25.083225806451612
1950-12-16,25.173548387096773
1950-12-23,25.263870967741934
1950-12-30,25.354193548387094
1951-01-06,25.45258064516129
1951-01-13,25.554193548387097
1951-01-20,25.6558064516129
1951-01-27,25.757419354838706
1951-02-03,25.833571428571428
1951-02-10,25.846071428571427
1951-02-17,25.858571428571427
1951-02-24,25.871071428571426
1951-03-03,25.88258064516129
1951-03-10,25.891612903225806
1951-03-17,25.900645161290324
1951-03-24,25.90967741935484
1951-03-31,25.918709677419358
1951-04-07,25.934
1951-04-14,25.950333333333333
1951-04-21,25.966666666666665
1951-04-28,25.982999999999997
1951-05-05,25.982258064516127
1951-05-12,25.968709677419355
1951-05-19,25.95516129032258
1951-05-26,25.941612903225806
1951-06-02,25.929333333333332
1951-06-09,25.924666666666667
1951-06-16,25.92
1951-06-23,25.915333333333333
1951-06-30,25.910666666666668
1951-07-07,25.90032258064516
1951-07-14,25.889032258064518
1951-07-21,25.877741935483872
1951-07-28,25.866451612903226
1951-08-04,25.876451612903224
1951-08-11,25.91483870967742
1951-08-18,25.953225806451613
1951-08-25,25.991612903225807
1951-09-01,26.03
1951-09-08,26.060333333333332
1951-09-15,26.090666666666667
1951-09-22,26.121000000000002
1951-09-29,26.151333333333334
1951-10-06,26.185806451612905
1951-10-13,26.22193548387097
1951-10-20,26.258064516129032
1951-10-27,26.294193548387096
1951-11-03,26.330000000000002
1951-11-10,26.365
1951-11-17,26.4
1951-11-24,26.435
1951-12-01,26.47
1951-12-08,26.46548387096774
1951-12-15,26.460967741935484
1951-12-22,26.456451612903226
1951-12-29,26.451935483870965
1952-01-05,26.44483870967742
1952-01-12,26.4358064516129
1952-01-19,26.426774193548386
1952-01-26,26.41774193548387
1952-02-02,26.409310344827585
1952-02-09,26.40448275862069
1952-02-16,26.399655172413794
1952-02-23,26.394827586206898
1952-03-01,26.39
1952-03-08,26.405806451612904
1952-03-15,26.421612903225807
1952-03-22,26.43741935483871
1952-03-29,26.453225806451613
1952-04-05,26.461333333333332
1952-04-12,26.46366666666667
1952-04-19,26.466
1952-04-26,26.468333333333334
1952-05-03,26.473870967741934
1952-05-10,26.48741935483871
1952-05-17,26.500967741935483
1952-05-24,26.51451612903226
1952-05-31,26.52806451612903
1952-06-07,26.560000000000002
1952-06-14,26.595
1952-06-21,26.63
1952-06-28,26.665
1952-07-05,26.681290322580644
1952-07-12,26.683548387096774
1952-07-19,26.685806451612905
1952-07-26,26.68806451612903
1952-08-02,26.68806451612903
1952-08-09,26.67451612903226
1952-08-16,26.660967741935483
1952-08-23,26.64741935483871
1952-08-30,26.633870967741935
1952-09-06,26.64
1952-09-13,26.654
1952-09-20,26.668
1952-09-27,26.682000000000002
1952-10-04,26.69
1952-10-11,26.69
1952-10-18,26.69
1952-10-25,26.69
1952-11-01,26.69
1952-11-08,26.694666666666667
1952-11-15,26.699333333333335
1952-11-22,26.704
1952-11-29,26.708666666666666
1952-12-06,26.698709677419355
1952-12-13,26.682903225806452
1952-12-20,26.66709677419355
1952-12-27,26.651290322580646
1953-01-03,26.636774193548387
1953-01-10,26.62548387096774
1953-01-17,26.614193548387096
1953-01-24,26.60290322580645
1953-01-31,26.591612903225805
1953-02-07,26.59857142857143
1953-02-14,26.608571428571427
1953-02-21,26.61857142857143
1953-02-28,26.628571428571426
1953-03-07,26.641612903225806
1953-03-14,26.65516129032258
1953-03-21,26.668709677419354
1953-03-28,26.68225806451613
1953-04-04,26.691000000000003
1953-04-11,26.693333333333335
1953-04-18,26.695666666666668
1953-04-25,26.698
1953-05-02,26.70225806451613
1953-05-09,26.718064516129033
1953-05-16,26.733870967741936
1953-05-23,26.74967741935484
1953-05-30,26.765483870967742
1953-06-06,26.773333333333333
1953-06-13,26.778
1953-06-20,26.782666666666668
1953-06-27,26.787333333333333
1953-07-04,26.795806451612904
1953-07-11,26.809354838709677
1953-07-18,26.822903225806453
1953-07-25,26.836451612903225
1953-08-01,26.85
1953-08-08,26.859032258064516
1953-08-15,26.868064516129035
1953-08-22,26.87709677419355
1953-08-29,26.886129032258065
1953-09-05,26.898
1953-09-12,26.912
1953-09-19,26.926
1953-09-26,26.94
1953-10-03,26.943548387096772
1953-10-10,26.920967741935485
1953-10-17,26.898387096774194
1953-10-24,26.875806451612902
1953-10-31,26.853225806451615
1953-11-07,26.854000000000003
1953-11-14,26.858666666666668
1953-11-21,26.863333333333333
1953-11-28,26.868000000000002
1953-12-05,26.879032258064516
1953-12-12,26.89483870967742
1953-12-19,26.910645161290322
1953-12-26,26.92645161290323
1954-01-02,26.941612903225806
1954-01-09,26.952903225806452
1954-01-16,26.964193548387097
1954-01-23,26.975483870967743
1954-01-30,26.986774193548385
1954-02-06,26.979285714285712
1954-02-13,26.96428571428571
1954-02-20,26.949285714285715
1954-02-27,26.934285714285714
1954-03-06,26.918709677419354
1954-03-13,26.90290322580645
1954-03-20,26.887096774193548
1954-03-27,26.871290322580645
1954-04-03,26.864666666666665
1954-04-10,26.881
1954-04-17,26.897333333333332
1954-04-24,26.913666666666668
1954-05-01,26.93
1954-05-08,26.93225806451613
1954-05-15,26.934516129032257
1954-05-22,26.936774193548388
1954-05-29,26.93903225806452
1954-06-05,26.929333333333336
1954-06-12,26.910666666666668
1954-06-19,26.892
1954-06-26,26.873333333333335
1954-07-03,26.859354838709677
1954-07-10,26.857096774193547
1954-07-17,26.85483870967742
1954-07-24,26.852580645161293
1954-07-31,26.850322580645162
1954-08-07,26.84225806451613
1954-08-14,26.833225806451612
1954-08-21,26.824193548387097
1954-08-28,26.81516129032258
1954-09-04,26.801
1954-09-11,26.779999999999998
1954-09-18,26.759
1954-09-25,26.738
1954-10-02,26.72193548387097
1954-10-09,26.73548387096774
1954-10-16,26.749032258064517
1954-10-23,26.76258064516129
1954-10-30,26.776129032258066
1954-11-06,26.778333333333336
1954-11-13,26.776
1954-11-20,26.773666666666667
1954-11-27,26.771333333333335
1954-12-04,26.77
1954-12-11,26.77
1954-12-18,26.77
1954-12-25,26.77
1955-01-01,26.77
1955-01-08,26.781290322580645
1955-01-15,26.79258064516129
1955-01-22,26.803870967741936
1955-01-29,26.815161290322582
1955-02-05,26.815714285714286
1955-02-12,26.808214285714286
1955-02-19,26.800714285714285
1955-02-26,26.793214285714285
1955-03-05,26.79
1955-03-12,26.79
1955-03-19,26.79
1955-03-26,26.79
1955-04-02,26.78933333333333
1955-04-09,26.784666666666666
1955-04-16,26.78
1955-04-23,26.775333333333332
1955-04-30,26.770666666666667
1955-05-07,26.758387096774193
1955-05-14,26.74483870967742
1955-05-21,26.731290322580644
1955-05-28,26.717741935483872
1955-06-04,26.715
1955-06-11,26.726666666666667
1955-06-18,26.738333333333333
1955-06-25,26.75
1955-07-02,26.758709677419358
1955-07-09,26.74967741935484
1955-07-16,26.740645161290324
1955-07-23,26.731612903225805
1955-07-30,26.72258064516129
1955-08-06,26.74096774193548
1955-08-13,26.77032258064516
1955-08-20,26.79967741935484
1955-08-27,26.82903225806452
1955-09-03,26.848000000000003
1955-09-10,26.841
1955-09-17,26.834
1955-09-24,26.827
1955-10-01,26.82
1955-10-08,26.833548387096773
1955-10-15,26.84709677419355
1955-10-22,26.86064516129032
1955-10-29,26.874193548387098
1955-11-05,26.878666666666668
1955-11-12,26.87633333333333
1955-11-19,26.874
1955-11-26,26.871666666666666
1955-12-03,26.86741935483871
1955-12-10,26.858387096774194
1955-12-17,26.849354838709676
1955-12-24,26.84032258064516
1955-12-31,26.831290322580642
1956-01-07,26.835806451612903
1956-01-14,26.842580645161288
1956-01-21,26.849354838709676
1956-01-28,26.856129032258064
1956-02-04,26.86310344827586
1956-02-11,26.870344827586205
1956-02-18,26.877586206896552
1956-02-25,26.884827586206896
1956-03-03,26.892580645161292
1956-03-10,26.901612903225807
1956-03-17,26.910645161290322
1956-03-24,26.919677419354837
1956-03-31,26.928709677419356
1956-04-07,26.95
1956-04-14,26.973333333333333
1956-04-21,26.996666666666666
1956-04-28,27.02
1956-05-05,27.045483870967743
1956-05-12,27.072580645161292
1956-05-19,27.099677419354837
1956-05-26,27.126774193548385
1956-06-02,27.154666666666664
1956-06-09,27.18733333333333
1956-06-16,27.22
1956-06-23,27.252666666666666
1956-06-30,27.285333333333334
1956-07-07,27.293870967741935
1956-07-14,27.298387096774192
1956-07-21,27.30290322580645
1956-07-28,27.307419354838707
1956-08-04,27.313870967741934
1956-08-11,27.322903225806453
1956-08-18,27.331935483870968
1956-08-25,27.340967741935486
1956-09-01,27.35
1956-09-08,27.387333333333334
1956-09-15,27.424666666666667
1956-09-22,27.462000000000003
1956-09-29,27.499333333333336
1956-10-06,27.51
1956-10-13,27.51
1956-10-20,27.51
1956-10-27,27.51
1956-11-03,27.518
1956-11-10,27.546
1956-11-17,27.574
1956-11-24,27.602
1956-12-01,27.63
1956-12-08,27.639032258064514
1956-12-15,27.648064516129033
1956-12-22,27.657096774193548
1956-12-29,27.666129032258066
1957-01-05,27.686774193548388
1957-01-12,27.716129032258067
1957-01-19,27.745483870967742
1957-01-26,27.77483870967742
1957-02-02,27.802142857142858
1957-02-09,27.81714285714286
1957-02-16,27.832142857142856
1957-02-23,27.847142857142856
1957-03-02,27.86225806451613
1957-03-09,27.878064516129033
1957-03-16,27.893870967741936
1957-03-23,27.90967741935484
1957-03-30,27.925483870967742
1957-04-06,27.941666666666666
1957-04-13,27.958
1957-04-20,27.974333333333334
1957-04-27,27.990666666666666
1957-05-04,28.010645161290324
1957-05-11,28.03548387096774
1957-05-18,28.06032258064516
1957-05-25,28.08516129032258
1957-06-01,28.11
1957-06-08,28.128666666666668
1957-06-15,28.147333333333332
1957-06-22,28.166
1957-06-29,28.18466666666667
1957-07-06,28.20451612903226
1957-07-13,28.22483870967742
1957-07-20,28.24516129032258
1957-07-27,28.265483870967742
1957-08-03,28.282580645161293
1957-08-10,28.291612903225808
1957-08-17,28.300645161290323
1957-08-24,28.309677419354838
1957-08-31,28.318709677419356
1957-09-07,28.32
1957-09-14,28.32
1957-09-21,28.32
1957-09-28,28.32
1957-10-05,28.331612903225807
1957-10-12,28.351935483870967
1957-10-19,28.372258064516128
1957-10-26,28.392580645161292
1957-11-02,28.412
1957-11-09,28.426
1957-11-16,28.44
1957-11-23,28.454
1957-11-30,28.468
1957-12-07,28.502903225806453
1957-12-14,28.541290322580643
1957-12-21,28.579677419354837
1957-12-28,28.61806451612903
1958-01-04,28.645806451612902
1958-01-11,28.659354838709678
1958-01-18,28.67290322580645
1958-01-25,28.686451612903227
1958-02-01,28.7
1958-02-08,28.7425
1958-02-15,28.785
1958-02-22,28.8275
1958-03-01,28.87
1958-03-08,28.885806451612904
1958-03-15,28.901612903225807
1958-03-22,28.91741935483871
1958-03-29,28.933225806451613
1958-04-05,28.94
1958-04-12,28.94
1958-04-19,28.94
1958-04-26,28.94
1958-05-03,28.93806451612903
1958-05-10,28.931290322580647
1958-05-17,28.92451612903226
1958-05-24,28.91774193548387
1958-05-31,28.910967741935483
1958-06-07,28.906
1958-06-14,28.901333333333334
1958-06-21,28.89666666666667
1958-06-28,28.892
1958-07-05,28.896451612903228
1958-07-12,28.907741935483873
1958-07-19,28.91903225806452
1958-07-26,28.93032258064516
1958-08-02,28.93903225806452
1958-08-09,28.93225806451613
1958-08-16,28.925483870967742
1958-08-23,28.918709677419354
1958-08-30,28.91193548387097
1958-09-06,28.91
1958-09-13,28.91
1958-09-20,28.91
1958-09-27,28.91
1958-10-04,28.913870967741936
1958-10-11,28.92290322580645
1958-10-18,28.931935483870966
1958-10-25,28.940967741935484
1958-11-01,28.95
1958-11-08,28.954666666666665
1958-11-15,28.959333333333333
1958-11-22,28.964
1958-11-29,28.968666666666664
1958-12-06,28.976451612903226
1958-12-13,28.98548387096774
1958-12-20,28.99451612903226
1958-12-27,29.003548387096775
1959-01-03,29.00935483870968
1959-01-10,29.00709677419355
1959-01-17,29.00483870967742
1959-01-24,29.00258064516129
1959-01-31,29.00032258064516
1959-02-07,28.99357142857143
1959-02-14,28.986071428571428
1959-02-21,28.978571428571428
1959-02-28,28.971071428571427
1959-03-07,28.97193548387097
1959-03-14,28.974193548387095
1959-03-21,28.976451612903226
1959-03-28,28.978709677419356
1959-04-04,28.986
1959-04-11,29.0
1959-04-18,29.014
1959-04-25,29.028
1959-05-02,29.04225806451613
1959-05-09,29.058064516129033
1959-05-16,29.073870967741936
1959-05-23,29.08967741935484
1959-05-30,29.105483870967742
1959-06-06,29.116666666666667
1959-06-13,29.125999999999998
1959-06-20,29.13533333333333
1959-06-27,29.144666666666666
1959-07-04,29.15290322580645
1959-07-11,29.15967741935484
1959-07-18,29.166451612903224
1959-07-25,29.17322580645161
1959-08-01,29.18
1959-08-08,29.195806451612903
1959-08-15,29.211612903225806
1959-08-22,29.22741935483871
1959-08-29,29.243225806451612
1959-09-05,29.263333333333332
1959-09-12,29.28666666666667
1959-09-19,29.310000000000002
1959-09-26,29.333333333333336
1959-10-03,29.35
1959-10-10,29.35
1959-10-17,29.35
1959-10-24,29.35
1959-10-31,29.35
1959-11-07,29.362000000000002
1959-11-14,29.376
1959-11-21,29.39
1959-11-28,29.404
1959-12-05,29.40483870967742
1959-12-12,29.395806451612902
1959-12-19,29.386774193548387
1959-12-26,29.377741935483872
1960-01-02,29.371290322580645
1960-01-09,29.380322580645164
1960-01-16,29.38935483870968
1960-01-23,29.398387096774194
