,Brazil
1979-12-01,1e-08
1979-12-08,1e-08
1979-12-15,1e-08
1979-12-22,1e-08
1979-12-29,1e-08
1980-01-05,1e-08
1980-01-12,1e-08
1980-01-19,1e-08
1980-01-26,1e-08
1980-02-02,1e-08
1980-02-09,1e-08
1980-02-16,1e-08
1980-02-23,1e-08
1980-03-01,1e-08
1980-03-08,1e-08
1980-03-15,1e-08
1980-03-22,1e-08
1980-03-29,1e-08
1980-04-05,1e-08
1980-04-12,1e-08
1980-04-19,1e-08
1980-04-26,1e-08
1980-05-03,1e-08
1980-05-10,1e-08
1980-05-17,1e-08
1980-05-24,1e-08
1980-05-31,1e-08
1980-06-07,1e-08
1980-06-14,1e-08
1980-06-21,1e-08
1980-06-28,1e-08
1980-07-05,1e-08
1980-07-12,1e-08
1980-07-19,1e-08
1980-07-26,1e-08
1980-08-02,1e-08
1980-08-09,1e-08
1980-08-16,1e-08
1980-08-23,1e-08
1980-08-30,1e-08
1980-09-06,1e-08
1980-09-13,1e-08
1980-09-20,1e-08
1980-09-27,1e-08
1980-10-04,1e-08
1980-10-11,1e-08
1980-10-18,1e-08
1980-10-25,1e-08
1980-11-01,1e-08
1980-11-08,1.2333333333333333e-08
1980-11-15,1.4666666666666666e-08
1980-11-22,1.7e-08
1980-11-29,1.9333333333333334e-08
1980-12-06,2e-08
1980-12-13,2e-08
1980-12-20,2e-08
1980-12-27,2e-08
1981-01-03,2e-08
1981-01-10,2e-08
1981-01-17,2e-08
1981-01-24,2e-08
1981-01-31,2e-08
1981-02-07,2e-08
1981-02-14,2e-08
1981-02-21,2e-08
1981-02-28,2e-08
1981-03-07,2e-08
1981-03-14,2e-08
1981-03-21,2e-08
1981-03-28,2e-08
1981-04-04,2e-08
1981-04-11,2e-08
1981-04-18,2e-08
1981-04-25,2e-08
1981-05-02,2e-08
1981-05-09,2e-08
1981-05-16,2e-08
1981-05-23,2e-08
1981-05-30,2e-08
1981-06-06,2e-08
1981-06-13,2e-08
1981-06-20,2e-08
1981-06-27,2e-08
1981-07-04,2e-08
1981-07-11,2e-08
1981-07-18,2e-08
1981-07-25,2e-08
1981-08-01,2e-08
1981-08-08,2.225806451612903e-08
1981-08-15,2.4516129032258063e-08
1981-08-22,2.6774193548387094e-08
1981-08-29,2.9032258064516125e-08
1981-09-05,3e-08
1981-09-12,3e-08
1981-09-19,3e-08
1981-09-26,3e-08
1981-10-03,3e-08
1981-10-10,3e-08
1981-10-17,3e-08
1981-10-24,3e-08
1981-10-31,3e-08
1981-11-07,3e-08
1981-11-14,3e-08
1981-11-21,3e-08
1981-11-28,3e-08
1981-12-05,3e-08
1981-12-12,3e-08
1981-12-19,3e-08
1981-12-26,3e-08
1982-01-02,3e-08
1982-01-09,3e-08
1982-01-16,3e-08
1982-01-23,3e-08
1982-01-30,3e-08
1982-02-06,3.1785714285714284e-08
1982-02-13,3.4285714285714286e-08
1982-02-20,3.678571428571428e-08
1982-02-27,3.9285714285714285e-08
1982-03-06,4e-08
1982-03-13,4e-08
1982-03-20,4e-08
1982-03-27,4e-08
1982-04-03,4e-08
1982-04-10,4e-08
1982-04-17,4e-08
1982-04-24,4e-08
1982-05-01,4e-08
1982-05-08,4e-08
1982-05-15,4e-08
1982-05-22,4e-08
1982-05-29,4e-08
1982-06-05,4.133333333333333e-08
1982-06-12,4.366666666666667e-08
1982-06-19,4.6e-08
1982-06-26,4.833333333333333e-08
1982-07-03,5e-08
1982-07-10,5e-08
1982-07-17,5e-08
1982-07-24,5e-08
1982-07-31,5e-08
1982-08-07,5e-08
1982-08-14,5e-08
1982-08-21,5e-08
1982-08-28,5e-08
1982-09-04,5e-08
1982-09-11,5e-08
1982-09-18,5e-08
1982-09-25,5e-08
1982-10-02,5.032258064516129e-08
1982-10-09,5.258064516129032e-08
1982-10-16,5.483870967741935e-08
1982-10-23,5.7096774193548384e-08
1982-10-30,5.9354838709677415e-08
1982-11-06,6e-08
1982-11-13,6e-08
1982-11-20,6e-08
1982-11-27,6e-08
1982-12-04,6.096774193548387e-08
1982-12-11,6.32258064516129e-08
1982-12-18,6.548387096774193e-08
1982-12-25,6.774193548387097e-08
1983-01-01,7e-08
1983-01-08,7e-08
1983-01-15,7e-08
1983-01-22,7e-08
1983-01-29,7e-08
1983-02-05,7.142857142857144e-08
1983-02-12,7.392857142857144e-08
