date,Brazil
2011-01-01,69.7
2011-02-01,70.9
2011-03-01,72.3
2011-04-01,73.3
2011-05-01,74
2011-06-01,75.4
2011-07-01,75.9
2011-08-01,76.2
2011-09-01,77.4
2011-10-01,77.7
2011-11-01,78.5
2011-12-01,78.4
2012-01-01,79.4
2012-02-01,79.3
2012-03-01,80.4
2012-04-01,80.7
2012-05-01,81.7
2012-06-01,82.7
2012-07-01,82.3
2012-08-01,83.4
2012-09-01,84.1
2012-10-01,84.6
2012-11-01,87.1
2012-12-01,88.1
2013-01-01,87.6
2013-02-01,87.5
2013-03-01,88.9
2013-04-01,88.8
2013-05-01,90.7
2013-06-01,91.9
2013-07-01,93.6
2013-08-01,94.1
2013-09-01,94.7
2013-10-01,96.8
2013-11-01,96.2
2013-12-01,96.4
2014-01-01,95.8
2014-02-01,99.2
2014-03-01,99.2
2014-04-01,101.2
2014-05-01,101.1
2014-06-01,100.3
2014-07-01,96.3
2014-08-01,102
2014-09-01,103.8
2014-10-01,100.8
2014-11-01,100.9
2014-12-01,101.3
2015-01-01,102.6
2015-02-01,102.1
2015-03-01,100.1
2015-04-01,101.7
2015-05-01,101.1
2015-06-01,100.2
2015-07-01,99.1
2015-08-01,101.3
2015-09-01,101.6
2015-10-01,102.5
2015-11-01,99.8
2015-12-01,102
2016-01-01,104.5
2016-02-01,101.7
2016-03-01,100.6
2016-04-01,99
2016-05-01,98.2
2016-06-01,97.8
2016-07-01,100.3
2016-08-01,104.3
2016-09-01,99.4
2016-10-01,99.6
2016-11-01,100.5
2016-12-01,101.5
2017-01-01,102.2
2017-02-01,105.4
2017-03-01,105.4
2017-04-01,105.7
2017-05-01,106.1
2017-06-01,107.5
2017-07-01,105.5
2017-08-01,103.5
2017-09-01,105.4
2017-10-01,104.7
2017-11-01,105.2
2017-12-01,105.6
2018-01-01,105.3
2018-02-01,106.1
2018-03-01,106.9
2018-04-01,109.7
2018-05-01,108.1
2018-06-01,105.7
2018-07-01,111.2
2018-08-01,113.2
2018-09-01,113.5
2018-10-01,110.6
2018-11-01,112.1
2018-12-01,113.8
2019-01-01,117.3
2019-02-01,115.2
2019-03-01,118.2
2019-04-01,117.1
2019-05-01,120.5
2019-06-01,120
2019-07-01,121.7
2019-08-01,118.1
2019-09-01,118.8
2019-10-01,119.6
2019-11-01,119.2
2019-12-01,120.3
2020-01-01,122.1
2020-02-01,123.8
2020-03-01,84
2020-04-01,38.2
2020-05-01,41.7
2020-06-01,45.7
2020-07-01,47.6
2020-08-01,60.2
2020-09-01,67.4
2020-10-01,76.6
2020-11-01,81.3
2020-12-01,83.2
2021-01-01,82.1
2021-02-01,85.9
2021-03-01,66.7
2021-04-01,66
2021-05-01,82.4
2021-06-01,88
2021-07-01,93
2021-08-01,99.1
2021-09-01,104.3
2021-10-01,108.4
2021-11-01,112.4
