date,Brazil
2003-12-06,6315395677.589626
2003-12-13,6340824195.978302
2003-12-20,6385489810.264265
2003-12-27,6421276340.266636
2004-01-03,6376436458.263507
2004-01-10,6417184539.917718
2004-01-17,6396166243.692788
2004-01-24,6346771827.030826
2004-01-31,6316133046.910699
2004-02-07,6357098043.53131
2004-02-14,6347778497.949889
2004-02-21,6301988852.14878
2004-02-28,6308179029.247483
2004-03-06,6333420225.52628
2004-03-13,6333319870.2585535
2004-03-20,6293678786.895215
2004-03-27,6256580873.552735
2004-04-03,6276591016.0189495
2004-04-10,6337641086.88376
2004-04-17,6300504177.191447
2004-04-24,6265214124.025956
2004-05-01,6240808025.249152
2004-05-08,6301485816.283363
2004-05-15,6309578369.408507
2004-05-22,6278997679.080175
2004-05-29,6295021035.789568
2004-06-05,6367334362.173471
2004-06-12,6405340930.151714
2004-06-19,6362968351.767355
2004-06-26,6327132807.968378
2004-07-03,6357870665.037506
2004-07-10,6438450308.076704
2004-07-17,6427108722.6363945
2004-07-24,6401854881.57931
2004-07-31,6377222574.625171
2004-08-07,6442420343.454781
2004-08-14,6452105753.012007
2004-08-21,6413491902.092356
2004-08-28,6390861679.638111
2004-09-04,6431243650.798711
2004-09-11,6473836311.760435
2004-09-18,6434917395.665664
2004-09-25,6397237600.101691
2004-10-02,6396001541.432237
2004-10-09,6461958125.714735
2004-10-16,6425675649.640673
2004-10-23,6386216991.115278
2004-10-30,6373223115.558935
2004-11-06,6425998606.142072
2004-11-13,6433083753.378165
2004-11-20,6383508578.927598
2004-11-27,6355359965.389549
2004-12-04,6446611703.9441185
2004-12-11,6552013223.70044
2004-12-18,6552140824.650594
2004-12-25,6627612744.302705
2005-01-01,6564268887.571856
2005-01-08,6615384108.742879
2005-01-15,6627916092.477721
2005-01-22,6565867713.351719
2005-01-29,6526984110.553091
2005-02-05,6580829266.026396
2005-02-12,6586546317.647268
2005-02-19,6514952646.239554
2005-02-26,6469954714.878069
2005-03-05,6534221092.269723
2005-03-12,6535771619.750985
2005-03-19,6474392471.427225
2005-03-26,6425315023.605854
2005-04-02,6415809884.992118
2005-04-09,6507612540.421079
2005-04-16,6465517456.4474745
2005-04-23,6416864914.55368
2005-04-30,6382468959.837874
2005-05-07,6441634088.811351
2005-05-14,6442763420.037099
2005-05-21,6391048258.498569
2005-05-28,6368811910.594095
2005-06-04,6411645655.736943
2005-06-11,6459207704.202966
2005-06-18,6417653954.913019
2005-06-25,6385573504.4555
2005-07-02,6395196261.0382185
2005-07-09,6500593720.647049
2005-07-16,6487110529.29917
2005-07-23,6452085842.2897415
2005-07-30,6446049104.3998165
2005-08-06,6519859612.624542
2005-08-13,6522334233.964579
2005-08-20,6471818780.05142
2005-08-27,6429911435.068265
2005-09-03,6449924033.180542
2005-09-10,6516319556.693606
2005-09-17,6467213384.119106
2005-09-24,6425343494.081905
2005-10-01,6393833925.707168
2005-10-08,6466855350.326664
2005-10-15,6460001971.038415
2005-10-22,6406029621.600409
2005-10-29,6384592063.918932
2005-11-05,6438784350.838489
2005-11-12,6460215002.670337
2005-11-19,6412576646.164493
2005-11-26,6373656191.973985
2005-12-03,6442565049.145767
2005-12-10,6583352084.615107
2005-12-17,6585952169.774608
2005-12-24,6644474481.349982
2005-12-31,6607848570.329756
2006-01-07,6665333131.624418
2006-01-14,6674327626.224885
2006-01-21,6595075549.045065
2006-01-28,6544144439.663549
2006-02-04,6579316490.927357
2006-02-11,6604751842.074408
2006-02-18,6537946479.162022
2006-02-25,6516524257.717404
2006-03-04,6584741063.147123
2006-03-11,6575285659.0808325
2006-03-18,6510044780.328578
2006-03-25,6453977855.731662
2006-04-01,6425722826.445447
2006-04-08,6504488096.974513
2006-04-15,6497293900.095949
2006-04-22,6437466043.513933
2006-04-29,6403506034.567641
2006-05-06,6467705083.342079
2006-05-13,6482154002.54314
2006-05-20,6427203854.759537
2006-05-27,6394128175.762486
2006-06-03,6423570048.114045
2006-06-10,6507062270.925755
2006-06-17,6478223547.321341
2006-06-24,6439124919.176196
2006-07-01,6427558675.2892275
2006-07-08,6553929477.903993
2006-07-15,6592900500.826876
2006-07-22,6556007139.859251
2006-07-29,6531390634.774196
2006-08-05,6615958465.546146
2006-08-12,6656750247.479024
2006-08-19,6604699547.5261135
2006-08-26,6565433219.477027
2006-09-02,6571396383.188532
2006-09-09,6705897468.110552
2006-09-16,6690177098.393787
2006-09-23,6656954910.131963
2006-09-30,6643505523.206772
2006-10-07,6750458595.577744
2006-10-14,6770498223.497367
2006-10-21,6712691772.7207985
2006-10-28,6697718532.075509
2006-11-04,6767253560.072954
2006-11-11,6836043761.197007
2006-11-18,6819172074.0797615
2006-11-25,6785087163.815304
2006-12-02,6824376702.155922
2006-12-09,7010575518.339823
2006-12-16,7029151259.982866
2006-12-23,7127002041.446994
2006-12-30,7151413112.955056
2007-01-06,7205001012.503995
2007-01-13,7263879124.220471
2007-01-20,7192826831.204145
2007-01-27,7149068933.306186
2007-02-03,7182745553.743778
2007-02-10,7283043959.586344
2007-02-17,7232773281.789355
2007-02-24,7199619560.444622
2007-03-03,7243642794.812802
2007-03-10,7353732389.980212
2007-03-17,7311724439.410049
2007-03-24,7271549520.201117
2007-03-31,7273074256.272994
2007-04-07,7392452143.9495535
2007-04-14,7430876494.498605
2007-04-21,7387540504.564848
2007-04-28,7383738121.372154
2007-05-05,7464333588.169929
2007-05-12,7535038697.713294
2007-05-19,7490013573.220293
2007-05-26,7457886659.602292
2007-06-02,7475760925.414244
2007-06-09,7608553903.975257
2007-06-16,7585177796.028938
2007-06-23,7558378238.901295
2007-06-30,7559303372.51949
2007-07-07,7704578929.206479
2007-07-14,7772426151.23044
2007-07-21,7730678974.03748
2007-07-28,7705740897.824026
2007-08-04,7778023201.528806
2007-08-11,7863667319.719283
2007-08-18,7852609779.823608
2007-08-25,7836254635.906528
2007-09-01,7853079084.066968
2007-09-08,8004830954.650213
2007-09-15,8056448608.827006
2007-09-22,8023199684.608276
2007-09-29,8030580391.579924
2007-10-06,8146063650.529789
2007-10-13,8177031158.276863
2007-10-20,8127113750.377822
2007-10-27,8093719806.325087
2007-11-03,8147349466.693796
2007-11-10,8226771554.450647
2007-11-17,8201355476.013627
2007-11-24,8161833683.726467
2007-12-01,8157203139.528925
2007-12-08,8376613523.367233
2007-12-15,8406427477.46644
2007-12-22,8497407783.530224
2007-12-29,8543893628.364281
2008-01-05,8597225032.10715
2008-01-12,8648114125.573236
2008-01-19,8574102048.787915
2008-01-26,8536453229.913155
2008-02-02,8602705830.92812
2008-02-09,8691503313.677576
2008-02-16,8634440002.482744
2008-02-23,8606878724.188025
2008-03-01,8611333816.55055
2008-03-08,8734755069.550306
2008-03-15,8712048264.205494
2008-03-22,8680674316.599049
2008-03-29,8664019400.76266
2008-04-05,8772550600.073898
2008-04-12,8795141199.608118
2008-04-19,8732687621.27224
2008-04-26,8694346816.20629
2008-05-03,8657941136.214594
2008-05-10,8665286273.616869
2008-05-17,8638203094.977058
2008-05-24,8605462160.426378
2008-05-31,8594596955.77511
2008-06-07,8671888997.092613
2008-06-14,8679142814.854492
2008-06-21,8650783433.527151
2008-06-28,8643187621.719292
2008-07-05,8755897520.85929
2008-07-12,8818771055.212248
2008-07-19,8804789641.391705
2008-07-26,8766406452.726957
2008-08-02,8785099530.82682
2008-08-09,8861851794.817986
2008-08-16,8827588137.533041
2008-08-23,8803053478.362843
2008-08-30,8831576048.267956
2008-09-06,8951089589.330341
2008-09-13,8952255881.497274
2008-09-20,8924698223.581917
2008-09-27,8911394925.446774
2008-10-04,8995308003.129517
2008-10-11,9029543441.97896
2008-10-18,8979062505.992165
2008-10-25,8943608565.897228
2008-11-01,8940388355.437849
2008-11-08,9048142719.696407
2008-11-15,9038160126.901009
2008-11-22,9016419730.44897
2008-11-29,9023788670.783928
2008-12-06,9187110218.761272
2008-12-13,9238754687.450262
2008-12-20,9270159867.017082
2008-12-27,9305350608.74367
2009-01-03,9313685342.350622
2009-01-10,9398835849.948229
2009-01-17,9333927334.742584
2009-01-24,9263410912.708916
2009-01-31,9233579441.086653
2009-02-07,9340999553.93502
2009-02-14,9335037322.3284
2009-02-21,9296367316.777225
2009-02-28,9305226329.23759
2009-03-07,9403349251.232777
2009-03-14,9381021320.248941
2009-03-21,9311449479.486885
2009-03-28,9271630348.348587
2009-04-04,9357600323.0964
2009-04-11,9420918410.105726
2009-04-18,9361596777.73044
2009-04-25,9311323981.089441
2009-05-02,9274599510.2601
2009-05-09,9376251472.441713
2009-05-16,9363057715.805252
2009-05-23,9326288155.087147
2009-05-30,9329237966.515882
2009-06-06,9453425343.014938
2009-06-13,9470078651.20871
2009-06-20,9427604916.21375
2009-06-27,9412733080.024559
2009-07-04,9538473452.46177
2009-07-11,9654822579.809381
2009-07-18,9657744526.67544
2009-07-25,9671023055.891449
2009-08-01,9683017114.963675
2009-08-08,9826890309.498531
2009-08-15,9844459982.661032
2009-08-22,9824774024.608055
2009-08-29,9821216461.809515
2009-09-05,9966082516.426483
2009-09-12,10040993545.441425
2009-09-19,10004054197.374254
2009-09-26,9968063755.305796
2009-10-03,10012596321.481789
2009-10-10,10081433677.522783
2009-10-17,10026962172.357405
2009-10-24,9988963031.752266
2009-10-31,10001369623.801447
2009-11-07,10103438094.734793
2009-11-14,10125098034.440626
2009-11-21,10108500300.277052
2009-11-28,10115453777.55117
2009-12-05,10322166197.099165
2009-12-12,10395339130.492262
2009-12-19,10437947471.40128
2009-12-26,10517904327.961946
2010-01-02,10491122717.513098
2010-01-09,10605190557.888105
2010-01-16,10586412781.188484
2010-01-23,10523965523.33245
2010-01-30,10497333128.84127
2010-02-06,10591302538.532515
2010-02-13,10575237320.716621
2010-02-20,10514163231.706842
2010-02-27,10502322281.670202
2010-03-06,10625300412.103119
2010-03-13,10622324814.670591
2010-03-20,10583062158.68397
2010-03-27,10538095707.573536
2010-04-03,10571710486.820549
2010-04-10,10658684007.562998
2010-04-17,10653212022.197285
2010-04-24,10631083192.92632
2010-05-01,10608742447.134766
2010-05-08,10721821212.958975
