date,Brazil
2003-12-06,
2003-12-13,
2003-12-20,
2003-12-27,6365746506.024708
2004-01-03,6381006701.193177
2004-01-10,6400096787.178032
2004-01-17,6402765895.535162
2004-01-24,6384139767.22621
2004-01-31,6369063914.388008
2004-02-07,6354042290.291407
2004-02-14,6341945353.85568
2004-02-21,6330749610.13517
2004-02-28,6328761105.719365
2004-03-06,6322841651.218109
2004-03-13,6319226994.295275
2004-03-20,6317149477.981883
2004-03-27,6304249939.058196
2004-04-03,6290042636.681364
2004-04-10,6291122940.837665
2004-04-17,6292829288.411723
2004-04-24,6294987601.030028
2004-05-01,6286041853.337579
2004-05-08,6277003035.68748
2004-05-15,6279271583.741745
2004-05-22,6282717472.5053
2004-05-29,6296270725.140404
2004-06-05,6312732861.61293
2004-06-12,6336673501.798732
2004-06-19,6357666169.970528
2004-06-26,6365694113.015229
2004-07-03,6363328188.731238
2004-07-10,6371605533.212486
2004-07-17,6387640625.929746
2004-07-24,6406321144.3324795
2004-07-31,6411159121.729395
2004-08-07,6412151630.573914
2004-08-14,6418400888.167817
2004-08-21,6421310143.296078
2004-08-28,6424719919.549314
2004-09-04,6421925746.385296
2004-09-11,6427358386.072403
2004-09-18,6432714759.465731
2004-09-25,6434308739.581625
2004-10-02,6425498212.240006
2004-10-09,6422528665.728581
2004-10-16,6420218229.222334
2004-10-23,6417463076.97573
2004-10-30,6411768470.507405
2004-11-06,6402778590.61424
2004-11-13,6404630616.548613
2004-11-20,6403953513.501693
2004-11-27,6399487725.959346
2004-12-04,6404641000.409858
2004-12-11,6434373367.990427
2004-12-18,6476531429.421176
2004-12-25,6544594624.149465
2005-01-01,6574008920.056398
2005-01-08,6589851641.317009
2005-01-15,6608795458.27379
2005-01-22,6593359200.536043
2005-01-29,6584038006.281353
2005-02-05,6575399295.602232
2005-02-12,6565056851.894618
2005-02-19,6552328085.116577
2005-02-26,6538070736.197822
2005-03-05,6526418692.758654
2005-03-12,6513725018.284583
2005-03-19,6503584974.5815
2005-03-26,6492425051.763447
2005-04-02,6462822249.944046
2005-04-09,6455782480.111568
2005-04-16,6453563726.3666315
2005-04-23,6451451199.103588
2005-04-30,6443115967.815027
2005-05-07,6426621354.912596
2005-05-14,6420932845.810001
2005-05-21,6414478681.796223
2005-05-28,6411064419.485278
2005-06-04,6403567311.216676
2005-06-11,6407678382.258142
2005-06-18,6414329806.361756
2005-06-25,6418520204.827106
2005-07-02,6414407856.152426
2005-07-09,6424754360.263447
2005-07-16,6442118503.859984
2005-07-23,6458746588.318544
2005-07-30,6471459799.158944
2005-08-06,6476276272.153317
2005-08-13,6485082198.31967
2005-08-20,6490015432.760089
2005-08-27,6485981015.427202
2005-09-03,6468497120.566202
2005-09-10,6466993451.248458
2005-09-17,6465842102.26538
2005-09-24,6464700117.01879
2005-10-01,6450677590.150446
2005-10-08,6438311538.558711
2005-10-15,6436508685.288538
2005-10-22,6431680217.168164
2005-10-29,6429369751.721105
2005-11-05,6422352001.849061
2005-11-12,6422405259.757042
2005-11-19,6424042015.898062
2005-11-26,6421308047.911826
2005-12-03,6422253222.488646
2005-12-10,6453037492.974837
2005-12-17,6496381373.877366
2005-12-24,6564085946.221366
2005-12-31,6605406826.517363
2006-01-07,6625902088.269691
2006-01-14,6647995952.38226
2006-01-21,6635646219.30603
2006-01-28,6619720186.63948
2006-02-04,6598216026.465214
2006-02-11,6580822080.427595
2006-02-18,6566539812.956833
2006-02-25,6559634767.470298
2006-03-04,6560990910.525239
2006-03-11,6553624364.776846
2006-03-18,6546648940.068484
2006-03-25,6531012339.572048
2006-04-01,6491257780.39663
2006-04-08,6473558389.87005
2006-04-15,6470370669.8118925
2006-04-22,6466242716.75746
2006-04-29,6460688518.788009
2006-05-06,6451492765.3799
2006-05-13,6447707790.991698
2006-05-20,6445142243.803099
2006-05-27,6442797779.10181
2006-06-03,6431764020.294803
2006-06-10,6437991087.390456
2006-06-17,6450746010.530907
2006-06-24,6461995196.384334
2006-07-01,6462992353.178129
2006-07-08,6474709154.922689
2006-07-15,6503378393.299073
2006-07-22,6532598948.469837
2006-07-29,6558556938.341078
2006-08-05,6574064185.251617
2006-08-12,6590026621.914655
2006-08-19,6602199723.831369
2006-08-26,6610710370.007078
2006-09-02,6599569849.417673
2006-09-09,6611856654.575556
2006-09-16,6633226042.292475
2006-09-23,6656106464.956208
2006-09-30,6674133749.960768
2006-10-07,6685274031.827566
2006-10-14,6705354313.103461
2006-10-21,6719288528.75067
2006-10-28,6732841780.967855
2006-11-04,6737040522.091658
2006-11-11,6753426906.516567
2006-11-18,6780046981.856308
2006-11-25,6801889139.791257
2006-12-02,6816169925.311998
2006-12-09,6859802864.597703
2006-12-16,6912297661.073479
2006-12-23,6997776380.481401
2006-12-30,7079535483.181185
2007-01-06,7128141856.722227
2007-01-13,7186823822.78163
2007-01-20,7203280020.220917
2007-01-27,7202693975.3087
2007-02-03,7197130110.618646
2007-02-10,7201921319.460114
2007-02-17,7211907932.106416
2007-02-24,7224545588.891025
2007-03-03,7239769899.158281
2007-03-10,7257442006.756748
2007-03-17,7277179796.1619215
2007-03-24,7295162286.101046
2007-03-31,7302520151.466093
2007-04-07,7312200089.958428
2007-04-14,7341988103.730568
2007-04-21,7370985849.8215
2007-04-28,7398651816.096291
2007-05-05,7416622177.151384
2007-05-12,7442662727.955057
2007-05-19,7468280995.118917
2007-05-26,7486818129.676452
2007-06-02,7489674963.987531
2007-06-09,7508053765.553022
2007-06-16,7531844821.255182
2007-06-23,7556967716.079933
2007-06-30,7577853327.856245
2007-07-07,7601859584.16405
2007-07-14,7648671672.964426
2007-07-21,7691746856.748472
2007-07-28,7728356238.074606
2007-08-04,7746717306.155188
2007-08-11,7769527598.277399
2007-08-18,7800010299.72393
2007-08-25,7832638734.244556
