date,Brazil
1996-03-01,99.54735151
1996-06-01,100.43749554
1996-09-01,104.37098349
1996-12-01,103.29977567
1997-03-01,104.3149649
1997-06-01,105.02120719
1997-09-01,106.3256658
1997-12-01,107.14997248
1998-03-01,105.07960895
1998-06-01,106.78484758
1998-09-01,106.85049651
1998-12-01,105.58369123
1999-03-01,105.92753096
1999-06-01,106.17934441
1999-09-01,106.35862728
1999-12-01,107.84966221
2000-03-01,108.98216449
2000-06-01,110.51998709
2000-09-01,111.8239715
2000-12-01,113.19605521
2001-03-01,113.61806042
2001-06-01,113.05531805
2001-09-01,112.46954949
2001-12-01,112.15525954
2002-03-01,114.74442213
2002-06-01,115.3823151
2002-09-01,116.81110505
2002-12-01,117.98995093
2003-03-01,117.49344586
2003-06-01,116.47187738
2003-09-01,117.57770454
2003-12-01,118.79409769
2004-03-01,120.46979535
2004-06-01,123.76946799
2004-09-01,125.32177818
2004-12-01,126.28341633
2005-03-01,127.2280404
2005-06-01,128.97725986
2005-09-01,127.9940644
2005-12-01,129.60458377
2006-03-01,131.81481969
2006-06-01,132.14537033
2006-09-01,134.29913652
2006-12-01,135.89305512
2007-03-01,138.59541933
2007-06-01,140.75975446
2007-09-01,142.20971439
2007-12-01,144.4126231
2008-03-01,146.05017862
2008-06-01,149.4416481
2008-09-01,151.62637705
2008-12-01,145.89220914
2009-03-01,143.87328745
2009-06-01,146.46957854
2009-09-01,149.90551675
2009-12-01,153.69965707
2010-03-01,157.20397836
2010-06-01,158.73477769
2010-09-01,160.36079007
2010-12-01,162.53399915
2011-03-01,164.88968647
2011-06-01,166.48380607
2011-09-01,166.13378494
2011-12-01,167.49645599
2012-03-01,165.33965458
2012-06-01,168.18000735
2012-09-01,171.11197025
2012-12-01,171.06700255
2013-03-01,171.84480601
2013-06-01,174.74757409
2013-09-01,175.31086401
2013-12-01,175.50190455
2014-03-01,177.08896929
2014-06-01,174.39987778
2014-09-01,174.35179864
2014-12-01,175.21952261
2015-03-01,174.06473515
2015-06-01,169.52852142
2015-09-01,166.99569438
2015-12-01,165.68311039
2016-03-01,163.0434138
2016-06-01,163.96060169
2016-09-01,162.92915545
2016-12-01,162.63323587
2017-03-01,164.44529194
2017-06-01,165.66398346
2017-09-01,166.17004354
2017-12-01,166.87902654
2018-03-01,167.77427714
2018-06-01,168.05788873
2018-09-01,169.53558334
2018-12-01,168.91838293
2019-03-01,169.75299159
2019-06-01,170.74160862
2019-09-01,170.71826244
2019-12-01,171.28459855
2020-03-01,167.39481198
2020-06-01,152.57323696
2020-09-01,164.42555423
2020-12-01,169.54696059
2021-03-01,171.82476429
2021-06-01,171.22137693
2021-09-01,171.06069657
