date,Brazil
2002-01-01,-6.1575
2002-04-01,-5.9434
2002-07-01,-4.8726
2002-10-01,-6.0274
2003-01-01,-8.1246
2003-04-01,-6.5934
2003-07-01,-2.7368
2003-10-01,2.4729
2004-01-01,7.7299
2004-04-01,8.4719
2004-07-01,5.5646
2004-10-01,3.7192
2005-01-01,2.1984
2005-04-01,1.0298
2005-07-01,2.1248
2005-10-01,2.4242
2006-01-01,3.6607
2006-04-01,6.0103
2006-07-01,7.9179
2006-10-01,10.1908
2007-01-01,11.8406
2007-04-01,12.908
2007-07-01,13.535
2007-10-01,14.577
2008-01-01,15.4462
2008-04-01,15.6248
2008-07-01,15.7436
2008-10-01,16.4771
2009-01-01,17.5022
2009-04-01,18.6842
2009-07-01,20.1575
2009-10-01,20.8742
2010-01-01,20.3278
2010-04-01,19.6722
2010-07-01,19.3154
2010-10-01,16.8891
2011-01-01,14.7941
2011-04-01,12.7162
2011-07-01,10.4583
2011-10-01,8.9598
2012-01-01,7.9416
2012-04-01,6.9342
2012-07-01,5.3673
2012-10-01,4.2409
2013-01-01,3.1433
2013-04-01,2.6596
2013-07-01,2.8527
2013-10-01,2.7072
2014-01-01,2.501
2014-04-01,1.2456
2014-07-01,-0.0339
2014-10-01,-1.4092
2015-01-01,-4.3533
2015-04-01,-6.7937
2015-07-01,-9.0638
2015-10-01,-10.8035
2016-01-01,-11.3359
2016-04-01,-10.9
2016-07-01,-10.6731
2016-10-01,-9.2176
2017-01-01,-7.1277
2017-04-01,-5.5689
2017-07-01,-4.1772
2017-10-01,-3.8113
2018-01-01,-3.1629
2018-04-01,-3.0615
2018-07-01,-3.4802
2018-10-01,-2.6804
2019-01-01,-2.0611
2019-04-01,-1.5911
2019-07-01,0.35
2019-10-01,1.1545
2020-01-01,1.7974
2020-04-01,4.6546
2020-07-01,5.3265
2020-10-01,4.681
2021-01-01,4.3073
2021-04-01,2.1975
2021-07-01,0.2845
