date,Brazil
2003-12-01,140547206000
2003-12-02,140869638000
2003-12-03,140744632000
2003-12-04,140834769000
2003-12-05,141872095000
2003-12-08,141864886000
2003-12-09,141603168000
2003-12-10,141638812000
2003-12-11,141782157000
2003-12-12,142030156000
2003-12-15,142928791000
2003-12-16,142500197000
2003-12-17,142342909000
2003-12-18,142780183000
2003-12-19,144582097000
2003-12-22,144686866000
2003-12-23,144345012000
2003-12-24,143731650000
2003-12-26,143532601000
2003-12-29,143170250000
2003-12-30,143489696000
2003-12-31,143056847000
2004-01-02,143477371000
2004-01-05,144491619000
2004-01-06,143968661000
2004-01-07,144197795000
2004-01-08,144468500000
2004-01-09,144937410000
2004-01-12,144508328000
2004-01-13,144206387000
2004-01-14,143929570000
2004-01-15,144100519000
2004-01-16,143943537000
2004-01-19,143487431000
2004-01-20,143475347000
2004-01-21,143143263000
2004-01-22,142971790000
2004-01-23,143026694000
2004-01-26,142798746000
2004-01-27,142598837000
2004-01-28,142365585000
2004-01-29,142534071000
2004-01-30,143327284000
2004-02-02,143704796000
2004-02-03,143694928000
2004-02-04,143578154000
2004-02-05,143726200000
2004-02-06,144387726000
2004-02-09,143902556000
2004-02-10,144086255000
2004-02-11,143670247000
2004-02-12,143455877000
2004-02-13,143736286000
2004-02-16,143389615000
2004-02-17,142961625000
2004-02-18,142556138000
2004-02-19,142399733000
2004-02-20,143166424000
2004-02-25,142990019000
2004-02-26,142970830000
2004-02-27,143629471000
2004-03-01,144029252000
2004-03-02,143819661000
2004-03-03,143536171000
2004-03-04,143607399000
2004-03-05,144517254000
2004-03-08,144309501000
2004-03-09,143865918000
2004-03-10,144172505000
2004-03-11,143937939000
2004-03-12,143813117000
2004-03-15,143787423000
2004-03-16,143480960000
2004-03-17,143077190000
2004-03-18,142884219000
2004-03-19,142958878000
2004-03-22,142778150000
2004-03-23,142521118000
2004-03-24,142314229000
2004-03-25,142428311000
2004-03-26,142518674000
2004-03-29,142267545000
2004-03-30,142538434000
2004-03-31,142993241000
2004-04-01,143668694000
2004-04-02,144039820000
2004-04-05,144145887000
2004-04-06,144713866000
2004-04-07,144774964000
2004-04-08,145026391000
2004-04-12,144441200000
2004-04-13,144032482000
2004-04-14,143744863000
2004-04-15,143891255000
2004-04-16,143832221000
2004-04-19,143410050000
2004-04-20,143532277000
2004-04-22,143257413000
2004-04-23,143207359000
2004-04-26,142947542000
2004-04-27,142856613000
2004-04-28,142712183000
2004-04-29,142843293000
2004-04-30,143453159000
2004-05-03,144072045000
2004-05-04,144236032000
2004-05-05,144528733000
2004-05-06,144660044000
2004-05-07,145422710000
2004-05-10,145622886000
2004-05-11,145097491000
2004-05-12,144794874000
2004-05-13,144624137000
2004-05-14,144866887000
2004-05-17,144612520000
2004-05-18,144312452000
2004-05-19,144126387000
2004-05-20,144690538000
2004-05-21,144903186000
2004-05-24,144796259000
2004-05-25,145021150000
2004-05-26,144977730000
2004-05-27,145161164000
2004-05-28,145688540000
2004-05-31,145991532000
2004-06-01,146719165000
2004-06-02,147051529000
2004-06-03,147333705000
2004-06-04,148276641000
2004-06-07,148522913000
2004-06-08,148153740000
2004-06-09,148436090000
2004-06-11,147951710000
2004-06-14,147686228000
2004-06-15,147810568000
2004-06-16,147601633000
2004-06-17,147402822000
2004-06-18,147483454000
2004-06-21,147330120000
2004-06-22,147154844000
2004-06-23,146874702000
2004-06-24,146865177000
2004-06-25,147153022000
2004-06-28,147056133000
2004-06-29,147195713000
2004-06-30,147929832000
2004-07-01,148848071000
2004-07-02,149362133000
2004-07-05,149673294000
2004-07-06,150173382000
2004-07-07,150423750000
2004-07-08,150204915000
2004-07-09,150467703000
2004-07-12,150283167000
2004-07-13,149976120000
2004-07-14,149975486000
2004-07-15,150266704000
2004-07-16,150284131000
2004-07-19,149903368000
2004-07-20,149978222000
2004-07-21,149800106000
2004-07-22,149631806000
2004-07-23,149682868000
2004-07-26,149464580000
2004-07-27,149304289000
2004-07-28,149129906000
2004-07-29,149303920000
2004-07-30,150068109000
2004-08-02,150662965000
2004-08-03,150817593000
2004-08-04,150743180000
2004-08-05,151250597000
2004-08-06,152085657000
2004-08-09,151676743000
2004-08-10,151755060000
2004-08-11,151244944000
2004-08-12,151076632000
2004-08-13,151506338000
2004-08-16,151184494000
2004-08-17,150836336000
2004-08-18,150479240000
2004-08-19,150321180000
2004-08-20,150466959000
2004-08-23,150283873000
2004-08-24,150006113000
2004-08-25,150285251000
2004-08-26,150274841000
2004-08-27,150338607000
2004-08-30,150373793000
2004-08-31,150803040000
2004-09-01,151340966000
2004-09-02,151716453000
2004-09-03,152354937000
2004-09-06,152597380000
2004-09-08,152605343000
2004-09-09,152180535000
2004-09-10,152522040000
2004-09-13,151959989000
2004-09-14,151684108000
2004-09-15,151862938000
2004-09-16,151632292000
2004-09-17,151436084000
2004-09-20,151379534000
2004-09-21,151113382000
2004-09-22,150825109000
2004-09-23,150730190000
2004-09-24,150857808000
2004-09-27,150784969000
2004-09-28,150582134000
2004-09-29,150632473000
2004-09-30,151423624000
2004-10-01,152167101000
2004-10-04,152321459000
2004-10-05,152429855000
2004-10-06,153147763000
2004-10-07,153225193000
2004-10-08,153447007000
2004-10-11,152682642000
2004-10-13,152225198000
2004-10-14,152036574000
2004-10-15,152224313000
2004-10-18,151855861000
2004-10-19,151551470000
2004-10-20,151641883000
2004-10-21,151518010000
2004-10-22,151392991000
2004-10-25,151394326000
2004-10-26,151204693000
2004-10-27,151282434000
2004-10-28,151458482000
2004-10-29,152250956000
2004-11-01,152829088000
2004-11-03,152860400000
2004-11-04,152770746000
2004-11-05,153777640000
2004-11-08,153931175000
2004-11-09,153451452000
2004-11-10,153588927000
2004-11-11,153205024000
2004-11-12,153499389000
2004-11-16,153129340000
2004-11-17,152661418000
2004-11-18,152259433000
2004-11-19,152576238000
2004-11-22,152460916000
2004-11-23,152151364000
2004-11-24,151918924000
2004-11-25,152318236000
2004-11-26,152584119000
2004-11-29,152484081000
2004-11-30,153771073000
2004-12-01,155067327000
2004-12-02,155795914000
2004-12-03,156560791000
2004-12-06,157273051000
2004-12-07,157693053000
2004-12-08,157321937000
2004-12-09,157048116000
2004-12-10,158021597000
2004-12-13,157445277000
2004-12-14,157096830000
2004-12-15,157471912000
2004-12-16,157554151000
2004-12-17,158833921000
2004-12-20,160350186000
2004-12-21,160026843000
2004-12-22,159657262000
2004-12-23,159510040000
2004-12-24,158979956000
2004-12-27,158565025000
2004-12-28,158329435000
2004-12-29,158062338000
2004-12-30,158699878000
2004-12-31,158266569000
2005-01-03,158792594000
2005-01-04,159567751000
2005-01-05,159735175000
2005-01-06,160067552000
2005-01-07,160990373000
2005-01-10,161042903000
2005-01-11,160469719000
2005-01-12,160119892000
2005-01-13,159945270000
2005-01-14,160155151000
2005-01-17,159686460000
2005-01-18,159131889000
2005-01-19,158816103000
2005-01-20,158885598000
2005-01-21,158762946000
2005-01-24,158442040000
2005-01-25,158312467000
2005-01-26,158109672000
2005-01-27,158164367000
2005-01-28,158594090000
2005-01-31,158766657000
2005-02-01,159574669000
2005-02-02,159988741000
2005-02-03,159812342000
2005-02-04,161159943000
2005-02-09,160551666000
2005-02-10,160402173000
2005-02-11,159775312000
2005-02-14,159176466000
2005-02-15,159173351000
2005-02-16,158707327000
2005-02-17,158306001000
2005-02-18,158348417000
2005-02-21,158024151000
2005-02-22,157903289000
2005-02-23,157474986000
2005-02-24,157525457000
2005-02-25,158498558000
2005-02-28,158881457000
2005-03-01,159759620000
2005-03-02,159682106000
2005-03-03,159657260000
2005-03-04,160700879000
2005-03-07,160746987000
2005-03-08,160239483000
2005-03-09,159796579000
2005-03-10,160050911000
2005-03-11,159604204000
2005-03-14,159233725000
2005-03-15,159159055000
2005-03-16,158888698000
2005-03-17,158650506000
2005-03-18,158541656000
2005-03-21,158280647000
2005-03-22,157942986000
2005-03-23,157731219000
2005-03-24,158038885000
2005-03-28,157540083000
2005-03-29,157249957000
2005-03-30,157554625000
2005-03-31,158187734000
2005-04-01,159738940000
2005-04-04,159906850000
2005-04-05,160002528000
2005-04-06,160689683000
2005-04-07,160898982000
2005-04-08,160997525000
2005-04-11,160342728000
2005-04-12,159896047000
2005-04-13,159427276000
2005-04-14,159214534000
2005-04-15,159334420000
2005-04-18,159040196000
2005-04-19,158603940000
2005-04-20,158592528000
2005-04-22,158253014000
2005-04-25,157973856000
2005-04-26,157687253000
2005-04-27,157668208000
2005-04-28,157867078000
2005-04-29,158563187000
2005-05-02,159229754000
2005-05-03,159156131000
2005-05-04,159004517000
2005-05-05,159406754000
2005-05-06,160381868000
2005-05-09,159831954000
2005-05-10,159872700000
2005-05-11,159328759000
2005-05-12,159042001000
2005-05-13,159206999000
2005-05-16,158803105000
2005-05-17,158356910000
2005-05-18,157961651000
2005-05-19,157726738000
2005-05-20,157998256000
2005-05-23,157687478000
2005-05-24,157541848000
2005-05-25,157595435000
2005-05-27,157622533000
2005-05-30,157650241000
2005-05-31,158138202000
2005-06-01,158900632000
2005-06-02,159156722000
2005-06-03,159691207000
2005-06-06,160191017000
2005-06-07,160366181000
2005-06-08,159879312000
2005-06-09,159527684000
2005-06-10,159925787000
2005-06-13,159300845000
2005-06-14,159056986000
2005-06-15,159162110000
2005-06-16,158954426000
2005-06-17,158733177000
2005-06-20,158695598000
2005-06-21,158495627000
2005-06-22,158174431000
2005-06-23,158087512000
2005-06-24,158240452000
2005-06-27,158068466000
2005-06-28,157853561000
2005-06-29,158134579000
2005-06-30,159040636000
2005-07-01,160228814000
2005-07-04,160463132000
2005-07-05,160763047000
2005-07-06,161524539000
2005-07-07,161825320000
2005-07-08,162134327000
2005-07-11,161605741000
2005-07-12,161256326000
2005-07-13,160783134000
2005-07-14,160729261000
2005-07-15,160971746000
2005-07-18,160659294000
2005-07-19,160265139000
2005-07-20,160285928000
2005-07-21,160142040000
2005-07-22,159953057000
2005-07-25,160142141000
2005-07-26,159856667000
2005-07-27,159850547000
2005-07-28,160138418000
2005-07-29,160875086000
2005-08-01,161615900000
2005-08-02,161854351000
2005-08-03,161834360000
2005-08-04,161962636000
2005-08-05,163312091000
2005-08-08,162871395000
2005-08-09,162308845000
2005-08-10,162517795000
2005-08-11,161988997000
2005-08-12,161840624000
2005-08-15,161805029000
2005-08-16,161430004000
2005-08-17,161010599000
2005-08-18,160769749000
2005-08-19,160862696000
2005-08-22,160659356000
2005-08-23,160321755000
2005-08-24,159991407000
2005-08-25,160143837000
2005-08-26,160174956000
2005-08-29,159892937000
2005-08-30,160228397000
2005-08-31,160807242000
2005-09-01,161665309000
2005-09-02,162045963000
2005-09-05,162218022000
2005-09-06,163180321000
2005-09-08,162971003000
2005-09-09,163106218000
2005-09-12,162318766000
2005-09-13,161860598000
2005-09-14,161714480000
2005-09-15,161937153000
2005-09-16,161787590000
2005-09-19,161306558000
2005-09-20,161386454000
2005-09-21,161169797000
2005-09-22,160965125000
2005-09-23,160950834000
2005-09-26,160688061000
2005-09-27,160479595000
2005-09-28,160246968000
2005-09-29,160509823000
2005-09-30,161297743000
2005-10-03,162064310000
2005-10-04,162180611000
2005-10-05,162474946000
2005-10-06,163159205000
2005-10-07,163525436000
2005-10-10,163387138000
2005-10-11,162710769000
2005-10-13,162256852000
2005-10-14,162485605000
2005-10-17,161978336000
2005-10-18,161631200000
2005-10-19,161327286000
2005-10-20,161460857000
2005-10-21,161355231000
2005-10-24,160935191000
2005-10-25,160921225000
2005-10-26,160856572000
2005-10-27,161405806000
2005-10-28,161927201000
2005-10-31,161881745000
2005-11-01,162757391000
2005-11-03,163004062000
2005-11-04,163323566000
2005-11-07,163635873000
2005-11-08,163755959000
2005-11-09,163229751000
2005-11-10,163411580000
2005-11-11,163068720000
2005-11-14,162907450000
2005-11-16,162488036000
2005-11-17,162025009000
2005-11-18,161984733000
2005-11-21,161885787000
2005-11-22,161575772000
2005-11-23,161305641000
2005-11-24,161146058000
2005-11-25,161592333000
2005-11-28,161443578000
2005-11-29,161595701000
2005-11-30,163311706000
2005-12-01,164958272000
2005-12-02,165725620000
2005-12-05,166061024000
2005-12-06,167027336000
2005-12-07,167585644000
2005-12-08,167314771000
2005-12-09,168012418000
2005-12-12,167293544000
2005-12-13,166789747000
2005-12-14,166635190000
2005-12-15,168309118000
2005-12-16,168416160000
2005-12-19,167978322000
2005-12-20,169677651000
2005-12-21,169582618000
2005-12-22,169432084000
2005-12-23,169336824000
2005-12-26,168522076000
2005-12-27,168099228000
2005-12-28,167877603000
2005-12-29,169226871000
2005-12-30,168734415000
2006-01-02,169238558000
2006-01-03,169834411000
2006-01-04,169740648000
2006-01-05,170392203000
2006-01-06,171418834000
2006-01-09,170866205000
2006-01-10,171034630000
2006-01-11,170438162000
2006-01-12,170060899000
2006-01-13,170160845000
2006-01-16,169494535000
2006-01-17,168923540000
2006-01-18,168392863000
2006-01-19,168130462000
2006-01-20,168274750000
2006-01-23,167788716000
2006-01-24,167543209000
2006-01-25,167436576000
2006-01-26,167186657000
2006-01-27,167522016000
2006-01-30,167442481000
2006-01-31,167991428000
2006-02-01,168811794000
2006-02-02,169079840000
2006-02-03,169484782000
2006-02-06,169789140000
2006-02-07,169898847000
2006-02-08,169227894000
2006-02-09,168824122000
2006-02-10,169237569000
2006-02-13,168411081000
2006-02-14,167909734000
2006-02-15,167995098000
2006-02-16,167683221000
2006-02-17,167311263000
2006-02-20,167087962000
2006-02-21,166862368000
2006-02-22,167025676000
2006-02-23,167281595000
2006-02-24,169199550000
2006-03-01,169651321000
2006-03-02,169199041000
2006-03-03,169297908000
2006-03-06,169500274000
2006-03-07,169693296000
2006-03-08,169136884000
2006-03-09,168729035000
2006-03-10,169039043000
2006-03-13,168255985000
2006-03-14,167733003000
2006-03-15,167641150000
2006-03-16,167399401000
2006-03-17,167070791000
2006-03-20,166875363000
2006-03-21,166533734000
2006-03-22,166117402000
2006-03-23,165883200000
2006-03-24,165866084000
2006-03-27,165557304000
2006-03-28,165224839000
2006-03-29,165196963000
2006-03-30,165592698000
2006-03-31,166456478000
2006-04-03,167063142000
2006-04-04,167453639000
2006-04-05,167376584000
2006-04-06,168083318000
2006-04-07,168397195000
2006-04-10,168209908000
2006-04-11,167506432000
2006-04-12,167093160000
2006-04-13,167304240000
2006-04-17,166614012000
2006-04-18,166090291000
2006-04-19,165686164000
2006-04-20,165707800000
2006-04-24,165121353000
2006-04-25,164998699000
2006-04-26,164853746000
2006-04-27,165068184000
2006-04-28,165894393000
2006-05-02,166524192000
2006-05-03,166680229000
2006-05-04,166383089000
2006-05-05,167604339000
2006-05-08,167787727000
2006-05-09,167142106000
2006-05-10,167264248000
2006-05-11,166757428000
2006-05-12,166504778000
2006-05-15,166354252000
2006-05-16,165859814000
2006-05-17,165408633000
2006-05-18,165095054000
2006-05-19,165262948000
2006-05-22,165027209000
2006-05-23,164661323000
2006-05-24,164431526000
2006-05-25,164549514000
2006-05-26,164658895000
2006-05-29,164359099000
2006-05-30,164485321000
2006-05-31,165255818000
2006-06-01,166168893000
2006-06-02,166674298000
2006-06-05,166892663000
2006-06-06,167583677000
2006-06-07,168134794000
2006-06-08,167628652000
2006-06-09,167823309000
2006-06-12,167156115000
2006-06-13,166758956000
2006-06-14,167065146000
2006-06-16,166794548000
2006-06-19,166246709000
2006-06-20,166189920000
2006-06-21,165981201000
2006-06-22,165763684000
2006-06-23,165866440000
2006-06-26,165636895000
2006-06-27,165546553000
2006-06-28,165348453000
2006-06-29,165620982000
2006-06-30,166770794000
2006-07-03,167820163000
2006-07-04,168534343000
2006-07-05,168725808000
2006-07-06,169708725000
2006-07-07,170527377000
2006-07-10,170446476000
2006-07-11,170352404000
2006-07-12,169835198000
2006-07-13,169585439000
2006-07-14,170219348000
2006-07-17,169689665000
2006-07-18,169181878000
2006-07-19,168878524000
2006-07-20,169077031000
2006-07-21,168948262000
2006-07-24,168498434000
2006-07-25,168446294000
2006-07-26,168231917000
2006-07-27,168436099000
2006-07-28,169082024000
2006-07-31,169373482000
2006-08-01,170516469000
2006-08-02,170807271000
2006-08-03,170972878000
2006-08-04,172208442000
2006-08-07,172828589000
2006-08-08,172156427000
2006-08-09,171555654000
2006-08-10,171716214000
2006-08-11,171293737000
2006-08-14,170808576000
2006-08-15,171064990000
2006-08-16,170691854000
2006-08-17,170304490000
2006-08-18,170363847000
2006-08-21,170175795000
2006-08-22,169786847000
2006-08-23,169439469000
2006-08-24,169391829000
2006-08-25,169768925000
2006-08-28,169341734000
2006-08-29,169143263000
2006-08-30,169350851000
2006-08-31,170215230000
2006-09-01,171720612000
2006-09-04,172231117000
2006-09-05,172562255000
2006-09-06,174568255000
2006-09-08,174903872000
2006-09-11,174001088000
2006-09-12,173361654000
2006-09-13,172913716000
2006-09-14,172868887000
2006-09-15,173317889000
2006-09-18,172940238000
2006-09-19,172491149000
2006-09-20,172610200000
2006-09-21,172499743000
2006-09-22,172281685000
2006-09-25,172174870000
2006-09-26,171931880000
2006-09-27,171994231000
2006-09-28,172264882000
2006-09-29,173375086000
2006-10-02,174435169000
2006-10-03,174890063000
2006-10-04,174664681000
2006-10-05,175233134000
2006-10-06,177012174000
2006-10-09,176199159000
2006-10-10,176099415000
2006-10-11,175634000000
2006-10-13,175628248000
2006-10-16,175123035000
2006-10-17,174670618000
2006-10-18,174235873000
2006-10-19,174092476000
2006-10-20,174429620000
2006-10-23,174137850000
2006-10-24,174031653000
2006-10-25,174078798000
2006-10-26,174124312000
2006-10-27,174840687000
2006-10-30,174960189000
2006-10-31,175693571000
2006-11-01,176888658000
2006-11-03,177283011000
2006-11-06,177242143000
2006-11-07,178099118000
2006-11-08,178897439000
2006-11-09,178278412000
2006-11-10,178466627000
2006-11-13,177951373000
2006-11-14,178259311000
2006-11-16,177851267000
2006-11-17,177760781000
2006-11-20,177657645000
2006-11-21,177393219000
2006-11-22,177233075000
2006-11-23,176820473000
2006-11-24,177215240000
2006-11-27,177243282000
2006-11-28,177184932000
2006-11-29,177304168000
2006-11-30,179419947000
2006-12-01,181278677000
2006-12-04,181530480000
2006-12-05,181984775000
2006-12-06,183505331000
2006-12-07,185232011000
2006-12-08,185438862000
2006-12-11,184342878000
2006-12-12,183960271000
2006-12-13,183476494000
2006-12-14,183777715000
2006-12-15,185479134000
2006-12-18,185222181000
2006-12-19,184973341000
2006-12-20,187818988000
2006-12-21,187929085000
2006-12-22,188840545000
2006-12-26,187480943000
2006-12-27,187168604000
2006-12-28,188546920000
2006-12-29,187935738000
2007-01-02,187683363000
2007-01-03,189303621000
2007-01-04,189499185000
2007-01-05,191025883000
2007-01-08,191903743000
2007-01-09,191152155000
2007-01-10,191179669000
2007-01-11,190834509000
2007-01-12,190505876000
2007-01-15,190214722000
2007-01-16,189866787000
2007-01-17,189179880000
2007-01-18,188837504000
2007-01-19,189068786000
2007-01-22,188862766000
2007-01-23,188530916000
2007-01-24,188282356000
2007-01-25,188315151000
2007-01-26,188347420000
2007-01-29,188167921000
2007-01-30,188562199000
2007-01-31,189264625000
2007-02-01,190759869000
2007-02-02,190942991000
2007-02-05,191485191000
2007-02-06,192482676000
2007-02-07,192975443000
2007-02-08,192324913000
2007-02-09,192551371000
2007-02-12,191566502000
2007-02-13,191230758000
2007-02-14,190590423000
2007-02-15,191049818000
2007-02-16,191625602000
2007-02-21,190855675000
2007-02-22,190215190000
2007-02-23,190464557000
2007-02-26,190142164000
2007-02-27,190691009000
2007-02-28,191682698000
2007-03-01,193263663000
2007-03-02,193389997000
2007-03-05,193905719000
2007-03-06,194943563000
2007-03-07,195648960000
2007-03-08,194806399000
2007-03-09,194992075000
2007-03-12,194349548000
2007-03-13,193974101000
2007-03-14,193458536000
2007-03-15,193746504000
2007-03-16,193748882000
2007-03-19,193010085000
2007-03-20,193201061000
2007-03-21,192949803000
2007-03-22,192613684000
2007-03-23,192720646000
2007-03-26,192607031000
2007-03-27,192678559000
2007-03-28,192609629000
2007-03-29,193075909000
2007-03-30,194269995000
2007-04-02,195573324000
2007-04-03,195857957000
2007-04-04,196019324000
2007-04-05,197919371000
2007-04-09,198000495000
2007-04-10,197953273000
2007-04-11,197261375000
2007-04-12,196990506000
2007-04-13,197253681000
2007-04-16,196990310000
2007-04-17,196692798000
2007-04-18,196194024000
2007-04-19,196099410000
2007-04-20,196364419000
2007-04-23,196472637000
2007-04-24,196131904000
2007-04-25,196163079000
2007-04-26,196219319000
2007-04-27,197488456000
2007-04-30,197504252000
2007-05-02,198882404000
2007-05-03,199004363000
2007-05-04,199677337000
2007-05-07,200495347000
2007-05-08,201518951000
2007-05-09,200637531000
2007-05-10,200754801000
2007-05-11,200476610000
2007-05-14,199786197000
2007-05-15,200069316000
2007-05-16,199812515000
2007-05-17,199350645000
2007-05-18,199495936000
2007-05-21,199493920000
2007-05-22,199308331000
2007-05-23,198744517000
2007-05-24,198602222000
2007-05-25,198709995000
2007-05-28,198686778000
2007-05-29,198670674000
2007-05-30,199031367000
2007-05-31,200020111000
2007-06-01,201453271000
2007-06-04,201888243000
2007-06-05,202290314000
2007-06-06,203995531000
2007-06-08,204750999000
2007-06-11,203517581000
2007-06-12,203001087000
2007-06-13,202321007000
2007-06-14,202162945000
2007-06-15,202599000000
2007-06-18,202501206000
2007-06-19,202073879000
2007-06-20,202077916000
2007-06-21,202163407000
2007-06-22,201769248000
2007-06-25,201660639000
2007-06-26,201615439000
2007-06-27,201997000000
2007-06-28,202375570000
2007-06-29,203626012000
2007-07-02,205278652000
2007-07-03,205666876000
2007-07-04,205671186000
2007-07-05,206497504000
2007-07-06,208615515000
2007-07-09,208375510000
2007-07-10,208904518000
2007-07-11,208526306000
2007-07-12,207820133000
2007-07-13,208292707000
2007-07-16,207957523000
2007-07-17,207669289000
2007-07-18,207312789000
2007-07-19,207075146000
2007-07-20,207406087000
2007-07-23,207287755000
2007-07-24,206951375000
2007-07-25,206679906000
2007-07-26,206867861000
2007-07-27,207381828000
2007-07-30,207792018000
2007-07-31,208298749000
2007-08-01,209610097000
2007-08-02,209637567000
2007-08-03,210353937000
2007-08-06,211243753000
2007-08-07,212483619000
2007-08-08,211475789000
2007-08-09,210956921000
2007-08-10,211476157000
2007-08-13,211587127000
2007-08-14,210831507000
2007-08-15,211055653000
2007-08-16,211155011000
2007-08-17,211948847000
2007-08-20,211140991000
2007-08-21,211257830000
2007-08-22,210760176000
2007-08-23,210707495000
2007-08-24,210939262000
2007-08-27,210998701000
2007-08-28,210926644000
2007-08-29,210908547000
2007-08-30,211903373000
2007-08-31,212762291000
2007-09-03,214228703000
2007-09-04,214966338000
2007-09-05,215460918000
2007-09-06,218295343000
2007-09-10,218235374000
2007-09-11,217795301000
2007-09-12,216797384000
2007-09-13,216510845000
2007-09-14,217065403000
2007-09-17,216799423000
2007-09-18,216595745000
2007-09-19,216126572000
2007-09-20,216480220000
2007-09-21,216675082000
2007-09-24,216247187000
2007-09-25,216456869000
2007-09-26,216569743000
2007-09-27,217023118000
2007-09-28,218133118000
2007-10-01,219462433000
2007-10-02,219702971000
2007-10-03,219276846000
2007-10-04,219938636000
2007-10-05,222537149000
2007-10-08,221841819000
2007-10-09,220860972000
2007-10-10,220893214000
2007-10-11,221244335000
2007-10-15,220916559000
2007-10-16,220570955000
2007-10-17,219608107000
2007-10-18,219424294000
2007-10-19,219719962000
2007-10-22,219556264000
2007-10-23,219326431000
2007-10-24,218856644000
2007-10-25,219020159000
2007-10-26,219897109000
2007-10-29,219643940000
2007-10-30,220367512000
2007-10-31,221096002000
2007-11-01,223006410000
2007-11-05,223051557000
2007-11-06,223040893000
2007-11-07,223557106000
2007-11-08,224092412000
2007-11-09,224099822000
2007-11-12,223224001000
2007-11-13,223025318000
2007-11-14,223547908000
2007-11-16,223249683000
2007-11-19,222791818000
2007-11-20,222736572000
2007-11-21,222480759000
2007-11-22,222414313000
2007-11-23,222416851000
2007-11-26,222098479000
2007-11-27,222241640000
2007-11-28,222130957000
2007-11-29,222690156000
2007-11-30,224957730000
2007-12-03,228570918000
2007-12-04,228024149000
2007-12-05,228398115000
2007-12-06,230119266000
2007-12-07,230368780000
2007-12-10,230515577000
2007-12-11,230210029000
2007-12-12,229166531000
2007-12-13,229177619000
2007-12-14,231888398000
2007-12-17,231425523000
2007-12-18,231401112000
2007-12-19,231342370000
2007-12-20,234831365000
2007-12-21,235829360000
2007-12-24,234213663000
2007-12-26,233517449000
2007-12-27,234595255000
2007-12-28,235773530000
2007-12-31,235261646000
2008-01-02,235171534000
2008-01-03,237254924000
2008-01-04,237355590000
2008-01-07,238065376000
2008-01-08,238413029000
2008-01-09,237594624000
2008-01-10,237834507000
2008-01-11,237703749000
2008-01-14,236516093000
2008-01-15,236618332000
2008-01-16,236240442000
2008-01-17,235653765000
2008-01-18,235704738000
2008-01-21,235619104000
2008-01-22,235582248000
2008-01-23,235025055000
2008-01-24,235070602000
2008-01-25,235549035000
2008-01-28,235526245000
2008-01-29,236680985000
2008-01-30,236547596000
2008-01-31,237659370000
2008-02-01,240882613000
2008-02-06,240144919000
2008-02-07,240152646000
2008-02-08,240267651000
2008-02-11,239398172000
2008-02-12,239307586000
2008-02-13,238528832000
2008-02-14,238251018000
2008-02-15,238952504000
2008-02-18,238589534000
2008-02-19,238270229000
2008-02-20,238203032000
2008-02-21,238430330000
2008-02-22,238508679000
2008-02-25,238331739000
2008-02-26,238101659000
2008-02-27,238288181000
2008-02-28,238994893000
2008-02-29,240279407000
2008-03-03,242006186000
2008-03-04,242019257000
2008-03-05,242065255000
2008-03-06,243203043000
2008-03-07,243318916000
2008-03-10,243083281000
2008-03-11,242414917000
2008-03-12,242077741000
2008-03-13,241390895000
2008-03-14,241993542000
2008-03-17,241540508000
2008-03-18,241568477000
2008-03-19,241403232000
2008-03-20,241963035000
2008-03-24,241401484000
2008-03-25,241317746000
2008-03-26,240863807000
2008-03-27,241178470000
2008-03-28,242506433000
2008-03-31,242590557000
2008-04-01,244982666000
2008-04-02,245124930000
2008-04-03,244979082000
2008-04-04,246649461000
2008-04-07,246550807000
2008-04-08,246292366000
2008-04-09,245537357000
2008-04-10,245749406000
2008-04-11,245610078000
2008-04-14,244820505000
2008-04-15,245136521000
2008-04-16,244711205000
2008-04-17,244285561000
2008-04-18,244298385000
2008-04-22,244142239000
2008-04-23,244025709000
2008-04-24,243808448000
2008-04-25,244116475000
2008-04-28,243971289000
2008-04-29,244445762000
2008-04-30,242040240000
2008-05-02,243284703000
2008-05-05,243473723000
2008-05-06,243146089000
2008-05-07,244407397000
2008-05-08,244409121000
2008-05-09,244808724000
2008-05-12,243829290000
2008-05-13,243520119000
2008-05-14,243517746000
2008-05-15,244043453000
2008-05-16,243549179000
2008-05-19,243169866000
2008-05-20,243111502000
2008-05-21,243162274000
2008-05-23,243246292000
2008-05-26,242742141000
2008-05-27,242977052000
2008-05-28,242873576000
2008-05-29,243356157000
2008-05-30,244396695000
2008-06-02,245206199000
2008-06-03,245111120000
2008-06-04,245486820000
2008-06-05,246022967000
