date,Brazil
2000-01-01,7305602.38374754
2000-02-01,8297656.13428257
2000-03-01,7287234.64675605
2000-04-01,7470508.49143069
2000-05-01,7412863.98734107
2000-06-01,7906542.72531265
2000-07-01,7278655.18992676
2000-08-01,7482681.2690661
2000-09-01,7368416.06040809
2000-10-01,7250730.79722948
2000-11-01,7585215.08418888
2000-12-01,7270078.261762
2001-01-01,7514456.75520063
2001-02-01,7336451.66256066
2001-03-01,7574596.20580352
2001-04-01,7415103.75595577
2001-05-01,7512541.08495989
2001-06-01,7792107.24016012
2001-07-01,7449115.8703038
2001-08-01,7649527.40526774
2001-09-01,7329904.28844989
2001-10-01,7503739.88651799
2001-11-01,7447427.14693606
2001-12-01,7062891.00856841
2002-01-01,7559388.58833692
2002-02-01,7475785.57561803
2002-03-01,7372345.97783859
2002-04-01,7507740.608737
2002-05-01,7402807.87030131
2002-06-01,7209315.04438464
2002-07-01,7338275.15781904
2002-08-01,7213308.46040452
2002-09-01,7330260.51891529
2002-10-01,7776449.33207274
2002-11-01,7172671.02057701
2002-12-01,7114882.63943188
2003-01-01,7060586.82375417
2003-02-01,7079320.10301234
2003-03-01,6296586.5122709
2003-04-01,6817963.78807706
2003-05-01,7020997.76286335
2003-06-01,6777266.99530755
2003-07-01,7157939.37750365
2003-08-01,6817066.58848562
2003-09-01,7089277.9243035
2003-10-01,7298103.11298095
2003-11-01,6978309.73461596
2003-12-01,7302227.23968339
2004-01-01,7177115.8368884
2004-02-01,7151164.10227731
2004-03-01,7409583.72968588
2004-04-01,7599295.40790777
2004-05-01,7048285.52093561
2004-06-01,7375795.25532804
2004-07-01,7555427.84347654
2004-08-01,7400786.95922169
2004-09-01,7483937.0517196
2004-10-01,7185497.82270494
2004-11-01,7463401.04506288
2004-12-01,7531008.68944723
2005-01-01,7132048.69487641
2005-02-01,7393627.78534456
2005-03-01,7400752.22849569
2005-04-01,7492932.13300758
2005-05-01,7309592.11361044
2005-06-01,7610395.21870491
2005-07-01,7346558.14873801
2005-08-01,7664010.26664226
2005-09-01,7439021.9057051
2005-10-01,6999164.26222379
2005-11-01,7496339.71046038
2005-12-01,7523404.46246185
2006-01-01,7500987.09412234
2006-02-01,7524009.84067691
2006-03-01,7496471.91832165
2006-04-01,7310047.99311937
2006-05-01,7624163.68577765
2006-06-01,7520210.05817419
2006-07-01,7412524.42599774
2006-08-01,7661434.36294744
2006-09-01,7599750.24512804
2006-10-01,7539546.03115412
2006-11-01,7815835.01378228
2006-12-01,7657256.02300341
2007-01-01,7958092.59546129
2007-02-01,7879295.30242146
2007-03-01,8075041.60116573
2007-04-01,7860500.99180368
2007-05-01,8105834.41806529
2007-06-01,8125362.76873592
2007-07-01,8060548.0158111
