date,Brazil
2000-01-01,325212.059977532
2000-02-01,406655.7838662
2000-03-01,344791.243324877
2000-04-01,330771.463859715
2000-05-01,350673.252392703
2000-06-01,363850.848890019
2000-07-01,348140.464147661
2000-08-01,368948.614634935
2000-09-01,350427.810392399
2000-10-01,353503.434402674
2000-11-01,365376.109920668
2000-12-01,361602.144602703
2001-01-01,373577.243630029
2001-02-01,359658.538591598
2001-03-01,410978.093027104
2001-04-01,400223.562419864
2001-05-01,421793.79060479
2001-06-01,400505.467626215
2001-07-01,405582.847152122
2001-08-01,409457.141757226
2001-09-01,375966.762723702
2001-10-01,420437.619177374
2001-11-01,395943.602840009
2001-12-01,390441.561070586
2002-01-01,422527.094128534
2002-02-01,405805.896983796
2002-03-01,370980.902615916
2002-04-01,445011.670815401
2002-05-01,391209.343905544
2002-06-01,381810.057307635
2002-07-01,407390.232113378
2002-08-01,406661.479178243
2002-09-01,414667.172696259
2002-10-01,436460.554905926
2002-11-01,397457.870803739
2002-12-01,408331.552122742
2003-01-01,414298.002995332
2003-02-01,474924.361498965
2003-03-01,380309.566675789
2003-04-01,430862.895175636
2003-05-01,415090.69873661
2003-06-01,420980.556202446
2003-07-01,433021.924715559
2003-08-01,405953.703554358
2003-09-01,444094.55654557
2003-10-01,405327.954955818
2003-11-01,431143.061155399
2003-12-01,419102.710607918
2004-01-01,392513.891722219
2004-02-01,409942.437443889
2004-03-01,440811.50234085
2004-04-01,414373.005466318
2004-05-01,375178.471312231
2004-06-01,427553.65355125
2004-07-01,412298.389545421
2004-08-01,405952.521537425
2004-09-01,316291.501384766
2004-10-01,381343.490087298
2004-11-01,449703.258260915
2004-12-01,463026.316754891
2005-01-01,440122.786307621
2005-02-01,458292.077695822
2005-03-01,459860.414565058
2005-04-01,457176.207006395
2005-05-01,443735.89216145
2005-06-01,468422.511266039
2005-07-01,445718.565657691
2005-08-01,475917.147100502
2005-09-01,460721.533492296
2005-10-01,436430.74762047
2005-11-01,478055.253886079
2005-12-01,478917.073489354
2006-01-01,479624.484692047
2006-02-01,473051.55847567
2006-03-01,491294.108255105
2006-04-01,455930.547038308
2006-05-01,498740.830968692
2006-06-01,480622.007880528
2006-07-01,486363.909825112
2006-08-01,512245.156823587
2006-09-01,479098.597743816
2006-10-01,526433.017094758
2006-11-01,493812.034985139
2006-12-01,493221.678002078
2007-01-01,504961.273354551
2007-02-01,494793.09953929
2007-03-01,505071.684193769
2007-04-01,509736.412238216
2007-05-01,548432.232989535
2007-06-01,509719.257443794
2007-07-01,523036.687431237
2007-08-01,545633.163010176
2007-09-01,528090.769182479
2007-10-01,616545.27460307
2007-11-01,519236.969312244
2007-12-01,505037.043770658
2008-01-01,563015.435900468
2008-02-01,572101.651907609
2008-03-01,495352.146767945
2008-04-01,583406.448037568
2008-05-01,543999.287747351
2008-06-01,569003.392839806
2008-07-01,591026.219063445
2008-08-01,547010.098383627
2008-09-01,618567.471662266
2008-10-01,581044.42249917
2008-11-01,652001.650437976
2008-12-01,659677.291658061
2009-01-01,677429.535880014
2009-02-01,651870.243482672
2009-03-01,679347.653965169
2009-04-01,673878.013902249
2009-05-01,625595.168495294
2009-06-01,659254.405835555
2009-07-01,653156.612744321
2009-08-01,587543.642618352
2009-09-01,595390.991610795
2009-10-01,570731.169592647
2009-11-01,579817.725810982
2009-12-01,601277.895478789
2010-01-01,609611.422202025
2010-02-01,587115.038675748
2010-03-01,648714.046847094
2010-04-01,595928.247550113
2010-05-01,597934.415054495
2010-06-01,614408.917290048
2010-07-01,627799.982537877
2010-08-01,637101.533876929
2010-09-01,659691.283776294
2010-10-01,652636.907586295
2010-11-01,663274.432253811
2010-12-01,692720.558613905
2011-01-01,617802.601006682
2011-02-01,708549.217715291
2011-03-01,639393.463761873
2011-04-01,649351.157293891
2011-05-01,710314.18481811
2011-06-01,694170.111302432
2011-07-01,642627.408561825
