date,Brazil
1993-07-01,2193
1993-08-01,2216
1993-09-01,2142
1993-10-01,2186
1993-11-01,2130
1993-12-01,2028
1994-01-01,2134
1994-02-01,1963
1994-03-01,2171
1994-04-01,2125
1994-05-01,2252
1994-06-01,2220
1994-07-01,2241
1994-08-01,2095
1994-09-01,2000
1994-10-01,2159
1994-11-01,2119
1994-12-01,2219
1995-01-01,2142
1995-02-01,1928
1995-03-01,2201
1995-04-01,1929
1995-05-01,2080
1995-06-01,1993
1995-07-01,2229
1995-08-01,2297
1995-09-01,2080
1995-10-01,2157
1995-11-01,2016
1995-12-01,2024
1996-01-01,2050
1996-02-01,1959
1996-03-01,2041
1996-04-01,1888
1996-05-01,1951
1996-06-01,2062
1996-07-01,2241
1996-08-01,2247
1996-09-01,2182
1996-10-01,2241
1996-11-01,2195
1996-12-01,2182
1997-01-01,2050
1997-02-01,2014
1997-03-01,2218
1997-04-01,2192
1997-05-01,2241
1997-06-01,2262
1997-07-01,2252
1997-08-01,2268
1997-09-01,2227
1997-10-01,2141
1997-11-01,2088
1997-12-01,2200
1998-01-01,2157
1998-02-01,1991
1998-03-01,2159
1998-04-01,2139
1998-05-01,2259
1998-06-01,2181
1998-07-01,2378
1998-08-01,2349
1998-09-01,2125
1998-10-01,2131
1998-11-01,1995
1998-12-01,1897
1999-01-01,2057
1999-02-01,1889
1999-03-01,2131
1999-04-01,2122
1999-05-01,2183
1999-06-01,2048
1999-07-01,2038
1999-08-01,2139
1999-09-01,2089
1999-10-01,2037
1999-11-01,2144
1999-12-01,2122
2000-01-01,2084
2000-02-01,2156
2000-03-01,2374
2000-04-01,2222
2000-05-01,2464
2000-06-01,2300
2000-07-01,2315
2000-08-01,2450
2000-09-01,2380
2000-10-01,2398
2000-11-01,2325
2000-12-01,2398
2001-01-01,2394
2001-02-01,2241
2001-03-01,2474
2001-04-01,2315
2001-05-01,2282
2001-06-01,1773
2001-07-01,1882
2001-08-01,2194
2001-09-01,2299
2001-10-01,2279
2001-11-01,2223
2001-12-01,2362
2002-01-01,2382
2002-02-01,2260
2002-03-01,2409
2002-04-01,2215
2002-05-01,2450
2002-06-01,2420
2002-07-01,2498
2002-08-01,2580
2002-09-01,2579
2002-10-01,2645
2002-11-01,2576
2002-12-01,2589
2003-01-01,2541
2003-02-01,2356
2003-03-01,2641
2003-04-01,2522
2003-05-01,2672
2003-06-01,2591
2003-07-01,2686
2003-08-01,2769
2003-09-01,2595
2003-10-01,2508
2003-11-01,2592
2003-12-01,2657
2004-01-01,2674
2004-02-01,2568
2004-03-01,2737
2004-04-01,2664
2004-05-01,2738
2004-06-01,2750
2004-07-01,2836
2004-08-01,2890
2004-09-01,2801
2004-10-01,2706
2004-11-01,2758
2004-12-01,2788
2005-01-01,2588
2005-02-01,2590
2005-03-01,2760
2005-04-01,2757
2005-05-01,2742
2005-06-01,2489
2005-07-01,2490
2005-08-01,2638
2005-09-01,2589
2005-10-01,2676
2005-11-01,2635
2005-12-01,2656
2006-01-01,2577
2006-02-01,2131
2006-03-01,2479
2006-04-01,2416
2006-05-01,2496
2006-06-01,2380
2006-07-01,2724
2006-08-01,2812
2006-09-01,2757
2006-10-01,2778
2006-11-01,2705
2006-12-01,2646
2007-01-01,2703
2007-02-01,2507
2007-03-01,2785
2007-04-01,2708
2007-05-01,2891
2007-06-01,2733
2007-07-01,2869
2007-08-01,2940
2007-09-01,2868
2007-10-01,2899
2007-11-01,2871
2007-12-01,3010
2008-01-01,2971
2008-02-01,2710
2008-03-01,2960
2008-04-01,2900
2008-05-01,2973
2008-06-01,2936
2008-07-01,3234
2008-08-01,3147
2008-09-01,3014
2008-10-01,2897
2008-11-01,2324
2008-12-01,1649
2009-01-01,1616
2009-02-01,1654
2009-03-01,1731
2009-04-01,1729
2009-05-01,1894
2009-06-01,1942
2009-07-01,2496
2009-08-01,2676
2009-09-01,2717
2009-10-01,2797
2009-11-01,2676
2009-12-01,2580
2010-01-01,2693
2010-02-01,2446
2010-03-01,2828
2010-04-01,2707
2010-05-01,2856
2010-06-01,2850
2010-07-01,2885
2010-08-01,2917
2010-09-01,2703
2010-10-01,2972
2010-11-01,2643
