date,Brazil
1952-01-01,0.0
1952-04-01,0.0
1952-07-01,0.0
1952-10-01,0.0
1953-01-01,0.0
1953-04-01,0.1647175
1953-07-01,0.1148325
1953-10-01,0.0715154
1954-01-01,0.0335492
1954-04-01,0.0
1954-07-01,0.148258
1954-10-01,0.1498801
1955-01-01,0.1257545
1955-04-01,0.5522828
1955-07-01,0.9587728
1955-10-01,0.5871301
1956-01-01,0.2792516
1956-04-01,0.123533
1956-07-01,0.4969561
1956-10-01,0.1218769
1957-01-01,0.0
1957-04-01,0.5007511
1957-07-01,0.1464129
1957-10-01,0.1409245
1958-01-01,0.0
1958-04-01,0.0
1958-07-01,0.0
1958-10-01,0.1299208
1959-01-01,0.1283038
1959-04-01,0.1239311
1959-07-01,0.0
1959-10-01,0.2532928
1960-01-01,0.1107542
1960-04-01,0.1131094
1960-07-01,0.0
1960-10-01,0.1279918
1961-01-01,0.0
1961-04-01,0.2696508
1961-07-01,0.1350804
1961-10-01,0.4526423
1962-01-01,0.5135447
1962-04-01,0.3371165
1962-07-01,0.1274697
1962-10-01,0.1239772
1963-01-01,0.1244555
1963-04-01,0.4093328
1963-07-01,0.1373438
1963-10-01,0.0
1964-01-01,0.4110715
1964-04-01,0.2373887
1964-07-01,0.1297017
1964-10-01,0.0
1965-01-01,0.1406668
1965-04-01,0.2773156
1965-07-01,0.2282584
1965-10-01,0.223314
1966-01-01,0.2212389
1966-04-01,0.2192021
1966-07-01,0.2172024
1966-10-01,0.3647638
1967-01-01,0.0826993
1967-04-01,0.0926355
1967-07-01,0.0
1967-10-01,0.0
1968-01-01,0.1150086
1968-04-01,0.0
1968-07-01,0.0
1968-10-01,0.0
1969-01-01,0.1157006
1969-04-01,0.0
1969-07-01,0.0
1969-10-01,0.2478622
1970-01-01,0.197648
1970-04-01,0.0
1970-07-01,0.0864603
1970-10-01,0.0
1971-01-01,0.0
1971-04-01,0.0
1971-07-01,0.0
1971-10-01,0.2082177
1972-01-01,0.0825491
1972-04-01,0.0
1972-07-01,0.0
1972-10-01,0.0
1973-01-01,0.0
1973-04-01,0.0
1973-07-01,0.0
1973-10-01,0.209205
1974-01-01,0.0926956
1974-04-01,0.0
1974-07-01,0.0860215
1974-10-01,0.0
1975-01-01,0.0
1975-04-01,0.0
1975-07-01,0.0
1975-10-01,0.0
1976-01-01,0.1080614
1976-04-01,0.0
1976-07-01,0.0
1976-10-01,0.0
1977-01-01,0.0
1977-04-01,0.0
1977-07-01,0.0
1977-10-01,0.0
1978-01-01,0.0784252
1978-04-01,0.0
1978-07-01,0.1272507
1978-10-01,0.0719994
1979-01-01,0.0693722
1979-04-01,0.0377145
1979-07-01,0.1484781
1979-10-01,0.1117443
1980-01-01,0.0605694
1980-04-01,0.0604887
1980-07-01,0.0
1980-10-01,0.0551633
1981-01-01,0.0
1981-04-01,0.0482672
1981-07-01,0.0609905
1981-10-01,0.1941119
1982-01-01,0.0
1982-04-01,0.0
1982-07-01,0.0640738
1982-10-01,0.1570516
1983-01-01,0.1271456
1983-04-01,0.0615839
1983-07-01,0.0
1983-10-01,0.0
1984-01-01,0.0256522
1984-04-01,0.0
1984-07-01,0.0325468
1984-10-01,0.0205685
1985-01-01,0.0268889
1985-04-01,0.0
1985-07-01,0.0642488
1985-10-01,0.0
1986-01-01,0.1543925
1986-04-01,0.0737409
1986-07-01,0.0271422
1986-10-01,0.1153891
1987-01-01,0.0
1987-04-01,0.1461027
1987-07-01,0.0857927
1987-10-01,0.1174674
1988-01-01,0.1713209
1988-04-01,0.1500938
1988-07-01,0.2305741
1988-10-01,0.3240966
1989-01-01,0.0777484
1989-04-01,0.3351581
1989-07-01,0.291914
1989-10-01,0.2420331
1990-01-01,0.1409642
1990-04-01,0.261963
1990-07-01,0.0863483
1990-10-01,0.0
1991-01-01,0.2318437
1991-04-01,0.6506786
1991-07-01,0.3380091
1991-10-01,0.0
1992-01-01,0.0652401
1992-04-01,0.1487099
1992-07-01,0.5540166
1992-10-01,0.5312438
1993-01-01,0.3017866
1993-04-01,0.4477278
1993-07-01,0.2329102
1993-10-01,0.0974564
1994-01-01,0.1756337
1994-04-01,0.3206978
1994-07-01,0.3835827
1994-10-01,0.0
1995-01-01,0.0
