date,Brazil
2000-01-01,343398
2000-02-01,375906
2000-03-01,394778
2000-04-01,347326
2000-05-01,386524
2000-06-01,354720
2000-07-01,352319
2000-08-01,376694
2000-09-01,320982
2000-10-01,340135
2000-11-01,343738
2000-12-01,324852
2001-01-01,392708
2001-02-01,333019
2001-03-01,472235
2001-04-01,421126
2001-05-01,462047
2001-06-01,391573
2001-07-01,409642
2001-08-01,415064
2001-09-01,346677
2001-10-01,401109
2001-11-01,374891
2001-12-01,354165
2002-01-01,442186
2002-02-01,376622
2002-03-01,428754
2002-04-01,469928
2002-05-01,423349
2002-06-01,374266
2002-07-01,409503
2002-08-01,408448
2002-09-01,385533
2002-10-01,409901
2002-11-01,380292
2002-12-01,376799
2003-01-01,432982
2003-02-01,443144
2003-03-01,443025
2003-04-01,453027
2003-05-01,442463
2003-06-01,413608
2003-07-01,432148
2003-08-01,406065
2003-09-01,415369
2003-10-01,374360
2003-11-01,416185
2003-12-01,393738
2004-01-01,410387
2004-02-01,383493
2004-03-01,518431
2004-04-01,432626
2004-05-01,396232
2004-06-01,420819
2004-07-01,408994
2004-08-01,406410
2004-09-01,295913
2004-10-01,344229
2004-11-01,436872
2004-12-01,441027
2005-01-01,462717
2005-02-01,431161
2005-03-01,546876
2005-04-01,472770
2005-05-01,465453
2005-06-01,461760
2005-07-01,440336
2005-08-01,477418
2005-09-01,428415
2005-10-01,385605
2005-11-01,465345
2005-12-01,460323
2006-01-01,509600
2006-02-01,445938
2006-03-01,590024
2006-04-01,469566
2006-05-01,521514
2006-06-01,474664
2006-07-01,481971
2006-08-01,513585
2006-09-01,440041
2006-10-01,454821
2006-11-01,479686
2006-12-01,476576
2007-01-01,546056
2007-02-01,468475
2007-03-01,609707
2007-04-01,523125
2007-05-01,570626
2007-06-01,502179
2007-07-01,522708
2007-08-01,544940
2007-09-01,481415
2007-10-01,527939
2007-11-01,503210
2007-12-01,490432
2008-01-01,613077
2008-02-01,544578
2008-03-01,594025
2008-04-01,597342
2008-05-01,566631
2008-06-01,561639
2008-07-01,596493
2008-08-01,544435
2008-09-01,564126
2008-10-01,493884
2008-11-01,633311
2008-12-01,642440
2009-01-01,733081
2009-02-01,623088
2009-03-01,807617
2009-04-01,688693
2009-05-01,654186
2009-06-01,651695
2009-07-01,663011
2009-08-01,583446
2009-09-01,546329
2009-10-01,488066
2009-11-01,566993
2009-12-01,584933
2010-01-01,652215
2010-02-01,560851
2010-03-01,757532
2010-04-01,606983
2010-05-01,629549
2010-06-01,611289
2010-07-01,641495
2010-08-01,636302
2010-09-01,606007
2010-10-01,568838
2010-11-01,652594
2010-12-01,666033
2011-01-01,654620
2011-02-01,675086
2011-03-01,732914
2011-04-01,658367
2011-05-01,748325
2011-06-01,690144
2011-07-01,663883
2011-08-01,689696
2011-09-01,618959
2011-10-01,555987
2011-11-01,681094
2011-12-01,637863
2012-01-01,655087
2012-02-01,607705
2012-03-01,773147
2012-04-01,685303
2012-05-01,754973
2012-06-01,653084
2012-07-01,691377
2012-08-01,708647
2012-09-01,532885
2012-10-01,741313
2012-11-01,654181
2012-12-01,604375
2013-01-01,777068
2013-02-01,642325
2013-03-01,734784
2013-04-01,814226
2013-05-01,742245
2013-06-01,717837
2013-07-01,764657
2013-08-01,731984
2013-09-01,615690
2013-10-01,726459
2013-11-01,697873
2013-12-01,605468
2014-01-01,743284
2014-02-01,729349
2014-03-01,715773
2014-04-01,750232
2014-05-01,693827
2014-06-01,713477
2014-07-01,840186
2014-08-01,735103
2014-09-01,740343
2014-10-01,774208
2014-11-01,711919
2014-12-01,652328
2015-01-01,724384
2015-02-01,675491
2015-03-01,824966
2015-04-01,642005
2015-05-01,660162
2015-06-01,689097
2015-07-01,736240
2015-08-01,683565
2015-09-01,676081
2015-10-01,492692
2015-11-01,760649
2015-12-01,626127
2016-01-01,602144
2016-02-01,594501
2016-03-01,758770
2016-04-01,644616
2016-05-01,687754
2016-06-01,703515
2016-07-01,645429
2016-08-01,654393
2016-09-01,422025
2016-10-01,631199
2016-11-01,643646
2016-12-01,575203
2017-01-01,580680
2017-02-01,522416
2017-03-01,702842
2017-04-01,532891
2017-05-01,662341
2017-06-01,580928
2017-07-01,575139
2017-08-01,603911
2017-09-01,528143
2017-10-01,545950
2017-11-01,519396
2017-12-01,490544
2018-01-01,545235
2018-02-01,497831
2018-03-01,603780
2018-04-01,601693
2018-05-01,597703
2018-06-01,559260
2018-07-01,570963
2018-08-01,574765
2018-09-01,501594
2018-10-01,569626
2018-11-01,504015
2018-12-01,454130
2019-01-01,586411
2019-02-01,550569
2019-03-01,556226
2019-04-01,612909
2019-05-01,627779
2019-06-01,508886
2019-07-01,625604
2019-08-01,567067
2019-09-01,521573
2019-10-01,553609
2019-11-01,511025
2019-12-01,434285
2020-01-01,568609
2020-02-01,483145
2020-03-01,536842
2020-04-01,748539
2020-05-01,960308
2020-06-01,653173
2020-07-01,570601
2020-08-01,463834
2020-09-01,466262
2020-10-01,460721
2020-11-01,446372
2020-12-01,425714
2021-01-01,480034
2021-02-01,486154
2021-03-01,586226
2021-04-01,565307
2021-05-01,527070
2021-06-01,483246
2021-07-01,485676
2021-08-01,493801
2021-09-01,494433
2021-10-01,491302
2021-11-01,512846
2021-12-01,481481
